int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,136,8,1983,1982,1983,1984,13371580,19605240,110,116,125,125,39,2922
Ro-Ro,66,3,2004,1995,2008,2008,28191068,38010484,113,570,137,137,65,4899
General cargo,19,6,1978,1980,1996,1996,8256250,10196897,108,187,223,214,4,295
Ferry-RoPax,5,2,1972,1972,1973,1973,860980,218441,114,231,213,209,1,101
Chemical tanker,9,3,2013,2011,2012,2012,9460956,13652878,230,160,161,157,4,340
Cruise,23,7,1987,1982,1993,1993,46858584,4904259,127,131,234,222,28,2156
Liquefied gas tanker,12,1,2007,2007,2007,2007,6909087,7162088,128,128,120,120,6,420
Oil tanker,17,2,2002,2000,2002,2002,11262815,17281039,107,110,131,132,7,534
Ferry-pax only,1,1,2000,2000,2000,2000,67392,10253,93,93,93,93,0,4
Service - tug,1,1,1975,1975,1975,1975,40012,28000,150,150,150,150,0,8
