int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ferry-pax only,53,3,1992,2001,1991,1991,73393472,13135406,254,207,330,329,24,1783
Miscellaneous - fishing,607,91,1988,1988,1989,1990,734730026,386227704,137,1513,1026,995,315,23744
Chemical tanker,23,3,1989,1989,1991,1990,12344397,18691648,106,333,508,507,30,2270
Refrigerated bulk,70,38,1989,1989,1990,1990,342486917,362840684,803,1397,1201,1238,286,21586
Oil tanker,22,13,1990,1989,1992,1993,82787317,119100073,800,1259,1419,1394,35,2686
Service - other,5,3,1994,1992,1988,1989,24911453,12469100,124,4479,902,606,15,1161
Ro-Ro,17,2,2004,2001,1996,1997,2659248,3125131,55,61,130,125,9,678
Service - tug,2,2,1994,1994,1984,1989,1676541,718720,678,678,530,320,1,101
General cargo,181,15,1990,1990,1991,1992,35202131,43566302,116,260,246,247,20,1483
Bulk carrier,21,2,1994,2002,2009,2010,167221606,307738075,767,2198,2814,3231,22,1690
Container,1,1,2014,2014,2014,2014,139980790,139697474,984,984,984,984,12,903
