port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ingeniero Buitrago - San Martin,10,8,1998,2004,2012,2013,9282206,15868174,70,114,61,60,10,727
Campana - Villa Constitution,12,12,2004,2004,2007,2007,16047690,24207820,120,133,120,120,9,685
Villa Constitution - Resinfor,6,6,2008,2008,2011,2012,12099250,21377537,63,61,62,62,8,616
Resinfor - La Plata,175,162,2011,2011,2012,2012,1400172751,2448421112,243,247,247,247,173,13372
Resinfor - Escobar,42,42,2012,2012,2012,2012,267299368,475016348,186,188,187,187,24,1837
San Lorenzo - La Plata,121,111,2011,2011,2011,2011,809613585,1402458344,246,249,247,247,141,10835
La Plata - Zarate,145,91,2007,2008,2008,2008,528391959,328125586,83,98,91,99,110,8478
Las Palmas - Villa Constitution,6,6,2010,2010,2011,2011,29021052,53009376,106,150,158,158,6,441
San Martin - La Plata,319,273,2010,2010,2011,2011,2208380004,3796989235,238,284,253,251,385,29559
La Plata - Tres Arroyos,2,1,1983,1983,1983,1983,459493,320137,1149,1149,1149,1149,1,93
La Plata - Rio Grande,3,2,1991,1995,2006,2007,14425956,21853349,1629,1590,1626,1628,8,584
Rosario - Escobar,56,54,2010,2009,2010,2010,305283571,539983126,160,163,162,162,29,2256
Dock Sur - Mar Del Plata,49,14,2005,1999,2007,2008,155430984,230566583,373,1406,381,374,101,7647
Zarate - Dock Sur,351,27,1966,2002,1994,1989,61734634,106362564,61,146,101,94,75,5687
Mar Del Plata - La Plata,18,12,1997,1997,1999,2000,54497257,80640575,313,1943,415,402,42,3162
La Plata - Ramallo,271,23,1984,2006,1995,1997,243028862,361733075,165,213,180,182,110,8277
Ramallo - San Martin,13,9,2004,2006,2010,2010,12224176,18734252,79,82,80,81,17,1308
San Martin - Ensenada,89,16,2009,2010,2010,2010,262033625,395021966,255,255,260,260,164,12440
La Plata - Puerto Alumbrera,173,158,2010,2010,2010,2010,1177856580,2018633308,245,246,246,246,171,13210
Ramallo - Puerto Alumbrera,13,5,2006,2000,2010,2010,10885037,16232855,77,77,79,79,10,738
Dock Sur - Campana,306,64,1981,2007,2004,2002,212332785,357270943,63,143,121,122,244,18523
Campana - San Martin,205,24,2009,2011,2009,2010,460169793,732359317,168,258,200,201,284,21524
Campana - Puerto Galvan,35,11,2009,2009,2009,2009,290077577,449493195,692,815,805,808,104,7971
Puerto Galvan - La Plata,63,31,2010,2012,2011,2011,792991880,1365730137,617,679,663,665,154,11781
Las Palmas - San Martin,22,18,2008,2008,2011,2011,88858420,155981826,160,228,164,164,25,1932
Mar Del Plata - Madryn,124,55,1985,1986,1988,1987,220421308,206275691,2704,3831,3329,3080,388,29105
Goya - Escobar,2,2,1980,1980,1988,1985,1370535,1756365,442,442,436,439,1,59
Escobar - Puerto Madero,17,5,1994,1988,1995,1994,1443913,1730627,214,196,228,224,4,335
Puerto Madero - Las Palmas,9,7,1997,2001,2010,2010,2774997,3553529,79,95,114,113,2,168
Las Palmas - Resistancia,1,1,1967,1967,1967,1967,254271,656914,566,566,566,566,0,13
Goya - Dock Sur,12,4,1986,1987,1989,1986,9899835,13799367,483,486,483,485,3,250
Dock Sur - Parana,1,1,1967,1967,1967,1967,133992,346170,298,298,298,298,0,5
Parana - La Paz,15,10,1982,1987,1993,1993,2685603,3974575,94,139,196,230,1,84
Dock Sur - La Paz,12,5,1984,1992,1995,1988,6589087,11364865,380,378,379,383,2,154
La Paz - Goya,27,16,1993,1995,1994,1994,4545602,4851540,105,113,121,124,3,195
Bella Vista - La Paz,19,12,1994,1994,1992,1990,3960315,4223768,164,164,157,156,3,202
Dock Sur - Corrientes,4,2,1976,1973,1977,1978,2136490,6209932,621,621,621,620,0,26
Dock Sur - Las Palmas,70,11,1968,1998,1998,1995,17899460,32004128,74,194,106,103,16,1241
Mar Del Plata - Ushuaia,10,4,1997,1994,1993,1980,67872138,38713894,3604,3292,4596,4598,34,2518
Ushuaia - Puerto Madero,15,7,2002,1997,2004,2007,584782792,391093834,1749,1676,1643,1741,194,14874
Puerto Madero - Puerto Deseado,1,1,1986,1986,1986,1986,929671,823283,1462,1462,1462,1462,1,77
Puerto Deseado - Mar Del Plata,82,37,1992,1989,2002,2002,337283466,361602913,1305,3006,1026,1034,231,17388
Mar Del Plata - Puerto Madero,3,3,1979,1979,1979,1980,11223402,6040705,927,1302,991,1002,9,696
La Plata - Rosario,230,206,2010,2010,2011,2011,1471759538,2545940618,218,220,220,219,165,12749
San Martin - Escobar,67,67,2011,2011,2011,2011,397312159,703424999,180,181,181,181,38,2962
Escobar - Puerto Ingeniero White,9,8,2009,2009,2009,2009,268934565,505019744,695,689,690,690,21,1611
San Nicolas - Dock Sur,2,2,2008,2008,2008,2009,9926289,16874477,223,223,222,222,4,311
Puerto Alumbrera - Escobar,37,36,2010,2010,2012,2012,201392847,342577113,188,192,192,191,25,1961
Ensenada - Resistancia,29,2,2017,2018,2017,2017,72025855,85238028,624,624,624,624,46,3440
Resistancia - Dock Sur,12,2,2016,2014,2017,2017,27478534,31173287,605,607,610,610,16,1212
Dock Sur - Puerto Ibicuy,44,15,1976,1999,2000,1996,11404518,18734701,89,135,119,116,10,764
Puerto Ibicuy - Resistancia,1,1,2017,2017,2017,2017,2053674,2342567,507,507,507,507,1,67
Dock Sur - San Martin,24,14,2009,2008,2008,2008,96146734,150545917,269,271,272,272,44,3330
Ensenada - San Pedro,2,2,2014,2014,2013,2013,2478215,3325359,151,151,154,154,1,73
San Pedro - Resistancia,2,2,1998,1998,1999,2000,3677258,4037012,469,469,470,471,2,135
Resistancia - Goya,17,9,1994,2000,1998,2000,2974848,2839432,120,131,126,124,3,202
Goya - Tigre,1,1,2017,2017,2017,2017,1830877,2088429,452,452,452,452,1,59
Tigre - La Plata,3,2,1994,2000,1995,1994,545843,673714,55,52,53,53,0,34
San Martin - La Paz,17,6,1997,2003,2012,2012,4953899,5781122,171,175,176,176,4,266
La Paz - Resistancia,21,8,2005,2007,2013,2014,9416506,9851838,233,242,228,226,8,632
Resistancia - San Martin,18,7,2001,2002,2014,2015,11912880,12178261,392,396,393,392,14,1038
Resistancia - Bella Vista,18,7,1987,2000,2002,2004,870728,734378,70,72,69,67,2,130
Bella Vista - Dock Sur,9,5,1997,2001,1999,1996,10406984,12857282,547,547,552,552,4,324
Goya - San Martin,3,3,2007,2007,2008,2007,2150671,2398264,281,284,284,285,1,107
Ensenada - La Paz,1,1,2017,2017,2017,2017,1564134,1784163,386,386,386,386,1,38
Ensenada - San Lorenzo,15,10,2010,2010,2009,2009,42359835,62899240,255,254,255,255,28,2096
San Lorenzo - Tigre,2,2,2013,2013,2010,2010,4972835,7463424,185,185,188,188,1,46
Tigre - Ensenada,1,1,2017,2017,2017,2017,251620,287015,62,62,62,62,1,48
Ensenada - Conception D Uruguay,65,2,2010,2014,2010,2010,47704468,67228062,179,175,182,182,53,4036
Conception D Uruguay - Dock Sur,16,3,2008,1999,2010,2010,12235594,16801212,194,417,201,200,15,1136
Conception D Uruguay - La Plata,11,7,2010,2009,2005,2005,23820236,31805099,217,2951,320,299,95,7173
La Plata - Puerto Ingeniero White,22,21,2009,2009,2010,2010,510767232,940803273,627,635,638,639,46,3581
Mar Del Plata - Rawson,37,19,1989,1984,1989,1988,16188690,12561184,848,1494,1481,1400,41,3042
Mar Del Plata - Quequen,32,8,1992,1993,1989,1989,17605586,23533727,504,947,908,898,33,2474
Dock Sur - Puerto Madero,130,27,1999,2001,2003,2002,63601285,93693169,151,379,137,139,180,13516
Ushuaia - Madryn,15,12,2003,2002,2005,2005,579400378,107729676,945,1134,954,948,150,11600
Puerto Madero - Campana,21,7,1995,1999,1984,1982,35458146,70847904,110,361,362,449,22,1686
