int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,303,191,2007,2008,2010,2011,27707499655,52696964316,399,1352,1746,1790,2673,206444
Vehicle,43,25,2006,2006,2005,2005,2194155453,764906260,541,1006,1144,1211,144,11172
Chemical tanker,63,38,2004,2006,2007,2007,679300688,1119876438,273,833,671,674,191,14625
Service - tug,13,7,2008,2009,2008,2008,2812564,2106392,160,280,319,313,4,336
Bulk carrier,56,36,2006,2008,2007,2007,2369426941,4179606785,613,1579,2002,2136,270,20792
General cargo,93,37,1997,2002,1999,1999,583523532,855090856,117,727,878,896,119,9117
Cruise,329,71,2000,2003,2003,2002,11382752320,1113045766,138,468,388,384,2574,199069
Container,166,28,2007,2007,2008,2008,1558186698,1933899577,334,510,633,638,338,25981
Offshore,41,22,1991,1996,2008,2008,446353111,483444834,356,2363,2450,2444,235,17689
Refrigerated bulk,33,10,1994,1995,1993,1994,130864083,141341706,182,222,315,312,65,4919
Liquefied gas tanker,25,14,2007,2008,2005,2005,479620102,564460473,619,1253,1117,1140,99,7590
Ferry-RoPax,1,1,1974,1974,1974,1974,285292,71080,325,325,325,325,0,29
Ro-Ro,1,1,2010,2010,2010,2010,3366541,2049199,976,976,976,976,4,280
Service - other,4,3,2002,2000,2003,2006,2244423,1922389,250,1326,330,263,3,215
