port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Mooloolaba - Chermside,209,140,2007,2008,2007,2007,490885827,503401765,59,79,75,76,169,12943
Hay Point - Newcastle,18,17,2010,2010,2010,2010,7729783049,14726441515,4741,5138,5304,5259,534,41375
Botany - Kurnell,57,31,2008,2009,2011,2011,150075449,237385181,182,175,107,113,87,6697
Yamba - Newcastle,13,13,2010,2010,2011,2011,296400846,543691202,349,406,426,433,20,1518
Fremantle - Adelaide,405,169,2007,2007,2007,2007,32492383720,28904359864,1388,1403,1401,1400,3235,250532
Adelaide - Port Melbourne,549,220,2008,2008,2007,2007,15585848149,14615026026,525,540,532,533,1609,124595
Port Melbourne - Port Kembla,409,240,2007,2007,2007,2007,12715616888,4934253079,564,569,567,569,836,64722
Port Kembla - Chermside,352,220,2007,2007,2008,2008,11595323437,4383559528,576,587,582,587,785,60786
Geelong - Gladstone,8,8,2014,2014,2014,2014,296127381,503536025,1357,1385,1403,1405,28,2167
Abbot Point - Newcastle,5,5,2011,2011,2007,2007,999360410,1834851230,1013,4144,4266,4231,66,5138
Coral Sea - Hay Point,4,4,2007,2007,2006,2006,35345246,65163337,162,191,194,194,5,400
Geelong - Port Dalrymple,2,2,2000,2000,2001,2001,18296051,28600980,307,307,303,307,3,242
Port Dalrymple - South Trees,3,3,2006,2006,2007,2007,113461199,181784306,1303,1280,1276,1279,12,932
Chermside - Newcastle,74,55,2008,2008,2007,2007,1059880929,1180983601,499,758,560,541,194,14886
Newcastle - Geelong,52,47,2009,2010,2008,2008,899872431,1440081270,696,707,707,708,109,8377
Geelong - Portland,55,49,2012,2011,2011,2011,311692609,507909722,228,244,249,250,49,3758
Portland - Adelaide,19,16,2008,2009,2006,2006,228829173,352177466,378,463,463,461,28,2123
Adelaide - Port Dalrymple,35,14,2005,2005,2005,2005,738881274,889837584,612,615,614,614,142,11017
Port Dalrymple - Newcastle,17,17,2011,2011,2011,2011,292180103,490900687,614,653,664,666,26,1997
Newcastle - South Trees,68,48,2008,2009,2008,2008,2253043237,3992056950,715,955,1310,1404,192,14853
Booby Island - Cape Flattery Harbor,10,6,2014,2014,2015,2015,109776702,193414799,385,406,383,383,9,666
Bowen - Townsville,2,1,2012,2012,2012,2012,2439069,1881568,1936,1936,1936,1936,9,661
Geelong - Flinders,6,6,2010,2010,2009,2009,24458866,41447372,138,141,135,134,4,344
Flinders - Hastings,2,2,2006,2006,2004,2004,5800198,10215377,68,68,72,73,3,204
Botany - Pyrmont,22,8,2008,2008,2009,2009,5414112,6323754,87,303,66,60,22,1676
Botany - Sydney,13,8,2008,2006,2012,2013,20049747,34307215,108,488,95,92,27,2074
Dhipirrinjura - Darwin,79,9,2010,2010,2010,2011,22875308,36430143,400,763,563,490,100,7532
Botany - Port Melbourne,952,259,2007,2007,2007,2007,27642249209,32363176941,592,608,601,602,3723,288207
Port Melbourne - Chermside,160,57,2006,2007,2005,2005,10052951622,10890412341,1112,1131,1119,1115,1131,87591
South Trees - Botany,7,7,2009,2009,2008,2008,131540285,196539535,765,768,769,767,19,1461
Chermside - Botany,483,148,2008,2007,2008,2008,11513765054,14075733853,547,561,552,552,1621,125449
Port Melbourne - Fremantle,196,120,2008,2008,2007,2007,20007711179,14832989910,1718,1815,1766,1752,1788,138444
Kwinana - Burnie,5,5,2012,2012,2012,2012,227520559,358991394,1832,1837,1831,1833,27,2055
Burnie - Portland,32,30,2012,2011,2011,2012,222270543,354894191,282,291,290,290,30,2284
Botany - Mooloolaba,38,22,2007,2008,2008,2008,276033078,357448257,497,500,498,499,43,3302
Fremantle - Henderson,38,8,2004,2006,2009,2007,64763064,72264512,513,993,615,450,134,10061
Henderson - Darwin,7,4,2013,2014,2013,2012,123284062,120560610,1927,5253,2263,1964,51,3864
Darwin - Withnell Bay,12,10,2008,2008,2010,2010,125786466,93723545,1254,2077,2201,1998,53,4026
Withnell Bay - Van Gogh,90,15,2013,2010,2014,2014,164719164,98579207,215,364,267,275,76,5729
Withnell Bay - Nganhurra,189,15,2011,2011,2011,2010,255000767,240595040,223,459,306,276,131,9827
Withnell Bay - Varanus,39,13,2012,2010,2012,2011,201994360,117709142,95,348,747,517,72,5396
Van Gogh - Varanus,3,3,2014,2014,2012,2013,6997681,2408258,156,220,157,162,3,193
Van Gogh - Exmouth,55,14,2013,2012,2012,2013,89651069,38822820,90,115,139,131,28,2090
Dhipirrinjura - Raffles Bay,29,4,2012,2013,2012,2013,3073806,6024194,156,148,168,169,7,508
Raffles Bay - Darwin,23,4,2012,2013,2012,2013,2336759,5212888,171,196,182,170,7,506
Darwin - Black Point,15,5,2009,2006,2007,2011,1646310,1870806,129,156,155,127,4,296
Black Point - Dhipirrinjura,13,3,2012,2012,2012,2012,2019296,4057664,308,289,279,276,8,571
Darwin - Cape Don,2,1,2013,2013,2013,2013,89945,360501,90,90,90,90,0,17
Cape Don - Dhipirrinjura,2,1,2013,2013,2013,2013,341590,1369100,342,342,342,342,1,81
Darwin - Langarra,36,7,2009,2010,2009,2009,14308662,17621622,366,496,560,552,42,3183
Langarra - Horn,1,1,2013,2013,2013,2013,189956,761347,381,381,381,381,0,25
Horn - Cairns,276,15,1996,2005,1995,1995,210463125,323266876,483,550,495,491,171,12864
Horn - Darwin,1,1,2013,2013,2013,2013,359711,1441726,721,721,721,721,1,101
Langarra - Milner Bay,3,2,2014,2014,2015,2014,513160,748998,201,201,202,200,1,93
Milner Bay - Palmerston,59,11,2012,2010,2013,2013,31544499,32403188,567,619,576,587,48,3634
Palmerston - Darwin,77,22,2013,2011,2013,2013,188254489,179227855,288,4087,2719,3018,293,21980
Lake Macquarie - Newcastle,34,33,2011,2011,2009,2009,2250109258,4261537023,201,946,1249,1276,149,11535
Chermside - Townsville,86,62,2009,2009,2009,2009,2463745520,1316499862,704,729,721,731,213,16482
Port Hedland - Mackay,1,1,2007,2007,2007,2007,17665846,19008067,2523,2523,2523,2523,6,497
Mackay - Mooloolaba,5,5,2013,2013,2014,2014,57864462,91889268,492,524,522,524,8,582
Chermside - Geelong,15,12,2013,2012,2011,2011,323931648,507720361,1132,1299,1337,1364,52,3970
Geelong - Fremantle,7,7,2013,2013,2013,2014,274579061,246274237,1742,2933,2594,2179,45,3480
Port Hedland - Hay Point,1,1,2008,2008,2008,2008,1149787840,2240634786,12583,12583,12583,12583,67,5188
Chermside - Albany,2,2,2011,2011,2008,2008,221336933,396870819,2630,2630,2727,2738,17,1353
Portland - South Trees,13,12,2007,2006,2005,2005,365067260,517235671,1419,1420,1416,1416,51,3952
Webberton - Geraldton,1,1,2012,2012,2012,2012,4116310,7588405,101,101,101,101,1,67
Booby Island - Chermside,4,4,2008,2008,2008,2006,299556350,343516895,1358,1367,1373,1380,32,2483
Chermside - Withnell Bay,7,7,2006,2006,2006,2006,972229792,1783259086,3196,3310,3415,3422,82,6348
Townsville - Mourilyan Harbour,7,7,2004,2004,2009,2009,582740137,1020367106,145,2667,3931,4093,54,4182
Ningaloo Vision - Fremantle,1,1,2003,2003,2003,2003,2486748,2716728,705,705,705,705,1,78
Newcastle - Horn,1,1,2011,2011,2011,2011,83886703,158560569,1657,1657,1657,1657,6,477
Tea Gardens - Newcastle,28,26,2009,2009,2009,2009,472360675,876056330,197,337,303,305,36,2763
Port Kembla - Hay Point,25,19,2011,2012,2011,2011,3118598592,5808542505,1030,2514,1895,1850,266,20641
Abbot Point - Gladstone,21,20,2011,2011,2011,2011,1853115314,3545344369,440,1311,1256,1257,133,10332
Pyrmont - Jervis Bay,2,1,1997,1997,1997,1997,28302496,3030857,183,183,183,183,8,612
Pyrmont - Melbourne,20,13,2001,2002,2000,2000,754958441,88737913,605,626,643,643,214,16607
Melbourne - Sydney,2,2,1995,1995,1994,1994,143609943,18217561,1166,1166,1077,1144,28,2180
Sydney - Pyrmont,30,8,2007,2005,1998,2003,46914583,10407944,93,438,335,112,50,3776
Pyrmont - Eden,8,6,1999,1999,2000,2002,75844886,9479542,231,1590,232,261,29,2253
Eden - Hobart,1,1,1997,1997,1997,1997,40136439,4298130,518,518,518,518,11,819
Hobart - Pyrmont,11,8,1998,1998,1998,1998,527686952,61677376,648,725,798,783,138,10663
Pyrmont - Bulwer,23,3,1995,1998,1995,1995,856009805,101186775,523,499,583,577,180,13980
Sydney - Bulwer,3,2,1998,1999,1999,1998,129754876,12751019,526,546,539,536,28,2160
Woolloomooloo - Bulwer,31,4,1997,1998,1998,1997,1211612369,127234930,526,534,534,531,257,19875
Eden - Woolloomooloo,3,2,2002,2001,2002,2001,74826429,6879309,229,324,283,295,19,1469
Woolloomooloo - Mooloolaba,5,2,1996,1995,1996,1996,187179759,20879674,503,503,512,512,30,2343
Pyrmont - Mooloolaba,4,3,1996,1997,1996,1996,125418242,15364150,495,498,498,497,29,2214
Mooloolaba - Gladstone,9,9,2008,2008,2004,2011,70859560,57585275,281,297,290,308,15,1133
Gladstone - Bulwer,3,3,1997,1997,1998,1997,83785334,8814494,350,380,382,383,19,1436
Pyrmont - Cairns,5,5,2003,2003,1994,1996,191113833,25838462,1294,1319,1307,1323,48,3734
Cairns - Bulwer,2,2,2001,2001,1997,1997,66492197,7118025,827,827,850,850,15,1132
Woolloomooloo - Melbourne,28,18,2001,2001,2004,2003,1440703670,146053192,608,619,611,611,317,24547
Gladstone - Hay Point,60,53,2010,2010,2010,2010,5063541545,9698221836,310,1122,1123,1117,408,31608
Port Alma - Port Kembla,3,3,2012,2012,2011,2011,25056196,35679360,827,841,841,840,7,569
Port Kembla - Botany,15,12,2010,2008,2009,2010,25315897,33025240,60,154,93,90,13,993
Port Melbourne - Risdon,15,12,2013,2012,2013,2013,65564574,110189634,521,541,552,550,20,1536
Risdon - Geelong,34,23,2012,2011,2011,2011,334447546,565350840,524,538,543,542,67,5142
Geelong - Brisbane,27,23,2011,2011,2012,2012,517743176,843040645,1141,1157,1162,1163,66,5101
Brisbane - Risdon,10,6,2012,2012,2013,2013,86490323,140204146,1181,1176,1179,1180,23,1731
Risdon - Portland,15,12,2014,2013,2013,2013,77687865,126228348,552,550,552,550,21,1574
Portland - Brisbane,6,6,2014,2014,2013,2014,101924507,163094754,1199,1206,1204,1205,15,1125
Brisbane - Townsville,57,43,2011,2011,2008,2012,1025687617,1256214617,710,897,743,741,205,15820
Brisbane - Port Pirie,1,1,2017,2017,2017,2017,12567109,21679694,1735,1735,1735,1735,4,339
Geelong - Port Adelaide,28,22,2010,2010,2010,2010,378496540,611286180,546,594,593,596,49,3743
Townsville - Darwin,11,8,2012,2012,2013,2013,225694113,277959528,1403,2498,2138,1700,53,4065
Adelaide - Geelong,43,36,2011,2011,2011,2012,588704226,943699773,563,593,592,594,108,8337
