int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,11632,3988,2011,2011,2011,2011,3174894095388,5975118889096,3887,4248,4058,4054,199111,15421550
General cargo,974,327,2006,2008,2006,2007,42641387715,50223244657,2797,3352,3365,3343,6862,528721
Vehicle,484,248,2007,2007,2007,2007,103954231643,35931536535,4207,3887,3749,3767,6238,483225
Chemical tanker,545,242,2012,2011,2012,2012,41093913877,67644606502,3288,3230,3265,3267,5420,418471
Oil tanker,707,334,2010,2010,2010,2010,127132138800,226448778046,3969,4181,4138,4159,11814,914455
Offshore,70,56,2010,2010,2012,2011,4140318014,3743435554,1819,3450,3416,3146,990,71750
Liquefied gas tanker,1074,237,2010,2010,2010,2011,452687673139,349727408190,3877,4164,4279,4280,49379,3017979
Service - other,86,51,2007,2004,2000,2001,936522597,954397768,456,2738,4203,4891,421,32163
Service - tug,168,131,2005,2007,2010,2009,379350892,265537409,935,2315,1900,1952,487,36575
Container,1697,325,2007,2007,2007,2007,198208415855,231309222173,2314,2552,2715,2694,25883,2004142
Miscellaneous - fishing,10,9,1998,1997,1999,2001,61576368,41772849,3738,3596,2986,3092,36,2727
Ro-Ro,35,32,2008,2008,2009,2007,63233302,40375847,327,647,480,479,158,11903
Cruise,343,58,1999,2000,2001,2001,35411670601,3402100399,1166,1224,1299,1287,7544,584232
Ferry-RoPax,12,11,1993,1992,1996,1996,79600794,21015086,1277,2047,755,848,57,4295
Ferry-pax only,4,4,1970,1970,1955,1951,1454356,862393,1069,1190,1049,1338,4,312
Refrigerated bulk,5,4,1995,2000,2008,2008,87966136,95140181,6006,4538,4500,4501,113,8531
