int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Mitterkirchen,1,1,1975,1975,1975,1975,21420,26153,62,62,62,62,0,3
Dobermannsdorf,1,1,2016,2016,2016,2016,19788440,38062536,211,211,211,211,1,67
Wien,1,1,2018,2018,2018,2018,14051,1277,213,213,213,213,0,6
Linz,1,1,2018,2018,2018,2018,304483,314216,41,41,41,41,0,9
Nuziders,1,1,1997,1997,1997,1997,337972,23625,68,68,68,68,0,7
Sankt Margrethen,1,1,1994,1994,1994,1994,34656336,59431320,1326,1326,1326,1326,4,315
Falkenstein,1,1,2003,2003,2003,2003,35321566,66197056,625,625,625,625,5,394
Wulkaprodersdorf,1,1,1971,1971,1971,1971,716604,474990,229,229,229,229,0,15
Schrattenthal,1,1,2004,2004,2004,2004,21263929,34155873,915,915,915,915,3,210
Prinzersdorf,1,1,2020,2020,2020,2020,30309,23481,18,18,18,18,0,2
Neufelden,1,1,2006,2006,2006,2006,20728193,37637198,676,676,676,676,2,136
Judendorf,1,1,2006,2006,2006,2006,12727669,3237180,462,462,462,462,3,208
Sankt Stefan Ob Stainz,1,1,1984,1984,1984,1984,6278192,3116007,1004,1004,1004,1004,1,108
Freudenau,1,1,2018,2018,2018,2018,15587,1417,236,236,236,236,0,9
