int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,819,178,1990,1991,1992,1992,1131503751,1371120287,390,473,489,486,302,22819
Bulk carrier,58,11,1982,1985,1987,1988,67436193,90790876,269,302,351,335,39,2933
Ferry-RoPax,467,10,1991,1991,1989,1988,1508420568,564159167,213,216,308,308,521,39429
Oil tanker,590,60,2004,2006,2006,2006,1543725652,2474206245,240,395,410,415,1136,85306
Offshore,32,29,1995,1995,2004,2004,257757231,248544348,1489,5310,5713,6801,325,24431
Chemical tanker,50,22,2009,2009,2009,2009,86363536,122096036,240,414,397,393,131,9856
Service - other,36,33,1987,1987,1985,1985,85349268,28947612,388,1254,842,887,102,7635
Service - tug,62,45,2005,2003,2006,2006,57542067,52188159,442,1223,1019,1031,87,6576
Ferry-pax only,6,5,1971,1972,1969,1969,3733150,441438,2089,2470,2571,2264,27,2061
Ro-Ro,376,7,2004,2001,2005,2005,819153840,561806819,238,252,270,270,267,20630
Other liquids tankers,2,2,1996,1996,1995,1995,451328,844247,956,956,956,944,46,3601
Refrigerated bulk,1,1,1995,1995,1995,1995,653306,651888,177,177,177,177,2,172
Miscellaneous - fishing,1,1,1984,1984,1984,1984,133599,76606,185,185,185,185,4,287
