port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Freeport - South Riding Point,33,19,2006,2007,2009,2010,381404275,679446131,211,299,255,256,67,5204
Freeport - Clifton Pier,116,37,2002,2006,2011,2011,223360420,366620923,141,225,217,218,81,6221
Freeport - Nassau,573,48,1993,1999,2001,1997,2033890581,396627081,119,196,176,161,616,47277
Gorda Cay - Little San Salvador,1,1,2008,2008,2008,2008,73653,128552,151,151,151,151,0,13
Marsh Harbor - Great Harbour Cay,8,6,2006,2005,2007,2007,866258,1033395,110,125,140,137,1,102
Cockburn Town - The Bight,26,8,2004,2004,2004,2004,2231602,3129884,74,125,115,107,3,241
The Bight - Little San Salvador,6,5,2004,2003,2007,2007,24844679,45209815,263,374,470,469,5,355
Harbour Island - Gorda Cay,4,4,2000,2000,2002,1999,247586,326603,126,127,126,125,1,49
Harbour Island - Bock Cay,4,4,2001,2001,2000,2000,3876364,4987348,213,1707,2037,1710,2,166
Clifton Pier - Bock Cay,23,6,1989,1995,1997,1996,4327007,6806690,152,942,455,411,6,479
Cockburn Town - Matthew Town,8,8,2000,2000,1998,1999,12842663,4051536,216,226,205,217,3,238
The Bight - Harbour Island,6,6,2005,2005,2005,2005,732193,1007341,191,222,221,215,1,108
San Andros - Great Harbour Cay,10,4,2006,2006,2005,2005,378220,588563,67,75,71,73,1,50
Great Harbour Cay - The Bight,1,1,2008,2008,2008,2008,102140,178272,210,210,210,210,0,14
Harbour Island - Great Harbour Cay,11,10,1997,1996,2002,2001,1234840,1818330,89,249,255,272,2,170
Freeport - The Bight,6,4,2004,2005,1999,1999,32829117,39189571,278,538,1060,1005,9,693
San Andros - Bock Cay,5,3,1997,1995,1991,1995,708616,963337,206,320,283,249,2,131
Great Exuma Island - Little San Salvador,2,2,2004,2004,2006,2006,138430,240554,142,142,141,142,1,39
Freeport - Harbour Island,4,4,2009,2009,2016,2016,9536730,17580887,130,123,147,148,1,62
Gorda Cay - Freeport,20,16,2007,2006,2007,2007,288887022,497917651,206,402,330,491,48,3688
Nassau - Great Harbour Cay,233,27,2002,2002,2001,2000,5067051697,471107852,104,301,259,250,1024,78843
Clifton Pier - Great Harbour Cay,35,11,1987,1994,2003,2003,13396114,23002512,98,229,302,308,9,672
Great Harbour Cay - Freeport,77,30,2003,2001,2001,2004,520616302,371606770,137,236,270,273,130,10044
Nassau - Gorda Cay,127,9,2008,2003,2008,2007,1881511634,153238885,113,144,124,128,386,29914
Freeport - Cockburn Town,1,1,2009,2009,2009,2009,24908919,40895679,818,818,818,818,4,300
Nassau - Great Exuma Island,245,10,2011,2002,2007,2008,24795810,35737049,132,421,183,180,109,8214
Nassau - San Andros,48,7,1990,1996,1997,1996,4897081,6657248,41,134,125,130,14,1054
Nassau - Marsh Harbor,209,11,1979,1998,1975,1974,51865328,48931218,115,141,164,145,77,5768
Marsh Harbor - Freeport,50,11,1998,1998,1997,1993,15163765,19425093,166,304,233,211,19,1420
Nassau - West End,4,4,1995,1995,2000,2007,36502697,18176811,227,233,311,287,8,610
Great Harbour Cay - Rock Sound,16,2,2004,1994,2004,2003,861276,999094,110,128,111,112,2,166
Rock Sound - Congo Town,17,1,2006,2006,2006,2006,1152334,1286930,125,125,139,139,3,247
Great Harbour Cay - Congo Town,2,2,1994,1994,1999,1996,105928,137942,113,113,116,108,0,10
San Andros - Rock Sound,7,4,2004,2002,2003,2003,613727,807954,133,125,128,122,1,95
San Andros - Congo Town,6,3,2006,2005,2001,2001,2869198,4677906,66,86,63,62,1,62
Rock Sound - Bock Cay,5,2,2003,1998,1998,1995,353011,571028,106,295,153,195,1,76
Congo Town - Cape Eleuthera,1,1,2006,2006,2006,2006,71455,79801,146,146,146,146,0,7
Clifton Pier - Rock Sound,17,3,1995,1997,1997,1995,1247301,1711061,113,117,127,129,3,227
Congo Town - Clifton Pier,27,5,1986,1995,1982,1982,14606749,57077631,719,349,1526,2111,50,3751
Bock Cay - Congo Town,2,1,2006,2006,2006,2006,91242,101899,93,93,93,93,0,16
Green Turtle Cay - Freeport,1,1,2010,2010,2010,2010,4886219,5379164,277,277,277,277,2,158
Nassau - South Riding Point,4,3,2005,2006,2005,2006,47126384,6176152,120,134,123,132,9,696
Nassau - Rock Sound,86,8,2005,1998,1995,1995,215987668,24570145,93,153,210,179,75,5791
Nassau - Harbour Island,101,11,2005,1996,1997,2002,27390420,16756255,81,106,110,76,43,3246
Rock Sound - Great Exuma Island,7,5,2002,2001,2001,2000,811193,1113962,181,189,172,185,2,127
Great Exuma Island - Harbour Island,10,7,2000,1999,2001,2000,1839461,2063530,200,323,390,319,13,975
Rock Sound - Harbour Island,10,5,1996,1995,1991,1991,17775993,3009270,114,222,237,231,6,457
