int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Freeport,2329,803,2000,2005,2006,2007,202668018021,258390547024,778,2308,2108,2650,25671,1977514
Nassau,1121,130,1999,2003,2006,2005,32492399369,5032595105,206,1012,504,624,5499,420668
Clifton Pier,189,63,1995,2003,2009,2009,1699252574,2751730789,460,932,1034,1088,353,27071
West End,51,44,2005,2005,2007,2006,2878587462,2527045248,977,1140,1194,1230,406,31040
Rock Sound,83,13,2003,2002,1994,1996,557833189,70453747,225,339,732,517,180,13705
Little San Salvador,188,30,2003,2003,2005,2005,9124330419,1103579121,495,607,558,629,1957,150929
Great Harbour Cay,308,56,2002,2002,2004,2006,8870619251,2316281189,206,696,525,948,1708,130774
Bock Cay,20,7,2005,2004,2009,2009,538868551,51505997,286,636,2282,1485,79,6112
Cockburn Town,28,17,2003,2004,2007,2007,1300324813,1356321198,416,1354,3172,3135,155,11950
Harbour Island,85,26,2003,2000,2005,2006,853343961,780391610,201,704,1000,1114,160,12185
Gorda Cay,187,31,2007,2003,2008,2006,8430838916,2018255137,275,997,428,848,1578,120880
The Bight,20,10,2002,2001,2014,2014,139466882,122305035,414,502,1198,1143,25,1750
Great Exuma Island,69,8,2005,2006,2005,2005,12275718,19441998,300,279,328,331,34,2560
Matthew Town,75,38,2008,2006,2009,2009,738152555,1125904143,784,966,1169,1267,114,8664
Marsh Harbor,190,26,1988,2001,2003,2005,548517241,708040412,227,1023,1002,1061,185,14095
San Andros,38,14,2001,2000,2006,2006,7222651,10062373,141,361,290,294,14,1078
South Riding Point,70,59,2008,2007,2012,2012,10246752441,19044234021,1150,1908,2232,2949,893,68664
Green Turtle Cay,5,4,1995,1999,2003,2003,266206560,136811385,296,2928,7606,5296,59,4560
Congo Town,13,6,2000,1994,1997,1997,13849260,22648388,222,465,285,286,6,456
Cape Eleuthera,43,14,2003,2002,2006,2005,2374336991,279500225,554,2277,568,601,445,34226
Stella Maris,7,5,1998,1997,1999,1999,5739153,6794387,884,924,1512,1547,9,712
