int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,168,109,2003,2004,2000,2000,70579623216,129706425071,1553,8546,11692,12358,3940,304854
Container,1290,140,2007,2006,2008,2007,38872081914,47895760244,1440,2315,1523,1518,7018,539618
Chemical tanker,339,192,2007,2008,2008,2008,13502256120,21219108916,1508,1867,2116,2074,2204,170140
Bulk carrier,1269,831,2006,2008,2006,2006,72315840075,124978970526,1501,2020,2080,2086,7024,543363
Service - other,7,5,2009,2010,2012,2010,86168930,74040041,1291,2321,2138,1896,29,2179
General cargo,490,229,2007,2006,2005,2005,7433556799,9799095138,1105,1829,1610,1567,1551,118547
Vehicle,42,10,2004,2003,1999,1999,4319321359,1360820001,1428,6396,3472,3266,314,24330
Liquefied gas tanker,205,52,2007,2006,2007,2007,2422494099,2738113698,1605,1992,1892,1901,745,57079
Service - tug,36,32,2007,2007,2007,2006,82646825,61630049,1434,2279,1776,1686,99,7426
Refrigerated bulk,2,2,1986,1986,1986,1986,524670165,562651264,23481,23481,22853,22840,258,19459
Offshore,8,8,2011,2011,1999,1999,2151061686,4020032896,1501,4186,13261,13876,53,3970
Miscellaneous - fishing,1,1,1985,1985,1985,1985,897414364,980973983,72471,72471,72471,72471,94,7260
