int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,437,91,2000,2000,2005,2004,12380819177,1196168660,167,489,391,386,2578,199190
General cargo,118,28,1991,1995,2002,2002,216314885,276933537,179,625,271,286,83,6356
Chemical tanker,81,22,2008,2007,2008,2008,488481779,765050140,440,808,775,776,162,12382
Container,299,33,2006,2007,2007,2007,1283741223,1641919438,234,386,429,430,410,31395
Service - other,14,11,1998,1997,1997,1998,99276943,59803487,1021,2362,2363,2550,40,3051
Bulk carrier,31,14,1993,2003,2013,2014,708706409,1272096754,462,1376,2305,2650,72,5565
Refrigerated bulk,54,9,2003,2002,2006,2006,256046234,274280854,146,787,349,339,107,8190
Vehicle,35,14,2003,2004,2005,2004,207373980,65926449,200,170,202,202,23,1752
Oil tanker,39,10,2004,2005,2011,2011,1984153938,3860426497,238,1792,4890,5470,170,13112
Miscellaneous - fishing,1,1,2008,2008,2008,2008,9654483,3508347,4353,4353,4353,4353,5,379
Service - tug,4,3,1986,1990,1991,1991,1022649,570770,336,934,894,849,2,157
Ferry-RoPax,54,3,1965,1968,1966,1966,4089742,974760,144,153,137,136,10,728
Liquefied gas tanker,47,7,2008,2006,2011,2011,920231153,817051589,215,1366,2264,2120,145,9327
Offshore,5,4,2010,2008,2012,2012,363454045,241371570,5340,4322,5343,5352,107,8239
