port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Nieuwpoort - Doel,489,246,2004,2006,2006,2006,1843511280,2095734246,80,86,82,82,395,29665
Nieuwpoort - Gent,25,23,2007,2007,2009,2009,29620314,47737159,67,71,70,70,10,725
Doel - Pijp Tabak,38,28,2004,2004,2006,2006,21810034,25952616,16,83,32,33,68,5090
Ekeren - Rieme,3,3,1999,1999,2005,2005,223815,313632,43,55,43,43,0,28
Antwerp - Zandvliet,398,250,2007,2007,2010,2010,92860367,141579654,15,23,24,25,403,30300
Adinkerke - Antwerp,68,60,2005,2005,2007,2007,39820795,58784886,81,84,85,85,48,3580
Nieuwpoort - Terdonk,86,83,2007,2007,2008,2008,107950093,175809647,66,72,75,75,61,4674
Doel - Zandvliet,152,72,2007,2007,2009,2009,26532270,37637300,30,33,23,22,93,6977
Adinkerke - Terdonk,12,12,2003,2003,2005,2005,5435769,8633828,68,70,70,70,3,201
Zandvliet - Lillo,65,29,2006,2006,2008,2009,3414053,4376358,31,28,23,21,17,1247
Antwerp - Rieme,7,5,2001,2003,2011,2011,8158747,13325608,57,101,142,143,3,255
Zandvliet - Kallo,225,92,2006,2006,2006,2006,31937408,47536715,20,28,26,25,119,8910
Nieuwpoort - Wondelgem,34,32,2008,2008,2010,2010,28384873,46006640,67,69,70,70,17,1299
Nieuwpoort - Zandvliet,481,383,2008,2008,2009,2009,1084611164,1789169499,80,89,107,110,642,48211
Nieuwpoort - Kallo,133,109,2007,2007,2007,2007,265995743,259924128,84,89,86,88,124,9340
Kallo - Antwerp,123,70,2005,2006,2007,2007,23461986,34602835,19,35,22,22,137,10317
Adinkerke - Rieme,18,18,2004,2004,2006,2006,4576535,6999950,62,67,69,69,4,265
Zeebrugge - Oostende,78,26,2001,1999,2008,2008,241391546,374663914,228,603,860,1111,105,7880
Oostende - Adinkerke,6,4,1992,1995,1999,2000,1742971,1911953,275,265,271,314,2,187
Rieme - Oostende,31,6,1980,1986,1981,1982,9047671,13192396,111,135,137,138,9,711
Kallo - Zeebrugge,216,89,2002,2006,2004,2002,555474835,282921613,65,155,88,109,123,9214
Nieuwpoort - Pijp Tabak,174,125,2006,2007,2008,2008,208037360,315058259,84,90,90,91,215,16119
Adinkerke - Pijp Tabak,41,33,2005,2005,2004,2006,24650660,29451435,83,91,87,88,26,1936
Nieuwpoort - Antwerp,426,320,2008,2007,2008,2008,791378882,1272026066,82,92,91,91,666,50052
Berendrecht - Nieuwpoort,58,52,2007,2008,2007,2007,128524072,192499313,85,90,89,88,246,18486
Oostende - Antwerp,17,15,2003,2005,2008,2008,41533769,67761993,105,114,128,129,28,2096
Nieuwpoort - Rieme,46,39,2007,2007,2009,2009,43905233,73418860,66,67,67,67,22,1673
Terdonk - Zandvliet,15,15,2003,2003,2004,2004,5143584,7385857,55,65,56,53,8,629
Antwerp - Zelzate,3,2,2010,2012,2011,2007,600050,674290,95,280,111,82,1,81
Zelzate - Gent,8,6,1995,1996,2003,2004,806335,1089372,100,123,171,203,1,90
Pijp Tabak - Zeebrugge,75,5,2006,2006,2006,2005,16699894,29298981,78,77,94,95,30,2274
Zeebrugge - Lillo,88,6,2006,2005,2006,2006,18368380,30068439,71,71,82,82,28,2092
Zeebrugge - Antwerp,121,23,2007,2007,2007,2006,31181847,45698000,65,112,82,84,46,3429
Zeebrugge - Rieme,19,6,1992,1992,1991,1991,7720859,11895859,103,175,159,155,5,378
Rieme - Lillo,3,2,2012,2010,2007,2006,137010,211384,50,52,50,50,0,37
Lillo - Terdonk,11,8,2003,2002,2002,2002,2055950,3281772,54,70,71,71,6,416
Terdonk - Zeebrugge,10,7,2004,2002,2004,2004,1350060,2011448,78,292,83,81,6,473
Kallo - Gent,8,4,2004,2003,2004,2005,1113627,1174935,75,71,79,77,2,179
Zeebrugge - Doel,162,48,2006,2006,2008,2008,220106657,154337937,61,93,80,81,64,4825
Antwerp - Gent,4,4,2005,2005,2005,2005,589672,906112,44,57,56,57,1,87
Gent - Lillo,1,1,2006,2006,2006,2006,113626,187448,46,46,46,46,0,25
Zeebrugge - Zandvliet,19,11,2003,2001,1995,1999,13999969,8050354,69,74,71,78,8,588
Antwerp - Pijp Tabak,34,27,2006,2006,2006,2006,13474539,17996361,26,81,54,50,29,2178
Berendrecht - Zeebrugge,44,5,2008,2007,2008,2008,7945645,11394994,56,60,57,57,8,638
Terdonk - Pijp Tabak,11,10,2000,2001,2002,2002,2255750,3421487,50,67,61,62,6,429
Antwerp - Doel,100,44,2005,2004,2004,2004,23187181,29001841,41,78,26,24,55,4098
Zelzate - Doel,3,3,2010,2010,2007,2006,450198,639948,143,120,133,138,1,54
Antwerp - Lillo,46,27,2005,2007,2010,2009,11053067,14179348,41,92,109,90,15,1158
Nieuwpoort - Oostende,41,13,2005,2008,2002,2003,23387210,32462086,125,145,135,136,13,1008
Doel - Kallo,513,37,2007,2008,2008,2008,33157610,35635026,67,76,48,70,65,4880
Terdonk - Berendrecht,1,1,2006,2006,2006,2006,83429,137632,34,34,34,34,0,11
Berendrecht - Antwerp,242,20,2011,2009,2012,2012,20651289,20974436,72,47,59,43,62,4645
Pijp Tabak - Lillo,21,10,2003,2006,1999,1998,13180718,17994666,59,157,297,261,7,532
Zeebrugge - Kieldrecht,84,33,2007,2008,2010,2009,193744580,71717342,62,97,92,87,38,2863
Kieldrecht - Lillo,1,1,2006,2006,2006,2006,45499,75060,19,19,19,19,0,25
Kallo - Terdonk,4,4,2006,2006,2007,2007,937507,1480523,43,95,100,106,2,141
Terdonk - Kieldrecht,1,1,2006,2006,2006,2006,116858,192780,48,48,48,48,0,21
Doel - Lillo,255,26,2007,2008,2007,2007,45929173,53539564,89,170,325,329,42,3189
Nieuwpoort - Kieldrecht,28,28,2009,2009,2008,2009,80522518,56602894,84,85,85,84,28,2157
Adinkerke - Kallo,28,23,2006,2006,2006,2006,35342013,29760331,86,86,84,86,17,1247
Ekeren - Terdonk,4,4,1994,1994,1995,1995,511901,658942,44,45,44,45,0,26
Pijp Tabak - Zandvliet,56,51,2006,2006,2007,2008,12816170,16849926,11,35,22,20,52,3924
Doel - Terdonk,3,2,2004,2001,1997,1994,171558,250588,52,52,52,52,0,18
Blankenberge - Zeebrugge,49,17,1999,1998,2006,2006,45373930,63681523,321,624,388,397,43,3230
Pijp Tabak - Kallo,53,50,2007,2007,2009,2008,7796919,11333950,11,17,14,13,58,4321
Berendrecht - Zandvliet,81,37,2010,2008,2010,2010,12126309,17886309,28,23,15,13,109,8203
Gent - Terdonk,20,12,1998,1998,1995,1998,787289,777980,68,322,28,18,11,821
Terdonk - Zelzate,14,11,1996,1996,1995,1994,440565,336071,92,94,92,88,2,117
Gent - Langerbrugge,2,2,1993,1993,1993,1993,29478,20804,55,55,55,56,0,10
Brugge - Rieme,3,2,1987,1992,1984,1984,528638,769683,91,76,82,83,0,17
Zelzate - Zeebrugge,6,3,1983,1990,1981,1979,2618730,3317837,214,208,227,223,2,122
Zelzate - Oostende,7,2,1982,1994,1978,1977,2764062,4070706,128,165,216,217,3,222
Zelzate - Rieme,12,10,1994,1995,1985,1981,540928,610442,60,64,91,108,2,166
Berendrecht - Doel,15,7,2006,2008,2010,2010,1863797,2298772,10,13,11,12,3,226
Burcht - Kallo,7,4,2009,2007,2007,2004,258192,292592,30,161,40,44,4,331
Zeebrugge - Nieuwpoort,45,7,2014,2004,2008,2005,18519947,8723052,150,157,154,134,13,965
Adinkerke - Zandvliet,50,47,2007,2007,2009,2009,41354171,63379492,82,84,87,87,31,2305
Brugge - Terdonk,2,2,1998,1998,1998,1998,262512,372812,49,49,48,48,0,13
Kallo - Lillo,156,28,2006,2007,2004,2004,8761709,9432319,55,66,72,59,19,1457
Doel - Kruibeke,8,4,2006,2004,2006,2006,274028,170199,38,77,102,87,1,97
Adinkerke - Doel,65,41,2006,2005,2007,2006,113604871,138991608,82,84,91,91,34,2583
Hemiksem - Kruibeke,4,3,2002,2002,2000,2000,72597,93813,18,17,14,14,0,7
Antwerp - Burcht,3,3,2002,2002,1992,1992,149826,239313,89,169,308,365,1,99
Burcht - Terdonk,1,1,2001,2001,2001,2001,8723,4167,93,93,93,93,0,4
Nieuwpoort - Langerbrugge,18,17,2003,2003,2002,2001,11622022,18078988,71,77,73,73,9,676
Rieme - Terdonk,70,23,1996,1999,1998,1998,1539937,1216845,58,77,54,43,9,656
Wondelgem - Terdonk,4,3,1996,1997,2002,2002,56161,30520,32,77,57,60,0,19
Ekeren - Langerbrugge,2,2,2004,2004,2002,2002,4717355,8401754,100,100,139,140,2,118
Antwerp - Jupille-Sur-Meuse,5,3,1999,2000,1998,1998,867251,1214562,93,81,91,91,0,20
Jupille-Sur-Meuse - Merksem,7,5,1998,1998,1998,1998,999241,1356289,93,87,85,86,0,31
Wijnegem - Jupille-Sur-Meuse,37,9,1997,1999,1998,1998,6295215,8777496,93,92,98,99,3,190
Jupille-Sur-Meuse - Kwaadmechelen,2,2,2000,2000,2000,2000,191639,262618,47,47,48,47,0,4
Wijnegem - Gellik,1,1,2002,2002,2002,2002,103839,144652,55,55,55,55,0,5
Gellik - Pijp Tabak,2,2,1994,1994,1991,1991,355622,518268,148,148,123,125,0,13
Ekeren - Genenbos,1,1,2002,2002,2002,2002,294319,410000,155,155,155,155,0,4
Genenbos - Zandvliet,2,2,2006,2006,2009,2009,360512,519203,100,100,98,100,0,10
Zandvliet - Jupille-Sur-Meuse,2,2,2002,2002,2002,2002,321187,451703,85,85,85,85,0,8
Jupille-Sur-Meuse - Olen,3,3,2003,2003,2002,2002,317505,429908,59,59,59,60,0,9
Adinkerke - Wondelgem,13,13,2005,2005,2007,2007,4397260,7011046,70,74,74,74,4,305
Lillo - Wijnegem,1,1,2011,2011,2011,2011,654644,952142,370,370,370,370,0,15
Wijnegem - Evergem,2,2,2010,2010,2011,2011,509569,741139,144,144,144,144,0,14
Merksem - Zandvliet,2,2,1998,1998,2011,2011,810377,1178731,230,230,258,257,0,13
Pijp Tabak - Wijnegem,2,2,2004,2004,2009,2009,99129,143437,28,28,27,27,0,5
Schoten - Zolder,1,1,2011,2011,2011,2011,173882,252901,98,98,98,98,0,4
Zolder - Genk,1,1,2011,2011,2011,2011,169063,245892,96,96,96,96,0,4
Genk - Wijnegem,6,5,1999,1999,1994,1994,977844,1413265,52,131,94,96,0,29
Wijnegem - Zandvliet,2,2,2010,2010,2010,2010,79899,116209,23,23,23,23,0,3
Zandvliet - Oostende,14,14,2007,2007,2009,2009,41387216,70073858,113,133,136,137,28,2075
Adinkerke - Zelzate,10,8,2005,2006,2007,2007,6522106,9780630,69,172,176,171,7,523
Zelzate - Nieuwpoort,22,13,2006,2007,2008,2008,18614578,29728458,68,79,79,79,20,1490
Wintham - Sas-Slijkens,1,1,1985,1985,1985,1985,1156716,1900142,832,832,832,832,1,40
Antwerp - Willebroek,2,2,2004,2004,2003,2003,136836,213961,26,26,25,25,0,6
Noeveren - Antwerp,3,3,2000,2000,2005,2005,2580904,4265089,36,172,245,258,1,88
Nieuwpoort - Noeveren,13,12,2006,2005,2006,2006,6620397,9841307,98,103,103,102,5,393
Gent - Hemiksem,2,2,2008,2008,2007,2007,858050,1218534,143,143,129,126,1,93
Nieuwpoort - Burcht,2,2,2002,2002,2002,2002,638742,840851,84,84,84,84,1,58
Kallo - Wondelgem,3,3,2003,2003,2003,2002,4185023,6444775,50,53,52,52,5,356
Willebroek - Terdonk,1,1,2010,2010,2010,2010,183988,269790,75,75,75,75,0,9
Wintham - Nieuwpoort,3,3,2007,2007,2009,2008,2753373,3759267,179,183,177,177,1,78
Adinkerke - Noeveren,3,3,2005,2005,2005,2005,1936082,3158767,108,119,119,119,1,107
Zeebrugge - Wondelgem,2,2,2002,2002,2002,2002,633092,983567,117,117,120,121,0,24
Langerbrugge - Zandvliet,6,6,2004,2004,2008,2007,1592456,2284697,54,58,54,54,3,206
Zelzate - Zandvliet,1,1,2009,2009,2009,2009,188777,268413,44,44,44,44,0,13
Pijp Tabak - Wondelgem,3,3,2006,2006,2007,2007,809671,1109924,50,50,49,49,1,83
Pijp Tabak - Hemiksem,9,5,1999,2004,2002,2001,367163,548920,49,26,22,23,2,118
Nieuwpoort - Ekeren,19,18,2006,2005,2006,2006,18051737,24902339,82,84,85,85,9,672
Brugge - Nieuwpoort,5,2,1996,1994,1995,1997,2849355,3475303,217,208,207,198,1,107
Brugge - Zeebrugge,3,3,1998,1998,1999,2000,736849,825686,126,105,101,106,1,112
Oostende - Brugge,10,5,1997,1995,1988,1987,3245472,5596694,101,189,154,162,2,162
Terdonk - Oostende,3,3,2001,2001,2008,2008,2602086,4466971,76,83,76,76,2,150
Zelzate - Langerbrugge,4,4,1997,1997,1994,1994,194587,220142,110,129,138,174,1,56
Langerbrugge - Terdonk,11,10,2004,2005,2007,2007,636988,862478,58,63,32,29,1,83
Gent - Wondelgem,1,1,1996,1996,1996,1996,31588,20318,79,79,79,79,0,6
Gent - Rieme,12,10,2001,2000,2008,2009,1071024,1564807,44,55,47,47,2,142
Oostende - Doel,23,19,1999,2002,2001,2002,98867005,110968753,83,106,94,94,18,1383
Lillo - Nieuwpoort,10,9,2006,2006,2008,2008,7463453,11697401,80,88,83,83,4,319
Lillo - Temse,8,1,2012,2012,2012,2012,71348,38081,28,28,29,29,0,34
Temse - Schelle,2,1,2012,2012,2012,2012,48776,26034,79,79,79,79,0,16
Schelle - Doel,9,3,2001,2005,2006,2005,1947181,2590875,166,206,297,314,2,145
Doel - Temse,4,1,2012,2012,2012,2012,87057,46466,67,67,70,70,0,27
Doel - Rupelmonde,3,1,2012,2012,2012,2012,69958,37339,32,32,75,75,0,27
Rupelmonde - Lillo,5,2,2008,2002,1998,1995,187361,242616,36,195,117,194,1,40
Lillo - Langerbrugge,2,1,2012,2012,2012,2012,50398,26899,82,82,82,82,0,8
Temse - Kallo,3,1,2012,2012,2012,2012,16828,8982,15,15,18,18,0,7
Burcht - Langerbrugge,1,1,2012,2012,2012,2012,13060,6971,42,42,42,42,0,1
Langerbrugge - Rupelmonde,1,1,2012,2012,2012,2012,20255,10811,66,66,66,66,0,2
Rupelmonde - Temse,1,1,2012,2012,2012,2012,22658,12093,73,73,73,73,0,5
Kallo - Kruibeke,3,3,2012,2012,2011,2011,39207,37137,53,38,12,9,0,29
Kruibeke - Rupelmonde,2,2,2002,2002,1997,1994,29724,40971,43,43,44,54,0,7
Rupelmonde - Schelle,3,2,2005,2002,2004,1998,71752,70871,82,75,73,77,0,24
Schelle - Kallo,2,1,2012,2012,2012,2012,10794,5761,17,17,17,17,0,3
Kallo - Noeveren,2,1,2012,2012,2012,2012,20664,11029,33,33,33,33,0,5
Lillo - Burcht,12,2,2007,2002,2004,1998,300642,299999,59,61,78,92,1,93
Burcht - Pijp Tabak,7,2,2006,2002,2000,1996,198949,232851,43,100,88,116,1,58
Antwerp - Rupelmonde,1,1,2012,2012,2012,2012,11922,6363,39,39,39,39,0,2
Antwerp - Bornem,1,1,2012,2012,2012,2012,21383,11413,69,69,69,69,0,8
Bornem - Lillo,2,1,2012,2012,2012,2012,24813,13244,40,40,40,40,0,12
Lillo - Steendorp,4,2,2007,2002,2004,1999,58957,56355,44,50,46,52,0,24
Lillo - Wintham,4,1,2012,2012,2012,2012,41669,22240,25,25,34,34,0,15
Wintham - Doel,3,1,2012,2012,2012,2012,43878,23419,32,32,47,47,0,16
Wintham - Burcht,1,1,2012,2012,2012,2012,12545,6696,41,41,41,41,0,5
Burcht - Doel,5,1,2012,2012,2012,2012,108928,58139,67,67,71,71,1,42
Temse - Hemiksem,2,1,2012,2012,2012,2012,37196,19853,60,60,60,60,0,8
Hemiksem - Lillo,12,5,2001,2005,1997,1997,2798168,4166967,78,101,154,149,4,334
Lillo - Schelle,15,2,2000,2002,1994,1993,733979,1097448,66,79,143,174,2,170
Burcht - Ekeren,2,1,2012,2012,2012,2012,25168,13433,41,41,41,41,0,10
Bornem - Doel,1,1,2012,2012,2012,2012,7292,3892,24,24,24,24,0,2
Rupelmonde - Steendorp,3,2,1999,2002,2002,1997,121354,131497,157,140,117,98,1,39
Steendorp - Burcht,4,2,2007,2002,1998,1994,114544,149585,41,130,89,138,0,29
Pijp Tabak - Steendorp,1,1,2012,2012,2012,2012,13928,7434,45,45,45,45,0,7
Lillo - Adinkerke,3,3,2005,2005,2004,2005,1237897,1427624,88,90,90,89,2,162
Schelle - Burcht,4,2,1997,2002,1993,1992,353894,557582,161,126,253,288,1,74
Doel - Hemiksem,8,7,2010,2009,2011,2010,1776382,2206533,93,139,279,297,1,102
Hemiksem - Burcht,2,1,2012,2012,2012,2012,63507,33896,103,103,103,103,0,30
Burcht - Temse,1,1,2012,2012,2012,2012,13202,7046,43,43,43,43,0,3
Temse - Pijp Tabak,1,1,2012,2012,2012,2012,11740,6266,38,38,38,38,0,4
Kruibeke - Oostende,1,1,2012,2012,2012,2012,54477,29076,176,176,176,176,0,22
Pijp Tabak - Oostende,6,6,2004,2004,1999,1998,36962228,48554153,113,653,1316,1801,16,1188
Oostende - Kallo,17,7,1999,2007,2000,1994,46773944,57130672,409,217,191,345,11,835
Gent - Zandvliet,3,3,2014,2014,2016,2016,5753176,9714807,56,76,93,94,2,116
Antwerp - Wintham,1,1,2004,2004,2004,2004,320937,549057,28,28,28,28,0,33
Wintham - Zandvliet,2,2,2006,2006,2006,2006,453840,779812,20,20,20,20,1,95
Nieuwpoort - Willebroek,9,8,2006,2005,2006,2006,3230124,4644838,98,99,98,98,3,217
Oostende - Blankenberge,24,13,2006,2002,2011,2011,46169845,52457953,273,616,293,245,32,2379
Zandvliet - Ekeren,16,14,2008,2009,2010,2010,2394527,3656328,9,10,9,9,27,2023
Ekeren - Zeebrugge,8,5,2007,2007,2007,2007,1397594,2089028,65,90,67,67,1,86
Doel - Rieme,5,2,2017,2016,2017,2017,107107,48428,67,91,67,72,1,41
Nieuwpoort - Zandvoorde,1,1,1974,1974,1974,1974,7499761,14662755,5346,5346,5346,5346,11,794
Willebroek - Wondelgem,1,1,2003,2003,2003,2003,260603,373413,67,67,67,67,0,20
Oostende - Oostkerke,2,1,2012,2012,2012,2012,1411397,649072,1541,1541,1541,1541,6,416
Rieme - Pijp Tabak,3,3,2010,2010,2011,2011,2413161,4093994,52,144,81,84,4,270
Adinkerke - Gent,13,13,2008,2008,2010,2010,5010562,7426546,66,67,70,70,3,232
Langerbrugge - Wondelgem,4,2,2017,2016,2016,2016,29723,15014,55,55,49,49,0,17
Hemiksem - Oostende,1,1,1981,1981,1981,1981,11171,6827,103,103,103,103,0,13
Zandvliet - Hemiksem,9,6,2008,2004,2006,2006,858399,1342147,38,46,58,60,2,128
Noeveren - Langerbrugge,2,2,1999,1999,2003,2003,428575,559455,76,76,72,72,0,22
Sas-Slijkens - Gent,1,1,1993,1993,1993,1993,189326,299365,70,70,70,70,0,4
Pijp Tabak - Jupille-Sur-Meuse,7,5,1997,1997,1998,1997,1294002,1720132,108,95,105,105,0,33
Oelegem - Wijnegem,2,1,1997,1997,1997,1997,389001,544193,102,102,102,102,0,6
Massenhoven - Wijnegem,3,2,1993,1991,1995,1995,799798,1128862,140,144,166,166,0,18
Jupille-Sur-Meuse - Schoten,6,3,1998,2000,1998,1998,1166056,1584997,109,100,103,103,0,32
Oupeye - Wijnegem,1,1,1997,1997,1997,1997,191073,267302,100,100,100,100,0,5
Doel - Lanaye (Ternaaien),1,1,1997,1997,1997,1997,437899,612599,230,230,230,230,0,12
Wijnegem - Herstal,4,4,1996,1996,1996,1996,648578,864327,96,99,95,95,0,22
Herstal - Merksem,4,3,1998,1998,1998,1998,728462,950111,96,90,91,90,0,19
Maasmechelen - Pijp Tabak,1,1,1997,1997,1997,1997,278892,390156,146,146,146,146,0,5
Grobbendonk - Oevel,1,1,1997,1997,1997,1997,188595,263835,99,99,99,99,0,3
Oevel - Paal,1,1,1997,1997,1997,1997,326898,457314,172,172,172,172,0,6
Paal - Genk,1,1,1997,1997,1997,1997,364617,510081,191,191,191,191,0,7
Ekeren - Maasmechelen,1,1,1997,1997,1997,1997,317754,444523,167,167,167,167,0,8
Maasmechelen - Merksem,2,1,1997,1997,1997,1997,665975,931666,175,175,175,175,0,15
Wijnegem - Maasmechelen,3,3,1994,1994,1996,1996,1033791,1397477,108,195,209,217,0,24
Maasmechelen - Schoten,2,1,1997,1997,1997,1997,684751,957932,180,180,180,180,0,16
Ekeren - Veldwezelt,2,1,1997,1997,1997,1997,1099454,1538081,289,289,289,289,0,27
Veldwezelt - Merksem,5,1,1997,1997,1997,1997,1246302,1743515,109,109,131,131,0,28
Wijnegem - Zutendaal,1,1,1997,1997,1997,1997,610530,854101,320,320,320,320,0,17
Zutendaal - Lanaken,1,1,1997,1997,1997,1997,326422,456648,171,171,171,171,0,8
Lanaken - Wijnegem,1,1,1997,1997,1997,1997,148483,207720,78,78,78,78,0,3
Wijnegem - Antwerp,1,1,1997,1997,1997,1997,17050,23852,9,9,9,9,0,0
Schilde - Maasmechelen,1,1,1997,1997,1997,1997,414338,579638,218,218,218,218,0,9
Schoten - Eben-Emael,1,1,1997,1997,1997,1997,381555,533777,200,200,200,200,0,10
Eben-Emael - Ekeren,1,1,1997,1997,1997,1997,427971,598710,225,225,225,225,0,12
Schilde - Lanaken,1,1,1997,1997,1997,1997,621220,869057,326,326,326,326,0,15
Lanaken - Merksem,2,1,1997,1997,1997,1997,481489,673579,126,126,126,126,0,11
Pijp Tabak - Lanaken,1,1,1997,1997,1997,1997,1452372,2031796,762,762,762,762,0,37
Wijnegem - Veldwezelt,8,2,1992,1991,1994,1994,2403270,3421099,169,169,192,192,1,71
Maasmechelen - Antwerp,2,2,1998,1998,1998,1998,749762,949364,191,191,190,192,0,21
Schoten - Oevel,1,1,1997,1997,1997,1997,391287,547391,205,205,205,205,0,8
Oevel - Genenbos,1,1,1997,1997,1997,1997,448818,627874,236,236,236,236,0,10
Genenbos - Genk,1,1,1997,1997,1997,1997,332994,465842,175,175,175,175,0,7
Jupille-Sur-Meuse - Ekeren,13,6,1998,1998,1999,1999,2906960,3629959,104,94,120,116,1,81
Wijnegem - Eindhout,1,1,1997,1997,1997,1997,463486,648394,243,243,243,243,0,10
Eindhout - Jupille-Sur-Meuse,2,1,1997,1997,1997,1997,611675,855703,161,161,161,161,0,15
Terdonk - Wijnegem,1,1,1997,1997,1997,1997,101568,142089,53,53,53,53,0,3
Jupille-Sur-Meuse - Massenhoven,1,1,1997,1997,1997,1997,187713,262601,99,99,99,99,0,5
Jupille-Sur-Meuse - Oevel,4,4,1993,1993,1994,1994,311829,420108,54,57,56,56,0,15
Herstal - Ekeren,1,1,1997,1997,1997,1997,193339,270472,101,101,101,101,0,5
Oosterlo - Jupille-Sur-Meuse,1,1,1997,1997,1997,1997,99823,139648,52,52,52,52,0,5
Oostende - Kieldrecht,2,2,2006,2006,2006,2005,10842699,3307180,115,115,110,111,1,109
Adinkerke - Langerbrugge,7,7,2003,2003,2004,2005,4907643,7829350,68,68,70,70,3,238
Sas-Slijkens - Zeebrugge,1,1,1984,1984,1984,1984,70550,32723,91,91,91,91,1,50
Nieuwpoort - Ruisbroek,6,4,2009,2008,2009,2009,4975022,7318893,101,102,112,111,3,220
Adinkerke - Ruisbroek,4,4,2008,2008,2009,2009,1645785,2321250,95,96,98,97,1,53
Berendrecht - Pijp Tabak,6,6,2008,2008,2007,2007,710625,992936,16,21,16,16,4,277
Terdonk - Antwerp,11,11,2006,2006,2007,2007,5175170,7320720,57,79,77,75,8,621
Ekeren - Kallo,7,5,2000,2002,2002,2002,239486,287316,8,9,8,8,1,62
Blankenberge - Langerbrugge,1,1,2009,2009,2009,2009,25568,14114,111,111,111,111,0,8
Nieuwpoort - Blankenberge,2,1,2016,2016,2016,2016,23715,2259,188,188,188,188,1,38
Oostende - Sas-Slijkens,7,3,2005,1999,2009,2010,3830378,4387186,140,263,174,173,4,315
Doel - Gent,3,1,2004,2004,2004,2004,411295,266773,94,94,77,77,1,65
Gent - Kieldrecht,2,1,2004,2004,2004,2004,347044,225099,98,98,98,98,1,71
Zeebrugge - Gent,6,2,1996,1980,2004,2004,594849,386084,52,49,66,66,2,186
Doel - Kieldrecht,2,2,2010,2010,2015,2015,333450,185908,5,5,3,3,0,35
Kieldrecht - Berendrecht,1,1,2004,2004,2004,2004,40513,26278,23,23,23,23,0,11
Brugge - Kieldrecht,1,1,2004,2004,2004,2004,107019,69414,60,60,60,60,0,26
Kallo - Berendrecht,2,2,1997,1997,1997,1997,893151,1358801,17,17,16,16,1,88
Oostende - Lillo,2,2,2012,2012,2009,2009,884757,1277112,143,143,152,152,0,22
Ruisbroek - Ekeren,1,1,2007,2007,2007,2007,45303,67224,18,18,18,18,0,1
Godsheide - Wijnegem,1,1,2000,2000,2000,2000,60432,85586,32,32,32,32,0,1
Zandvliet - Genk,1,1,2000,2000,2000,2000,122087,172903,64,64,64,64,0,4
Ekeren - Genk,2,2,1992,1992,1990,1990,231397,339103,96,96,80,81,0,8
Genk - Oelegem,1,1,2000,2000,2000,2000,50218,71120,26,26,26,26,0,1
Lillo - Genk,1,1,2000,2000,2000,2000,92206,130585,49,49,49,49,0,3
Genk - Schilde,1,1,2000,2000,2000,2000,71528,101300,38,38,38,38,0,2
