dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,1659,696,2007,2008,2008,2008,1520057894,2415676745,77,69,69,69,1979,148753
General cargo,990,432,2003,2004,2005,2005,296106032,420572901,67,62,67,66,195,14627
Container,599,258,2004,2006,2006,2006,2107627220,2383150727,79,76,78,77,523,39267
Bulk carrier,187,145,2008,2009,2007,2007,369723217,619700979,74,68,71,71,97,7289
Liquefied gas tanker,310,106,2007,2007,2009,2009,214998921,235552225,82,82,80,79,226,16963
Service - other,446,38,1999,2002,2004,2004,585924125,871860866,156,592,641,661,288,21640
Vehicle,185,142,2006,2006,2007,2007,885473721,298377252,70,85,84,84,109,8242
Oil tanker,465,137,2007,2009,2009,2009,1004301110,1791073026,77,81,105,106,973,73149
Miscellaneous - fishing,13,8,1992,1993,1993,1993,5360155,3635892,691,683,242,299,6,445
Service - tug,2061,66,2007,2002,2007,2006,87689883,71344205,63,112,107,101,256,19248
Offshore,56,21,1997,1998,2006,2003,51067637,39274550,270,606,191,175,71,5312
Ro-Ro,270,24,2002,2006,2003,2001,247963401,128118983,61,67,64,64,131,9835
Cruise,2,2,2008,2008,2007,2006,2534676,368789,84,84,69,67,2,135
Refrigerated bulk,11,9,1995,1995,1994,1994,9602971,9587894,75,82,79,80,160,12020
Ferry-pax only,6,2,1963,1952,1969,1948,60280,38846,81,74,82,76,8,634
Other liquids tankers,2,1,2002,2002,2002,2002,4576693,5971957,69,69,69,69,3,227
