int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Kallo,1451,722,2006,2007,2008,2008,33598837046,29121127169,481,963,967,1150,4826,366526
Doel,4367,955,2007,2008,2009,2009,189385130744,207374131219,335,796,782,785,24443,1868317
Antwerp,2255,1226,2006,2006,2009,2009,47072850681,74050409228,445,1241,1547,1588,8061,614368
Terdonk,847,503,2002,2004,2009,2010,7642036026,12765777952,296,915,1293,1409,1215,92328
Gent,550,207,2005,2005,2007,2008,9659178125,8346113770,550,1009,728,991,1528,115351
Zandvliet,2456,1430,2006,2007,2009,2009,57362534477,86546883075,560,1327,1648,1682,9638,734882
Wondelgem,344,286,2003,2004,2009,2009,2823280108,4497464059,468,832,1294,1366,494,37646
Rieme,651,363,2002,2006,2011,2012,8636520787,15310820441,245,956,1442,1540,964,73233
Burcht,42,22,2003,2003,2004,2004,64157483,92934664,271,451,402,395,54,4075
Adinkerke,219,171,2004,2005,2006,2006,291134323,375389518,65,286,261,240,147,11100
Pijp Tabak,1294,760,2004,2005,2007,2008,10661901915,14854639307,421,889,928,985,2814,213657
Nieuwpoort,923,696,2006,2007,2008,2008,7135477496,9948015754,103,407,467,448,1536,115812
Kieldrecht,436,195,2008,2008,2011,2011,21578267036,9093402214,576,796,930,872,1758,134170
Berendrecht,410,251,2007,2006,2009,2009,13742764802,21980900365,698,1468,1525,1684,1995,152721
Zeebrugge,5907,802,2003,2005,2009,2010,133941619713,83841601328,209,1005,719,978,16021,1185237
Langerbrugge,189,133,2001,2003,1998,1998,3078342957,4582837269,373,1009,1921,2347,439,33627
Ekeren,347,242,2004,2004,2007,2007,3621812881,5003135516,400,983,1049,1144,665,50627
Lillo,169,97,2004,2005,2005,2005,710358637,887249812,334,612,859,772,243,18336
Oostkerke,21,16,2001,2004,2010,2010,608252143,194556338,309,755,965,919,45,3466
Verbrande Brug,14,11,1997,2000,2000,2001,15885269,22534042,282,503,516,518,5,346
Noeveren,60,46,2006,2005,2006,2006,153226460,217535135,433,560,631,619,47,3526
Wintham,103,55,1999,2002,2001,2001,121421541,180348232,283,495,470,476,46,3475
Oostende,540,221,1999,2000,2005,2005,1243556731,1158042349,228,896,543,433,573,43128
Brugge,109,74,1996,1997,2000,1999,119462313,171946137,370,469,432,425,44,3304
Blankenberge,88,46,1999,1999,2005,2005,128469673,90142597,278,650,228,275,91,6820
Willebroek,49,42,2003,2003,2005,2005,103336220,150481496,507,629,713,703,32,2396
Niel,1,1,1994,1994,1994,1994,650671,991632,231,231,231,231,0,16
Ruisbroek,44,40,2006,2005,2008,2008,91271775,130917126,351,464,552,550,30,2274
Bever,1,1,2008,2008,2008,2008,119240,108332,83,83,83,83,1,108
Kruibeke,52,16,2002,1998,2006,2005,36042130,45859762,278,364,421,425,12,873
Hemiksem,62,46,2006,2006,2007,2007,128141856,188105194,295,451,541,550,61,4629
Lokeren,1,1,2009,2009,2009,2009,689287,1186136,22,22,22,22,0,3
Zelzate,236,105,2001,2002,2006,2007,1466697700,2178639061,325,731,994,1185,395,29948
Boom,27,27,2003,2003,2004,2005,43443762,63279514,458,547,569,577,15,1098
Sas-Slijkens,17,14,1990,1992,1991,1991,11333816,17200609,211,409,379,394,5,358
Merksem,29,14,1992,1992,1993,1993,21684040,25733888,242,595,437,421,9,694
Kwaadmechelen,1,1,2002,2002,2002,2002,682482,950728,360,360,360,360,0,16
Olen,6,5,2002,2001,2001,2001,5976611,7849183,549,529,534,530,2,172
Schilde,2,2,2006,2006,2009,2009,917870,1327515,256,256,250,252,0,26
Wijnegem,57,13,1997,1997,2000,2001,34284349,46307021,245,303,323,349,14,1059
Evergem,3,3,2007,2007,2007,2007,3280072,4728817,613,605,604,604,1,86
Oelegem,4,4,2000,2000,1998,1998,2749846,3696596,346,473,433,431,1,96
Genenbos,2,2,2000,2000,1996,2003,1213310,935909,168,168,129,161,0,33
Sint-Amands,1,1,2016,2016,2016,2016,31277733,48344502,1237,1237,1237,1237,2,179
Oosterlo,1,1,2003,2003,2003,2003,662166,757491,426,426,426,426,0,21
Schelle,7,6,2002,2005,2010,2010,6193101,8001689,176,251,202,205,3,251
Zandvoorde,5,4,1994,1993,1989,1987,2491259,4030795,214,303,245,269,3,189
Wulpen,3,3,1992,1992,1995,1997,300809,416677,644,634,463,780,1,94
Herentals,2,2,1998,1998,1998,1998,2734787,3259876,682,682,693,658,1,78
Schoten,7,4,1996,1997,1994,1997,3676902,3485204,223,192,150,183,1,92
Lanaye (Ternaaien),1,1,1997,1997,1997,1997,646845,904904,340,340,340,340,0,18
Genk,5,3,1996,1994,1994,1995,2404951,3310224,294,390,275,271,1,77
Massenhoven,4,4,1994,1994,1997,1997,1726217,2449057,317,303,298,299,1,61
Oevel,8,2,2008,2003,2008,2008,4623772,7602623,60,144,125,124,2,124
Kerkhove,1,1,2011,2011,2011,2011,1074181,1327904,73,73,73,73,1,46
Zwijnaarde,1,1,2011,2011,2011,2011,12610013,15588514,853,853,853,853,2,170
Leffinge,2,2,1999,1999,1998,1999,54012,25453,198,198,192,178,0,24
Paal,1,1,2000,2000,2000,2000,42591,60318,22,22,22,22,0,1
Grobbendonk,1,1,1985,1985,1985,1985,272127,354583,240,240,240,240,0,12
Jupille-Sur-Meuse,9,5,1993,1997,1995,1995,3783691,5226502,321,303,303,304,2,136
Viersel,1,1,1985,1985,1985,1985,283745,369721,251,251,251,251,0,13
Hoboken,2,2,2010,2010,2007,2007,900048,1347719,189,189,217,219,4,335
Herstal,2,2,1998,1998,1987,1987,1131240,1684837,544,544,409,415,1,50
Humbeek,1,1,2003,2003,2003,2003,1036368,1567786,407,407,407,407,0,25
Wellen,1,1,1999,1999,1999,1999,1811784,2029163,887,887,887,887,1,58
Deurne,1,1,1999,1999,1999,1999,1599135,1791000,783,783,783,783,1,55
Baasrode,1,1,1985,1985,1985,1985,1341371,2563916,2285,2285,2285,2285,3,203
Tisselt,4,3,1992,1992,1993,1993,1352462,2047490,126,169,179,179,1,41
Langerlo,1,1,2009,2009,2009,2009,2219029,3707397,443,443,443,443,0,13
Kapelle-Op-Den-Bos,4,4,1976,1976,2000,2000,72388085,122627589,562,740,1486,1494,9,690
Roselies,1,1,2016,2016,2016,2016,63161,30439,127,127,127,127,0,13
Couillet,1,1,2016,2016,2016,2016,107032,51582,215,215,215,215,0,25
Ham-Sur-Sambre,1,1,2016,2016,2016,2016,172465,83116,346,346,346,346,1,48
Berneau,1,1,1973,1973,1973,1973,81379,21854,424,424,424,424,0,17
Leopoldsburg,1,1,1973,1973,1973,1973,87854,23593,458,458,458,458,0,11
Wiers,1,1,2008,2008,2008,2008,1523986,2205124,272,272,272,272,0,35
Lier,2,1,1988,1988,1988,1988,5789597,2460919,379,379,379,379,1,71
Richelle,1,1,1999,1999,1999,1999,2372,749,33,33,33,33,7,492
