int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,90,27,2007,2007,2008,2008,418196078,533988161,743,1505,1028,1083,105,7965
Container,136,24,2006,2008,2012,2011,2489177068,3027945371,809,930,1074,1076,379,29245
Chemical tanker,33,9,2007,2007,2007,2007,263869059,404907969,1053,1000,947,942,104,7896
Cruise,341,49,2007,2006,2007,2007,13930179260,1323809507,241,373,400,415,2945,227310
Oil tanker,4,2,2008,2007,2007,2007,31496887,48977443,1068,1341,1195,1184,16,1222
Service - tug,33,3,1969,1975,1972,1973,2310938,2431570,62,845,353,410,8,599
Bulk carrier,6,6,2006,2006,2007,2007,370539785,668478387,1388,2627,3206,3326,33,2521
Ferry-RoPax,2,1,2007,2007,2007,2007,5289940,446922,227,227,227,227,2,141
Offshore,1,1,2011,2011,2011,2011,9384311,4396463,749,749,749,749,2,117
Service - other,2,2,1990,1990,1997,1996,1181957,669316,651,651,249,193,2,158
Ro-Ro,1,1,2002,2002,2002,2002,110111315,62905857,4739,4739,4739,4739,29,2238
