int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,450,180,2007,2007,2007,2007,19867757168,24865153940,472,1110,1074,1081,2541,196791
Oil tanker,31,22,2002,2002,2005,2005,821228794,1359897099,635,1320,1312,1325,187,14447
General cargo,54,36,2003,2004,2007,2007,715133116,1014884738,531,1562,1335,1350,156,11976
Refrigerated bulk,50,29,1989,1990,1990,1990,364983989,413224868,720,1391,1318,1317,293,22127
Vehicle,90,43,2007,2008,2007,2006,3896026933,1181398266,144,577,818,749,278,21483
Bulk carrier,103,95,2007,2008,2008,2008,4750714545,8143706787,656,1740,1661,1662,520,40267
Chemical tanker,83,57,2007,2007,2010,2010,966645687,1577882639,171,673,697,712,208,15984
Ro-Ro,110,25,2012,2010,2009,2009,1804696406,922060778,102,600,279,293,206,15914
Liquefied gas tanker,40,15,2012,2012,2012,2012,512626843,583869037,204,729,860,854,97,7398
Miscellaneous - fishing,10,5,1984,1982,1981,1981,16881345,19341386,974,1755,1738,1732,10,773
Service - other,6,5,2005,2004,2011,2011,82185552,134749870,468,1211,3228,3356,19,1469
Service - tug,11,7,1994,1991,1989,1988,2233001,1991678,893,831,676,611,11,847
Offshore,11,4,1997,1990,2004,2004,253543925,458416812,327,698,193,192,6,444
Cruise,1,1,1998,1998,1998,1998,13982741,1246933,462,462,462,462,3,259
Ferry-pax only,2,1,1969,1969,1969,1969,1677860,247833,712,712,712,712,1,105
