int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,39,14,2010,2007,2008,2008,388887490,497845157,939,1666,1557,1519,86,6527
Cruise,171,44,2005,2002,2008,2006,14636376442,1324261665,774,1175,844,868,3048,234353
Vehicle,13,12,2007,2008,2007,2006,586714295,184866556,937,961,977,976,36,2826
Bulk carrier,7,5,1987,1989,2006,2008,183499448,319086744,2060,2015,2385,2436,21,1588
Container,102,3,1996,2001,1995,1995,349425402,391690090,709,817,718,722,129,9788
Chemical tanker,10,9,2006,2007,2008,2008,173792867,284797470,931,1019,1037,1032,35,2692
Oil tanker,2,2,2006,2006,2005,2005,33017937,53871335,904,904,898,898,6,466
Service - other,8,5,1991,1994,1991,1990,32286953,18272976,2346,2825,2540,2338,28,2098
Ferry-pax only,3,3,1952,1952,1959,1934,840101,527614,1075,1125,1114,1269,2,123
Other liquids tankers,1,1,1994,1994,1994,1994,66792572,86258011,4389,4389,4389,4389,18,1401
Liquefied gas tanker,6,4,2011,2009,2008,2008,533842012,449201381,1477,2387,4204,4049,50,3230
Miscellaneous - fishing,1,1,1996,1996,1996,1996,2434570,1166383,2909,2909,2909,2909,3,248
Offshore,2,2,2015,2015,2013,2013,13288461,6462496,1204,1204,1294,1291,4,292
Ferry-RoPax,1,1,2018,2018,2018,2018,13843973,1412112,4399,4399,4399,4399,3,255
