int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,172,54,2002,2001,2007,2007,3672005946,334542358,114,248,232,236,736,56962
Container,4,4,2009,2009,2008,2008,37422652,45239356,367,437,438,439,6,499
Oil tanker,258,173,2008,2009,2012,2012,55699066310,105739676971,715,2582,3456,3534,4441,343486
Bulk carrier,65,56,2012,2011,2013,2013,5013993243,9025711647,1587,2060,2214,2266,397,30713
Chemical tanker,212,103,2009,2009,2010,2010,5842997964,9759762660,551,1623,1471,1495,1075,82846
General cargo,217,47,1998,2004,2006,2006,479971947,708086300,114,820,677,679,119,9098
Liquefied gas tanker,34,30,2011,2010,2013,2013,11661130617,10188905240,1975,4235,5956,5686,1188,75143
Vehicle,10,9,2006,2007,2007,2007,41201748,12888475,83,97,92,93,3,241
Service - tug,159,23,2004,1996,1997,1997,15331809,9555659,135,624,310,296,56,4215
Offshore,101,13,1982,1991,1992,1986,8141032,9427892,66,146,109,92,26,1970
Ro-Ro,6,2,1986,1984,1990,1990,2165111,1796698,79,74,84,83,2,153
Refrigerated bulk,3,3,1991,1991,1991,1991,46359485,54318084,1531,2098,1950,2003,18,1372
Ferry-RoPax,25,2,1971,1972,1971,1971,1130813,295326,52,54,57,57,2,131
Service - other,2,2,2000,2000,2007,2009,3765181,6601663,809,809,932,1293,2,162
Miscellaneous - fishing,1,1,1983,1983,1983,1983,90713,77427,458,458,458,458,0,26
