int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,258,173,2008,2009,2011,2011,67718341777,128168617001,905,3281,4202,4284,6258,483958
Bulk carrier,65,56,2012,2011,2013,2013,5816535925,10394146683,2368,2459,2568,2610,490,37812
General cargo,217,47,1998,2004,2007,2007,706480775,1025507213,56,1073,996,983,149,11382
Liquefied gas tanker,34,30,2011,2010,2012,2012,6247007112,5841286966,2375,3342,3191,3260,748,50526
Chemical tanker,212,103,2009,2009,2009,2009,6269823973,10350865697,773,1680,1579,1586,1245,96015
Cruise,172,54,2002,2001,2006,2005,6571191073,576061640,147,444,416,406,1291,99847
Vehicle,10,9,2006,2007,2006,2005,99397370,29037126,134,213,223,209,8,624
Offshore,101,13,1982,1991,1992,1986,9756986,11877902,80,237,130,115,43,3264
Service - tug,159,23,2004,1996,1991,1992,22190993,13774464,171,1191,448,427,66,4964
Ro-Ro,6,2,1986,1984,1990,1990,3805706,3133408,149,120,148,145,3,239
Refrigerated bulk,3,3,1991,1991,1992,1992,69213928,77218628,2008,2527,2912,2848,32,2466
Container,4,4,2009,2009,2010,2010,87078016,108343426,383,1154,1020,1052,20,1510
Ferry-RoPax,25,2,1971,1972,1971,1971,1515219,397478,64,63,77,77,5,378
Service - other,2,2,2000,2000,2008,2009,7274656,13021390,1546,1546,1800,2551,4,318
Miscellaneous - fishing,1,1,1983,1983,1983,1983,126275,107781,638,638,638,638,0,34
