dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ro-Ro,93,5,2004,2011,2007,2008,8560895,7437786,88,773,137,162,67,5047
Service - tug,470,39,2015,2011,2013,2013,217787351,168912482,116,855,179,188,168,12603
Offshore,1303,31,2014,2013,2014,2014,207681982,131367564,153,472,197,181,520,39074
Service - other,113,9,2013,2012,2007,2010,111116866,51924805,369,1344,1330,1234,127,9568
Ferry-RoPax,2,1,2015,2015,2015,2015,3840069,1664805,776,776,776,776,7,539
Oil tanker,2,2,1988,1988,1988,1988,450398,579115,259,259,245,250,1,41
Chemical tanker,6,4,2004,2003,2005,2005,13044143,17450342,285,604,717,655,5,401
General cargo,1,1,2008,2008,2008,2008,750864,1287743,294,294,294,294,0,17
Container,3,3,1999,1999,2001,2001,14145709,18307546,542,534,655,653,3,212
Liquefied gas tanker,2,1,2002,2002,2002,2002,324814974,212028314,1457,1457,1457,1457,38,2538
