int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,97,28,2009,2007,2010,2010,696229189,1061640325,1031,1273,1250,1273,203,15549
Ro-Ro,38,9,2012,2009,2004,2005,108848231,79206004,402,1101,2385,1439,73,5494
Service - tug,203,82,2011,2010,2011,2010,290151505,277069040,534,1602,1025,973,223,16762
Container,115,26,2002,2005,2004,2003,1586026133,2016189598,918,898,1021,1022,447,34459
Offshore,99,54,2012,2012,2011,2010,204025271,173891283,540,1285,829,948,209,15723
Oil tanker,94,68,2004,2005,2006,2006,7944402142,14614540823,1130,1653,1817,1819,692,53546
General cargo,126,92,2005,2005,2007,2007,1922071056,2586605864,1530,1591,1677,1664,382,29272
Bulk carrier,61,55,2006,2006,2005,2005,2281442325,3890732199,1705,1716,1900,1931,222,17172
Cruise,18,11,2001,2002,2001,2000,378026479,50063598,307,676,621,689,73,5663
Service - other,19,14,2009,2010,2005,2008,31871574,17295848,513,1530,1694,1758,34,2582
Vehicle,31,16,2010,2006,2010,2010,1681046661,508316385,1019,1293,1124,1131,113,8723
Liquefied gas tanker,91,10,2007,1999,2008,2007,22105784499,16934010936,2398,2982,2590,2546,2269,141506
Ferry-RoPax,2,2,2008,2008,2013,2012,10874582,5234400,3583,3583,3678,3653,12,935
Miscellaneous - fishing,1,1,1995,1995,1995,1995,30137,25001,97,97,97,97,0,7
Ferry-pax only,1,1,2018,2018,2018,2018,3540857,3240784,6001,6001,6001,6001,3,247
