int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,150,69,1993,1995,1994,1998,2082350716,2148278058,1825,2030,2130,2008,420,32178
Bulk carrier,141,132,2008,2009,2010,2010,12717260537,22401336455,2539,2764,2996,3041,1120,86500
Container,110,22,2003,2002,2004,2004,1410901603,1707586909,883,988,1091,1079,370,28388
Miscellaneous - fishing,109,80,1996,1996,1997,1995,640129846,518982169,6075,10335,8462,9494,715,53669
Chemical tanker,40,37,2007,2007,2009,2009,1538125737,2505462878,1858,1957,1960,1980,281,21605
Refrigerated bulk,21,15,1994,1995,2000,1999,505939073,583139553,3712,4433,4909,4868,245,18621
Cruise,39,33,1994,1994,1997,1996,1596860709,193388153,1318,1523,1253,1321,399,30709
Service - other,18,17,2001,2002,1998,1998,172555549,88519536,2087,2280,2388,2252,88,6576
Offshore,12,12,1996,1996,2003,2004,786290268,595069564,3228,9843,4942,5095,340,25087
Oil tanker,20,20,2008,2008,2011,2011,5851805006,10985040024,2535,3469,4283,4281,464,35762
Service - tug,15,13,2000,2001,2000,2000,26455064,21447954,2023,2074,1655,1569,41,3084
Liquefied gas tanker,23,9,2012,2010,2010,2010,1140859724,1222248344,1701,2228,2543,2490,126,9433
Yacht,1,1,1911,1911,1911,1911,1042452,1117290,3440,3440,3440,3440,0,0
Ferry-pax only,3,2,1943,1955,1984,1968,9014974,896616,3699,2889,3421,2947,6,452
Ferry-RoPax,5,4,2000,1999,2001,1999,91159530,7295773,1881,2065,2591,2605,25,1901
Vehicle,1,1,2006,2006,2006,2006,126295091,40425304,2060,2060,2060,2060,4,303
Ro-Ro,1,1,1979,1979,1979,1979,27966424,18310498,7153,7153,7153,7153,73,5506
