port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Limbe - Kole Oil Terminal,14,5,1989,1990,1993,2000,881479,391166,182,183,130,98,5,403
Douala - Limbe,6,4,1990,1991,1996,1990,389378,513914,147,146,129,116,2,183
Douala - Kribi,242,41,2011,2006,2008,2008,162743026,203253121,91,392,121,120,154,11691
Douala - Limboh,227,41,2002,2004,2004,2004,112456224,173895193,77,133,106,104,187,14102
Limbe - Kribi,6,5,2003,2004,2011,2011,26899289,44924868,101,228,400,424,4,319
Limboh - Moudi Terminal,25,8,1994,2004,2004,2005,14629761,24389743,115,125,196,210,60,4649
Douala - Kole Oil Terminal,183,12,2008,2006,2009,2010,39554067,36467331,114,133,130,130,44,3318
Kole Oil Terminal - Moudi Terminal,196,10,2008,2004,2009,2009,25403028,23090350,73,105,81,82,27,1990
Douala - Moudi Terminal,212,16,2004,2005,2008,2008,39490757,39904331,124,452,144,141,54,4065
Limbe - Moudi Terminal,4,4,1988,1988,1990,1990,4024692,7146902,69,68,73,73,1,43
Moudi Terminal - Kribi,6,3,2011,2012,2013,2013,24556081,43734755,183,188,144,142,4,299
Kribi - Limboh,6,6,2008,2008,2001,2000,3176138,5346248,105,112,104,104,2,115
Limboh - Kole Oil Terminal,18,6,2000,2000,2007,2009,2307081,1904366,94,109,118,117,2,185
Kribi - Kole Oil Terminal,8,4,2010,2009,2010,2010,2138756,1965705,143,141,152,153,2,137
Limboh - Limboh,4,1,2007,2007,2007,2007,82226036,97986694,1337,1337,1337,1337,17,1268
Limbe - Limboh,3,3,1992,1992,2003,1988,294801,496823,252,229,134,204,3,242
