port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Vancouver - New Westminster,36,19,1982,1988,1997,2001,21467432,28194991,151,316,89,76,30,2255
New Westminster - Crofton,110,16,1974,1982,1998,1999,28293213,39483142,90,126,129,128,18,1317
Crofton - Powell River,78,7,1972,1971,1972,1972,1539042,1062066,80,86,124,124,8,569
Powell River - West Vancouver,72,11,1977,1977,1985,1984,4048121,2940835,126,280,219,200,11,844
West Vancouver - New Westminster,15,8,1978,1983,2009,2012,5695154,9093416,215,215,82,75,6,483
Crofton - Vancouver,32,11,1976,1982,2002,2002,23704361,32837677,96,153,141,140,9,663
Vancouver - Powell River,98,10,1974,1979,1979,1982,2149362,1156161,76,241,155,187,14,1062
Powell River - New Westminster,226,11,1971,1970,1971,1970,5120589,3750415,93,111,152,151,26,1962
Port Mellon - Nanaimo,18,10,1969,1970,1970,1970,570522,371840,129,154,165,159,3,197
Nanaimo - Vancouver,101,18,1977,1986,2008,2008,558538966,72703684,83,1480,4086,408,152,11385
Nanaimo - New Westminster,1265,17,1974,1976,1974,1978,58696599,51961722,47,62,92,94,109,8149
Nanaimo - Powell River,10,6,1973,1975,1973,1973,318624,216641,185,219,217,217,2,154
Port Mellon - Crofton,54,26,1986,1991,2000,2000,108685731,156753058,121,120,116,116,33,2498
Crofton - West Vancouver,40,6,1971,1971,1970,1970,787249,537034,85,92,121,120,4,299
Powell River - Vancouver Anch,11,6,1969,1970,1969,1968,542031,461474,248,312,287,279,2,114
Vancouver Anch - New Westminster,11,10,2009,2008,2012,2012,26189611,41307409,59,99,77,75,14,1025
New Westminster - Esquimalt,8,4,1977,1977,1983,1983,16195918,19317874,205,497,1350,1390,11,820
Esquimalt - Powell River,3,2,1973,1972,1973,1974,129624,83360,171,208,203,219,1,52
New Westminster - Victoria,60,46,2001,2003,2006,2005,227709650,224729688,86,96,90,92,39,2916
West Vancouver - Victoria,26,18,1997,1998,2002,2002,136594480,13365675,94,121,94,95,42,3128
West Vancouver - Esquimalt,2,2,1975,1975,1975,1975,43836,31648,147,147,147,147,0,22
Nanaimo - Crofton,5,3,1970,1971,1972,1972,308189,182753,278,338,358,338,1,102
Powell River - Port Mellon,74,10,1973,1971,1971,1970,2377037,1244169,127,295,217,246,14,1022
West Vancouver - Nanaimo,43,11,1978,1979,2000,1992,8431736,1211732,71,84,71,72,5,396
Vancouver - Chemainus,22,7,1974,1979,2011,2015,4022968,6270176,57,140,102,96,2,142
