int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
St Johns,69,67,2001,2001,2006,2008,2138874625,1766788078,1884,2294,1633,1278,553,42126
Sept-Iles,112,106,2011,2011,2011,2011,25179616818,47736603329,2996,3349,3505,3505,1330,102004
Lauzon,4,4,2006,2006,2006,2006,216923460,333858369,3491,3317,2925,2834,36,2749
Thunder Bay,153,87,1994,1999,1996,1996,1039154579,1626795188,268,351,370,373,194,14550
Port Weller,368,154,1996,1999,2000,2000,2631122693,4032444943,293,430,447,452,385,28881
New Westminster,455,230,1997,2004,2008,2008,41349540682,30668333308,415,2750,2539,2476,3534,272109
Port Moody,236,150,2007,2009,2011,2011,12093515893,20875106071,623,2327,2464,2497,1527,116616
Prince Rupert,512,334,2004,2010,2010,2010,122522606522,162346770435,4226,3856,4126,4216,10977,847370
Victoria,447,187,2005,2006,2007,2008,30804274958,16860178272,608,1713,950,1387,5366,405579
Campbell River,3,3,1989,1989,2004,2000,673452,150110,200,187,140,148,1,94
Lantzville,4,3,1983,1980,1993,1992,181379,114794,128,138,141,149,1,60
Sidney,42,27,1988,1989,2014,2015,945733261,1601736006,212,1308,1659,1816,114,8649
Vancouver,1024,714,2008,2009,2011,2011,131281432987,216048648629,4237,3761,3100,3682,11467,881448
Come By Chance Harbor,162,132,2008,2009,2009,2009,17897243769,32835644781,1622,2010,2116,2131,1816,138183
Halifax,863,336,2008,2007,2010,2011,139729113080,126594019687,2481,2739,2938,3453,14513,1117006
Sault Ste Marie,641,114,1979,1987,1979,1979,3697889629,6827032611,293,363,282,284,514,38574
Goulais Bay,16,16,1979,1979,1983,1981,82876675,134553172,334,334,328,323,15,1161
Baie Comeau,70,54,2009,2009,2011,2012,5215816284,8338897807,2889,3599,3616,3661,711,54416
Port Alfred,134,75,2010,2011,2011,2011,13295872357,22883731781,3491,3531,3451,3449,1471,112835
Port Cartier,179,134,2010,2011,2010,2010,37259467969,70742620009,2957,3107,3273,3276,2103,161106
Yarmouth,54,6,2005,1992,2006,2005,206378786,32755668,435,2666,468,333,180,13520
Canaport,110,99,2010,2010,2011,2011,30818115261,56572854463,3013,3199,3856,3981,2825,212715
Pointe Noire,91,85,2010,2010,2011,2011,17405724853,32618981262,2969,3184,3241,3245,995,76365
Tadoussac,57,55,2009,2009,2009,2009,5249934913,8818717540,3202,3132,3090,3103,602,46049
Sarnia,200,54,1982,1982,1980,1980,764531465,1571553616,201,162,239,249,138,10359
Sorel,76,69,2007,2008,2010,2010,6417000295,10504771775,3367,3913,4134,4153,794,60840
Port Colborne,477,154,1990,1996,1995,1996,3484222644,5288901329,237,456,457,462,473,35605
Montreal,318,174,2006,2006,2006,2006,24838620810,34312564146,3215,3286,3046,3123,3704,282837
Point Edward,76,57,1985,1989,1988,1988,253475704,411228611,156,234,221,222,77,5756
Sainte-Catherine,19,19,2005,2005,2004,2004,676357700,1061815824,3270,2420,3091,3240,108,8274
Nanticoke,193,37,1982,1988,1980,1980,1582891832,2364828511,482,380,475,474,244,18346
Port Mellon,66,24,1984,1989,2000,2000,2522745447,3832220208,494,1958,3228,3204,254,19469
West Vancouver,242,94,1998,2005,2007,2011,12631870773,10557316524,543,2047,1081,2367,2161,163867
Vancouver Anch,446,394,2008,2010,2011,2011,73990881647,133938840572,4687,3953,4024,4332,5199,400195
Crofton,56,38,1991,1996,2008,2009,3493401090,5425773431,1941,2993,4337,4334,339,26099
English Bay,50,15,2000,1993,2006,2005,1758819058,187566984,540,390,549,555,475,35680
Lunenburg,9,8,2002,2000,1986,1986,7541844,3474021,93,462,337,216,17,1314
Esquimalt,31,15,1984,1999,2012,2012,3160309341,5598392942,308,2319,3379,5654,328,25035
Montreal Est,114,98,2010,2009,2009,2010,9114010838,15200686612,3347,2950,2991,2987,1322,100631
Powell River,53,15,1979,1982,2013,2016,349811776,582647617,184,1841,5885,7851,53,4030
Hamilton,64,43,1990,1993,1992,1992,435064178,675160539,229,506,436,451,151,11340
