int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,767,351,2007,2007,2006,2006,30958052333,44717606617,2295,2826,2648,2657,4957,378486
Bulk carrier,4851,1911,2000,2010,2010,2010,467983372821,849974154458,1258,3763,2929,3001,34073,2616641
Oil tanker,579,339,2009,2009,2010,2010,98874436717,184519370913,2583,3204,3129,3179,9529,728339
Container,1746,426,2007,2007,2008,2008,315222706506,347386764587,2818,2990,3038,3015,36610,2818944
Cruise,696,95,2003,2000,2005,2004,36192944488,3404628324,551,662,689,686,8261,622327
Service - tug,1116,206,1980,1985,1993,1993,340633424,266478931,184,968,615,741,736,55277
Ferry-RoPax,177,60,1986,1990,1991,1987,2121627552,330373429,195,2637,1392,1122,994,71922
Chemical tanker,1041,419,2009,2010,2010,2010,41807309932,68432804217,1408,2587,1921,1944,6935,527806
Miscellaneous - fishing,233,92,1990,1988,2000,2000,704111730,373490490,144,2685,3820,3585,432,32613
Vehicle,407,235,2007,2007,2008,2007,60277415534,20093712326,2863,2627,2546,2554,3424,263484
Service - other,163,69,1991,1994,2002,2001,1067921104,500192946,199,1539,2149,1907,469,35397
Offshore,42,24,1990,2002,2009,2009,712839766,957974364,115,1118,888,725,134,10107
Ferry-pax only,36,12,1981,1977,1986,1974,11750926,1981486,425,407,486,488,39,2961
Refrigerated bulk,11,10,1995,1995,1996,1996,820083532,899987015,7785,6245,6477,6462,299,22835
Ro-Ro,130,26,2012,2003,2015,2016,16460555785,9102024607,922,1089,1575,1575,1140,87034
Liquefied gas tanker,12,11,2011,2011,2011,2011,2348368847,2007557768,2238,2605,2748,2769,292,18560
Miscellaneous - other,1,1,1989,1989,1989,1989,20900975,5631922,3240,3240,3240,3240,7,516
