int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Nanticoke,185,42,1983,1985,1985,1984,749158756,1115768347,187,252,236,234,128,9628
New Westminster,475,228,1998,2004,2003,2005,34362075365,22934202057,456,1865,1912,1656,2547,194884
West Vancouver,271,102,1998,2005,2007,2011,15438412117,12297214857,571,2449,1182,2625,2666,201882
Vancouver,1191,803,2008,2010,2010,2011,216469801266,325252635860,4441,4532,4125,4627,19454,1499734
Nanaimo,91,53,1999,2003,2012,2012,6082503630,9823216860,4198,3544,4453,4510,584,44974
Port Mellon,56,18,1980,1988,2001,2001,977438190,1570688061,318,1115,2042,2068,106,8118
Crofton,58,40,1993,1998,2008,2008,4576982431,7112554442,4384,3473,4449,4513,471,36243
Vancouver Anch,381,341,2008,2010,2011,2011,77391639531,133813782117,4527,4489,4780,5021,6141,473446
Port Moody,274,175,2008,2009,2011,2011,23302948862,40032380691,1802,3986,4057,4103,2838,218394
Bayside,34,25,2000,2000,1997,1997,710139021,943190148,1075,1856,2144,2041,205,15560
Port Cartier,224,172,2010,2011,2011,2011,77954451002,148889080584,3124,5690,5934,6005,4875,375706
Sainte-Catherine,51,51,2005,2005,2008,2008,1783690966,2723829608,3089,2526,2530,2510,328,25014
Montreal Est,146,123,2009,2009,2009,2009,11807849831,19526077083,3355,3115,3196,3197,1600,122027
Cornwall,49,46,2000,2002,2010,2010,1079675446,1654647054,285,1480,1782,1803,164,12527
Montreal,235,148,2006,2007,2007,2007,19523710540,26563617749,3250,3026,3238,3237,2784,212937
Three Rivers,104,97,2007,2007,2009,2009,8414299904,13510979308,3263,3562,3972,4087,1075,82327
Roberts Bank,499,280,2009,2009,2009,2009,126978079270,188580329077,4334,4802,3394,4035,10577,809621
Port Colborne,240,107,1988,1994,1992,1992,1099015091,1663031728,211,314,297,302,170,12790
Longue Pointe,278,148,2004,2005,2003,2003,33460479684,42273155270,3270,3396,3532,3561,4333,332025
Saint John,532,145,2007,2008,2008,2009,14220388694,18391629605,558,1884,1029,1141,2169,164873
Matane,23,23,2005,2005,2007,2007,832814911,1181727709,2797,2773,2422,2566,184,14028
Walpole Island,7,7,1982,1982,1978,1977,13702042,24229223,86,159,180,184,3,201
Leamington,13,6,1966,1973,1966,1968,6460744,5221315,723,250,125,66,17,1247
Sault Ste Marie,623,96,1978,1982,1979,1978,4280772874,8068699295,338,304,331,332,635,47661
