int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,1041,419,2009,2010,2010,2010,45777765677,75070615369,1390,2844,2103,2132,7414,565682
Service - tug,1117,207,1980,1985,1993,1993,323220142,245878360,199,994,583,683,667,50083
Miscellaneous - fishing,233,92,1990,1988,1998,1996,596322230,291336099,156,2849,3235,2796,383,28851
Bulk carrier,4854,1911,2000,2010,2010,2010,618051233310,1138466038431,1806,4767,3865,4015,45844,3531114
General cargo,768,351,2007,2007,2006,2006,32933292422,47830983937,2696,2840,2815,2840,5125,391680
Container,1748,427,2007,2007,2007,2007,252786940395,277786673271,1630,2515,2431,2406,28597,2196054
Oil tanker,579,339,2009,2009,2009,2009,75980301275,140338732717,2124,2556,2405,2418,8150,623065
Ferry-RoPax,181,64,1987,1992,1995,1991,5407821379,787482557,188,9666,3531,2637,1979,143649
Vehicle,407,235,2007,2007,2003,2003,44263981335,15034501460,626,1617,1870,1911,2540,194731
Service - other,163,69,1991,1994,2000,1999,794704157,366426230,218,2128,1599,1397,421,31830
Cruise,696,95,2003,2000,2003,2003,25154349363,2511986140,417,707,479,506,6058,456417
Offshore,42,24,1990,2002,2009,2009,394286663,582235588,186,3017,491,441,145,10893
Ferry-pax only,36,12,1981,1977,1990,1982,87125447,22651838,1277,2146,3602,5576,122,9196
Refrigerated bulk,11,10,1995,1995,1996,1995,409249270,451254895,3256,3217,3232,3240,177,13454
Ro-Ro,130,26,2012,2003,2015,2015,17412631321,9625261152,2374,1874,1666,1666,1298,99303
Liquefied gas tanker,12,11,2011,2011,2010,2011,2310729813,1954809818,2278,2472,2704,2696,283,18111
Miscellaneous - other,1,1,1989,1989,1989,1989,34083385,9184019,5284,5284,5284,5284,20,1495
