int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,540,79,2005,2003,2007,2006,26824472778,2401941033,370,526,475,481,5513,425547
Oil tanker,9,8,2004,2004,2004,2004,290228520,513091602,794,833,872,872,45,3484
Liquefied gas tanker,13,9,2007,2007,2011,2011,182493799,204886875,896,818,872,875,31,2385
General cargo,169,14,1997,1999,2000,1999,335925239,439080120,692,537,659,654,125,9415
Bulk carrier,21,4,1972,1979,1988,1990,66147120,114965692,992,825,875,885,17,1294
Container,31,5,1997,1997,1997,1997,96575051,126870963,745,707,724,724,33,2529
Service - other,2,2,1984,1984,1987,1986,20960394,10367616,4950,4950,2907,3271,17,1272
Chemical tanker,28,22,2010,2010,2010,2010,922119957,1535379883,1002,1418,1392,1396,141,10900
Service - tug,1,1,2009,2009,2009,2009,581044,557605,378,378,378,378,0,15
Ro-Ro,87,4,1986,1980,1988,1987,182221241,209041385,359,624,414,439,84,6437
Offshore,1,1,2009,2009,2009,2009,5150234,2887863,411,411,411,411,0,0
