int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,540,79,2005,2003,2007,2007,28573098338,2462294434,349,519,506,493,5901,455630
Oil tanker,9,8,2004,2004,2004,2004,384702602,681446648,1044,1014,1155,1158,49,3778
Liquefied gas tanker,13,9,2007,2007,2011,2011,180219355,202564350,678,797,861,865,36,2755
General cargo,169,14,1997,1999,1999,1998,314011251,422052992,661,681,616,629,122,9182
Bulk carrier,21,4,1972,1979,1996,1997,140966446,255043469,839,1268,1864,1963,30,2281
Service - other,2,2,1984,1984,1990,1989,6175259,2773298,960,960,856,875,4,327
Container,31,5,1997,1997,1998,1998,106443668,140720269,713,889,798,803,38,2873
Chemical tanker,28,22,2010,2010,2011,2011,967032709,1623174120,1017,1336,1459,1476,134,10314
Service - tug,1,1,2009,2009,2009,2009,1855093,1780261,1207,1207,1207,1207,1,44
Ro-Ro,87,4,1986,1980,1988,1987,169094952,192787431,346,640,385,404,90,6870
Offshore,1,1,2009,2009,2009,2009,11232820,6298518,896,896,896,896,0,0
