port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Puerto Angamos - Barquito,15,10,2009,2009,2009,2009,37568509,53696783,232,240,239,240,17,1288
Iquique - San Antonio,179,120,2007,2008,2008,2008,8101532327,3367737203,832,882,855,851,539,41748
Antofagasta - Arica,57,27,2012,2011,2013,2014,638033820,795619018,340,350,349,350,106,8213
San Vicente - Patillos,2,2,2011,2011,2011,2011,61849227,108360878,987,987,987,987,5,417
Lirquen - San Vicente,75,26,2011,2011,2011,2011,74664505,132575693,78,103,54,53,126,9692
Huasco - Coloso,2,2,2011,2011,2011,2011,22186566,37768059,347,347,347,347,3,223
Ayacara - Hualaihue,11,2,2016,2016,2016,2016,14041665,9096951,537,551,812,800,13,1002
Hualaihue - Puerto Montt,346,39,2001,1998,2004,2003,57307212,46672145,53,234,142,119,174,13073
Puerto Montt - Chaiten,241,17,2002,2000,2005,2005,33312070,24103052,97,194,119,124,35,2627
Puerto Montt - Quellon Viejo,558,56,2001,1995,2004,2005,162994908,175994355,129,265,299,293,147,11055
Chaiten - Quellon Viejo,123,11,2001,1999,2002,2003,10155467,8091481,47,118,79,86,12,925
Quellon Viejo - Puerto Cisnes,552,26,2004,1996,2006,2005,112395428,103258336,127,189,166,172,82,6162
Puerto Cisnes - Melinka,114,20,1994,1988,1993,1989,23678452,20178757,133,162,167,176,13,1000
Melinka - Puerto Montt,216,43,1987,1991,1986,1987,79788354,90112287,194,255,353,364,70,5235
Puerto Montt - Ayacara,105,17,2006,1998,2014,2015,32960191,30136947,82,101,220,204,32,2391
Puerto Montt - Chacao,69,10,2011,1998,2009,2009,11327525,9191838,54,227,124,143,22,1645
Chacao - Hualaihue,3,2,2017,2017,2018,2018,7710741,2837846,674,1238,1636,1327,7,547
Chacao - Ayacara,11,2,2004,2010,2010,2010,625926,360640,62,133,95,101,1,58
Puerto Angamos - Quintero,103,43,2008,2010,2010,2010,1404036052,2380335294,625,644,638,637,376,29055
Quintero - San Vicente,229,63,2010,2010,2011,2010,2911744681,5115796363,296,387,360,366,1293,100118
Punta Arenas - Puerto Williams,21,14,1994,1992,1993,1991,204339267,145448857,1794,3159,1432,4814,77,5874
Puerto Williams - Tres Puentes,174,10,2008,2001,2003,1998,67646204,45719049,302,1484,458,477,109,8186
Antofagasta - San Antonio,63,33,2012,2010,2012,2012,1524766270,1964130705,624,632,627,627,173,13369
San Antonio - Lirquen,159,64,2007,2009,2010,2010,3016619538,3300344858,224,255,254,254,316,24381
Isla De Pascua - Valparaiso,26,7,1980,1990,1993,1981,203782940,81865026,2181,2115,2073,2185,97,7356
Isla De Pascua - Quintero,14,3,1999,1996,2002,2002,70239927,105085369,2115,2154,2126,2124,55,4159
Coloso - Puerto Patache,3,3,2012,2012,2012,2012,26469599,46351021,222,271,272,271,3,268
Puerto Natales - Puerto Eden,132,23,1993,1990,1987,1987,227681296,115642011,267,855,323,392,104,7868
Puerto Eden - Puerto Montt,130,23,1990,1990,1986,1990,411542886,245287663,550,626,591,696,125,9513
Puerto Montt - Puerto Natales,165,20,1988,1988,1986,1989,984557883,570911046,813,1010,822,839,283,21667
Puerto Montt - Puerto Chacabuco,627,58,1984,1991,1986,1986,1354874057,621936302,285,463,293,302,536,40773
Lirquen - Puerto Montt,54,15,2001,2008,2005,2005,228750460,329835369,419,438,433,434,45,3428
San Antonio - Quintero,120,39,2008,2010,2009,2009,208358172,352103777,91,197,214,221,105,7952
Quintero - Puerto Patache,27,26,2010,2010,2010,2010,654768820,1149187715,771,800,803,803,72,5557
Achao - Quellon Viejo,89,11,1998,1999,2002,2004,13557800,14281857,61,129,144,153,10,738
Quellon Viejo - Melinka,566,41,2003,1999,2006,2007,174907922,199202567,77,292,260,276,134,10026
Melinka - Achao,5,4,1987,1987,1987,1986,1422601,1628470,274,322,302,349,1,61
Quellon Viejo - Hualaihue,92,25,2002,2004,2005,2006,23631731,26034079,100,210,248,252,18,1319
Quellon Viejo - Calbuco,250,32,2004,2000,2007,2008,98375209,108742767,158,333,355,342,79,5953
Calbuco - Puerto Montt,199,30,2000,1997,1999,1999,35088967,37560653,138,354,234,226,60,4522
Chaiten - Calbuco,126,10,1989,1997,1990,1990,10015830,6883653,74,87,93,93,10,731
Calbuco - Achao,83,13,2002,1998,2002,2002,8206018,8803029,50,100,102,106,8,622
Achao - Chaiten,2,2,2002,2002,2000,2007,163636,122835,73,73,66,54,0,8
Calbuco - Dalcahue,40,14,2002,2001,2004,2005,4101417,5222111,112,109,113,113,4,294
Dalcahue - Puerto Montt,111,17,1995,1997,1999,1999,19779046,17943021,77,219,148,180,42,3177
