int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Huasco,52,50,2011,2011,2011,2010,29584575217,57062699385,9281,6783,8114,8177,1782,137991
Puerto Angamos,384,240,2009,2011,2011,2011,19955712601,26356025992,788,2319,1611,1613,2450,183913
Barquito,21,12,2004,2007,2005,2005,191004546,315178865,678,642,732,735,46,3525
San Antonio,563,286,2009,2009,2008,2008,142862848589,117211712158,2057,4764,4230,3646,12384,959108
Iquique,130,100,2007,2007,2008,2008,14565745299,6230025150,685,2442,2586,2088,1028,79453
Quintero,267,217,2010,2010,2009,2010,39320741660,51187467796,2650,3156,3494,3288,4994,351323
Arica,146,92,2008,2009,2009,2009,5531847103,5259489272,620,1588,1517,1245,771,59584
Patillos,105,96,2012,2012,2012,2012,9713074882,16560342715,3570,3195,3274,3274,948,73232
San Vicente,258,139,2008,2008,2006,2007,39672209081,56401055395,2294,3582,3426,3415,4546,351971
Puerto Montt,79,63,2000,1999,2010,2010,1770508612,2809101424,582,1605,2398,2593,373,28435
Hualaihue,2,2,2016,2016,2017,2017,32714150,29582970,9976,9976,10207,11958,36,2723
Lirquen,106,92,2010,2010,2010,2011,18139921071,27946100949,3267,4356,3909,4204,1687,130468
Coloso,73,69,2012,2012,2013,2013,6631676073,11531184662,1490,2816,2775,2786,614,47527
Puerto Patache,141,134,2011,2011,2011,2011,14639438234,25379205206,2120,3401,3392,3390,1338,103401
Tres Puentes,36,29,1993,1996,1994,1998,232765240,139087716,854,1142,893,1183,109,8314
Quellon Viejo,23,22,2003,2004,2013,2013,319453552,496951289,354,1121,2241,2366,51,3940
Caldera,85,76,2010,2010,2013,2013,37737281139,71791226727,5003,5964,7689,7863,2268,175453
Mejillones,39,35,2009,2009,2012,2012,4076468751,4710730603,804,1998,2153,2129,422,29422
Punta Arenas,146,101,2005,2005,2008,2009,7380233683,9039691906,1648,2672,2242,3222,1322,98140
Coquimbo,34,32,2003,2003,2001,2002,1393233654,1373665085,1362,2653,1927,2178,400,30650
Valparaiso,253,178,2008,2007,2012,2012,57917574060,67242784897,3012,4308,4167,4146,5892,455121
Puerto Cisnes,7,7,1990,1990,1985,1987,1343707,1505353,85,146,152,148,1,74
Coronel,145,99,2007,2009,2010,2010,30541095809,40289151372,2699,4980,6048,6021,2336,180663
Chacao,7,6,2005,2003,2016,2015,50012886,26998876,2892,6175,10485,9501,66,4924
Caleta Patillos,29,25,2014,2014,2015,2015,3079143852,5463335608,3637,3345,3369,3374,297,22908
Guayacan,16,16,2008,2008,2010,2010,3022013674,5573225648,3006,3617,5354,5607,257,19847
Tocopilla,51,49,2013,2013,2013,2012,5956167953,9858107800,4102,4505,4493,4505,585,45281
Antofagasta,83,77,2008,2009,2010,2011,3664781768,5575981412,1465,2397,2236,2268,529,40793
Isla Guarello,12,12,2006,2006,2014,2014,1796211977,3330039332,2549,3205,4882,5018,163,12620
Pargua,8,8,2002,2002,2013,2014,509589327,563440459,1882,1750,2398,2331,44,3437
Vina Del Mar,9,9,2011,2011,2010,2011,1882910134,2616159144,3076,4206,5312,4863,189,12934
Michilla,13,13,2011,2011,2011,2011,1131859194,1945513565,811,2861,3160,3196,112,8684
Puerto Chacabuco,12,12,1992,1992,2004,2006,219732315,272207322,1290,3854,5845,5803,85,6481
Bahia De Valdivia,3,3,1996,1996,2008,1992,468305,154467,102,105,101,91,1,55
Queilen,4,3,2008,2009,2010,2010,128850473,246049744,388,1146,2830,2895,10,744
Puerto Williams,34,17,2000,1997,2007,2000,207712113,35890334,683,872,862,799,137,10323
Melinka,5,5,1986,1986,1982,1979,355780,444078,153,118,79,95,1,72
Pecket,6,6,2008,2008,2014,2014,1840932598,3554229549,7143,7070,6797,6799,139,10708
Llanquihue,1,1,1969,1969,1969,1969,1131948,1840050,2538,2538,2538,2538,1,51
Talcahuano,41,37,2005,2005,2006,2006,4228051403,6022536563,1990,3177,4284,3921,549,42350
Los Vilos,18,18,2009,2009,2012,2012,2078370651,3540812169,1606,4390,4735,4733,231,17853
Calbuco,37,26,2007,2007,2011,2011,10687397155,13688759121,9003,5671,8928,8804,677,52384
Puerto Natales,2,2,1998,1998,1994,1994,5836175,4894108,829,829,807,809,2,167
