int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,7736,1408,2007,2008,2011,2010,446586699439,495528920366,858,1211,1399,1369,48459,3747560
General cargo,1686,680,2004,2005,2002,2003,15909171076,21438421175,615,1181,1278,1243,2684,205986
Chemical tanker,822,484,2009,2009,2009,2009,14192709756,22990030961,764,1170,1377,1384,2483,191449
Oil tanker,520,314,2008,2008,2008,2008,26344069327,46562152897,1031,1409,1500,1511,3319,256672
Vehicle,462,154,2006,2007,2008,2008,18094122269,5932861887,878,1147,1080,1082,1336,103210
Bulk carrier,2261,1547,2007,2008,2009,2009,131905366167,233602984028,796,1576,1528,1527,9716,751770
Service - tug,111,58,2011,2010,2005,2003,176921558,160703767,316,1294,1345,1624,187,14064
Liquefied gas tanker,413,151,2007,2008,2012,2012,18008074841,15474931256,341,1323,2129,2042,2226,150346
Offshore,42,34,2009,2010,2003,2001,385447715,632667906,477,1010,1099,1208,92,6930
Cruise,135,43,2006,2002,2010,2009,10736629723,1078660856,505,828,810,803,2034,157511
Service - other,41,16,2007,1998,2004,2010,210110952,192210514,461,1283,1267,1395,66,4994
Other liquids tankers,2,2,2010,2010,2005,2005,2780315,2883497,993,993,1206,1163,2,191
Ferry-pax only,3232,91,1999,2000,1999,1998,1027133495,97279310,322,2008,571,571,1788,134248
Miscellaneous - fishing,20,9,1986,1992,1985,1985,23701082,18875638,1906,1695,2496,2125,39,2937
Ferry-RoPax,12,11,1997,1999,1993,1990,64777111,14283819,206,1002,660,712,40,2963
Refrigerated bulk,10,9,1995,1997,2004,2005,40648685,46374624,594,984,843,866,26,1979
Ro-Ro,4,3,2001,2003,1996,1996,42415136,40723173,1019,1135,1677,1696,8,617
