int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ferry-pax only,2219,60,1997,2000,1996,1995,616801920,60665986,302,1598,495,507,1253,94079
General cargo,89,17,2003,2002,2002,2002,104546346,133210992,239,337,603,556,20,1497
Service - other,3,3,2004,2004,1993,1993,13498195,12913441,177,192,173,169,2,153
Chemical tanker,64,21,2008,2009,2013,2013,43526293,67129232,143,209,272,281,42,3198
Bulk carrier,29,7,1998,2005,1994,1994,1703134868,2781573626,621,662,1855,1854,89,6890
Liquefied gas tanker,67,12,1999,2005,2000,2000,22055624,20647445,76,199,155,157,27,2077
Container,15,6,2001,2003,2006,2006,89525351,98882990,129,394,170,174,13,965
Oil tanker,15,3,2012,2010,2012,2012,3881801,5124054,88,203,192,198,8,598
Miscellaneous - fishing,1,1,2014,2014,2014,2014,173322,85501,122,122,122,122,0,7
Offshore,4,3,2004,2003,2008,2009,21034451,21355586,605,1876,2171,2378,12,888
Service - tug,2,2,2005,2005,2012,2012,11031477,10251437,2038,2038,2332,2208,7,507
