port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Dong Guan - Shuidong,3,3,2005,2005,2008,2009,8030993,11153763,537,465,517,513,2,169
Shuidong - Guishan,18,17,2007,2007,2006,2007,62215900,69016834,247,347,356,340,12,933
Guishan - Shantou,34,19,2007,2006,2007,2008,40799319,52457304,244,297,296,295,20,1521
Guishan - Nansha,814,448,2007,2007,2013,2012,6382116946,8441720612,54,215,261,250,1945,149180
Guishan - Zhoushan,124,99,2007,2008,2007,2006,1997354640,2857173153,746,836,803,800,295,22688
Dong Guan - Guishan,520,218,2003,2006,2003,2004,1056554632,1288457711,59,103,109,131,291,22258
Guishan - Jiangyin,35,23,2008,2008,2010,2010,747654184,1051629131,424,837,697,769,76,5887
Jiangyin - Huizhou,25,17,2009,2008,2010,2010,51255012,54527985,466,539,584,559,24,1837
Qianwan - Shanghai,1209,415,2007,2008,2008,2008,25924070246,29901592151,435,529,514,511,3332,257471
Shanghai - Liuheng,870,328,2007,2008,2007,2008,9734171123,11700540322,199,326,260,260,1526,117738
Liuheng - Chiwan,407,185,2009,2009,2010,2010,23441900436,25953157723,758,776,780,779,2370,183602
Shanghai - Chiwan,297,117,2006,2006,2006,2006,10769887211,12662340761,889,1005,940,937,1399,108212
Qianwan - Jingtang,8,8,2009,2009,2010,2010,277514269,317572619,417,414,417,416,26,2007
Jingtang - Tianjin Xin Gang,152,100,2009,2009,2009,2009,587841125,648691186,96,313,103,102,208,15909
Tianjin Xin Gang - Qianwan,382,226,2009,2010,2012,2011,14153261162,15779852356,469,502,498,500,1315,101700
Qianwan - Yangshan,689,352,2010,2010,2011,2011,43906146737,46514033015,485,604,583,581,3656,283178
Yangshan - Liuheng,844,398,2009,2009,2010,2009,11937758440,13085086253,141,185,172,174,1499,116031
Qianwan - Liuheng,188,125,2011,2011,2011,2011,9897114881,11309191642,516,612,601,598,1039,80464
Tianjin - Qingdao Gang,148,119,2007,2007,2009,2009,3224479858,4146724153,468,535,502,505,436,33636
Qingdao Gang - Lianyungang,193,68,2000,2006,2004,2004,717048545,985772244,140,346,175,171,157,12054
Tianjin - Qianwan,983,400,2008,2009,2009,2009,24576155574,28819776640,461,522,499,502,2785,215328
Qianwan - Lianyungang,995,165,2002,2007,2005,2005,4027449764,5164422724,146,201,178,178,736,56511
Jingtang - Tianjin,623,165,2009,2007,2011,2010,1065885885,1128405730,99,124,132,123,301,22969
Xijiang - Haian,3,3,2009,2009,2009,2009,106053577,181740955,2513,2135,2408,2446,11,846
Haian - Beilun,6,6,2009,2009,2008,2009,173155270,250911280,1216,2065,1180,1241,26,2025
Guishan - Zhuhai,122,82,2003,2004,2004,2005,513419662,773504163,76,378,223,209,89,6788
Nansha - Donghai,8,7,2006,2005,2008,2008,32972790,41739022,168,156,149,139,7,544
Guishan - Gaolan,138,102,2008,2008,2011,2012,327862227,513979592,75,178,179,181,81,6224
Gaolan - Chiwan,18,12,2004,2005,2006,2006,27953572,35407009,107,146,156,154,8,627
Taicang - Yangzhou,50,37,2009,2009,2012,2012,206107996,333177241,131,193,209,215,43,3284
Taicang - Zhoushan,241,179,2008,2008,2011,2011,3075956620,5631449340,225,318,372,383,448,34474
Shidao - Luhuashan,65,61,2005,2005,2001,2002,760982515,1139666536,393,1092,976,974,169,12915
Luhuashan - Yizheng,526,318,2007,2008,2008,2007,3216410048,4954958468,255,376,367,361,723,55493
Yizheng - Taicang,384,292,2009,2009,2011,2011,2134300505,3538483750,156,230,291,306,399,30570
Luhuashan - Taicang,3317,1857,2006,2007,2010,2010,9730463500,15543733276,92,135,158,157,1765,135294
Lanshan - Qianwan,58,40,2006,2007,2009,2010,560625226,1004208078,150,195,219,222,108,8361
Dafeng - Qianwan,32,20,2009,2008,2010,2010,120801361,180597455,214,425,382,390,30,2271
Qingdao Gang - Chengxi,2,2,2011,2011,2011,2011,54667018,99472904,744,744,754,755,8,590
Majishan - Shanghai,1231,409,2005,2004,2009,2009,4276361945,6422197887,78,158,205,204,908,69589
Shanghai - Tangshan (Jingtang),166,72,2003,2006,2006,2006,2742663026,4562009269,679,678,704,707,279,21493
Shanghai - Qinhuangdao,163,87,2003,2005,2005,2005,2569391215,4239293360,670,652,676,675,301,23235
Qinhuangdao - Zhanjiang,50,32,2005,2004,2005,2005,3199421010,5714450289,1623,1637,1644,1644,333,25830
Zhanjiang - Luhuashan,125,99,2008,2008,2009,2009,6422360292,11899436084,1046,1112,1119,1121,454,35150
Luhuashan - Zhangjiagang,1608,949,2006,2007,2009,2009,7903512682,13286133733,150,237,275,277,2030,156034
Luhuashan - Shanghai,7445,2159,2006,2007,2009,2009,27812322378,34243689604,68,152,145,148,5760,442173
Shanghai - Rizhao,188,89,2009,2008,2010,2010,2490148596,4058743572,412,513,484,485,298,22968
Shanghai - Lianyungang,224,135,2008,2008,2009,2008,5381493135,6608128217,421,707,568,575,612,47207
Lianyungang - Zhanjiang,31,23,2007,2006,2007,2007,1967965438,3464126758,1369,1321,1338,1376,143,11097
Zhanjiang - Shanghai,50,44,2009,2009,2011,2011,3070741617,5722969016,1111,1092,1213,1223,216,16719
Shanghai - Beilun,2281,658,2008,2008,2008,2008,22697456568,26673017300,217,291,268,268,3628,279851
Beilun - Luhuashan,1587,846,2007,2008,2008,2008,10062036606,14910188300,157,271,199,200,1590,122488
Zhangjiagang - Zhanjiang,9,9,2009,2009,2008,2008,641556202,1192857779,1178,1184,1212,1218,42,3277
Taicang - Zhangjiagang,1447,799,2006,2006,2007,2007,2241181839,3680535367,62,96,93,93,982,75447
Zhangjiagang - Lianyungang,60,54,2007,2007,2008,2008,757065784,1231652214,506,680,579,566,106,8190
Zhanjiang - Huizhou,67,50,2010,2010,2012,2012,1603879208,2712775289,330,879,503,457,306,23335
Huizhou - Dafeng,3,3,2009,2009,2010,2010,84662997,133108452,1406,1573,1650,1649,9,700
Dafeng - Lianyungang,57,37,2007,2007,2007,2007,192459776,276132816,177,595,337,299,51,3873
Shanghai - Jingtang,31,25,2004,2006,2009,2008,956039513,849201117,662,704,709,675,84,6517
Xiuyu - Taicang,29,29,2010,2010,2010,2009,388477835,592518575,589,603,618,614,63,4838
Gulei - Zhenhai,5,3,2007,2006,2007,2007,109316933,165410817,771,836,874,869,18,1416
Zhenhai - Luhuashan,156,128,2008,2008,2009,2009,491656444,763472444,187,344,274,266,126,9665
Luhuashan - Changzhou,783,558,2007,2007,2008,2008,3480563165,5866871047,173,261,300,302,722,55299
Majishan - Changzhou,198,130,2008,2008,2009,2009,446094640,756005102,162,213,223,226,115,8771
Changzhou - Xiuyu,18,17,2008,2008,2005,2005,246480601,393390076,691,934,1169,1269,49,3737
Taicang - Gaogang,220,156,2008,2008,2009,2009,631321365,1042638728,109,136,146,147,162,12508
Gaogang - Majishan,70,54,2006,2006,2003,2003,189841958,243011788,189,243,271,222,37,2855
