dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - other,2823,207,2005,2005,2006,2006,19358353312,17484870721,313,1205,999,936,5957,450808
Container,48472,2505,2007,2008,2009,2009,1237775309195,1402379856466,288,432,510,513,135764,10497227
Bulk carrier,44019,5331,2006,2009,2007,2007,1051536166980,1887262017910,507,563,670,671,93236,7216823
General cargo,20335,1860,2003,2004,2003,2003,99743570832,142894296264,227,459,531,530,19192,1464250
Oil tanker,11830,935,2008,2009,2009,2009,199234183849,348529473045,259,758,640,655,37783,2914189
Chemical tanker,23236,1426,2008,2008,2008,2008,67821414638,105487728854,208,306,411,410,25495,1948598
Liquefied gas tanker,7478,462,2006,2007,2008,2008,30379770464,30253020345,249,482,643,616,9510,715857
Vehicle,4431,347,2004,2006,2006,2006,73602663685,24240211151,535,538,573,567,6695,515757
Service - tug,4572,209,2008,2006,2008,2007,6596123122,5601181847,224,736,743,765,5570,418919
Miscellaneous - fishing,1039,42,1983,1992,1991,1989,515417460,482847518,320,1534,860,822,582,43752
Offshore,3673,192,2007,2011,2010,2009,9801672187,10424058191,233,1089,664,685,5545,417055
Ferry-RoPax,9058,32,2008,2005,2007,2007,26874885442,7094079842,92,3054,122,122,5754,439162
Ferry-pax only,1224,55,2007,2005,2007,2009,709712313,97996233,655,3790,1297,1215,989,74289
Cruise,92,29,2004,2003,2008,2007,5246662925,511266899,519,735,848,842,1277,98879
Refrigerated bulk,503,110,1987,1991,1986,1987,1995176205,2256697067,231,1180,946,964,2509,189138
Other liquids tankers,5,2,2010,2012,2012,2012,30903631,39695116,112,382,203,222,100,7749
Ro-Ro,250,15,2001,2000,2002,2003,1080013410,547500509,199,379,247,257,377,29022
