int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Yantian,1990,701,2009,2010,2012,2012,294230461198,310325812012,540,1508,1636,1634,24657,1908812
Chiwan,3005,725,2006,2008,2009,2009,136189533076,157953699624,556,1237,1145,1139,16110,1245360
Huangpu,355,238,2007,2007,2008,2008,10751638925,17803658192,781,1686,1778,1880,1939,148938
Guishan,1588,1018,2006,2007,2007,2007,50092289032,66622885445,1386,1678,1938,1919,6392,489991
Mcid,483,361,2007,2008,2007,2007,40961673757,54177455086,1487,2082,2111,2373,3293,254784
Lian Jiang,563,383,2008,2005,2006,2006,70929414856,132948475832,1232,2976,3961,4123,4307,332578
Tangshan (Jingtang),1011,667,2009,2010,2011,2011,223676176853,426257953269,3148,3330,3786,3831,13396,1037199
Beilun,3624,2058,2008,2009,2010,2010,544385357894,930848896752,1295,2731,3010,3384,40975,3169664
Taicang,1501,932,2006,2007,2009,2009,43690673029,68364034190,797,1873,1843,1956,5779,445466
Zhoushan,2843,1863,2008,2007,2010,2010,395348053663,574373545996,1092,2660,2455,2688,36493,2753796
Luhuashan,9375,3803,2006,2007,2008,2008,304794318346,444493026051,881,1958,1851,1986,37174,2867488
Qinzhou,1410,671,2006,2009,2010,2010,48558894475,77934186710,921,1781,1635,1720,5585,431290
Yangshan,1575,823,2010,2009,2013,2012,273348207311,289242610068,841,1738,1968,1926,22663,1731768
Zhanjiang,945,752,2008,2008,2009,2009,247722123763,468866606844,1662,3127,4028,4088,15312,1185215
Caofeidian,1048,850,2010,2010,2010,2010,417472791642,744510081371,3860,4010,4791,4794,25457,1922531
Shanghai,4292,1516,2007,2007,2008,2007,226727617320,211634752927,859,1668,1457,1603,27374,2109248
Tianjin,2655,1577,2007,2008,2010,2010,238755117066,308128971033,1337,2400,2752,2817,23696,1794326
Bayuquan,829,700,2008,2009,2012,2012,161206374264,305378928890,2148,2999,4078,4150,11005,851812
Nansha,1379,729,2008,2008,2010,2010,114428200103,132340130373,602,1522,1666,1792,11949,923752
Liuheng,1380,858,2008,2008,2009,2009,169223427335,274982043553,879,2485,2431,2638,14007,1082597
Sheyang,24,9,2014,2010,2010,2010,1036077103,1844493427,432,1627,1440,1738,84,6507
Shidao,718,319,2007,2001,2006,2006,8541141616,9530060784,233,1478,712,1199,2157,164267
Jimiya,18,15,2009,2010,2010,2010,2986129360,5719759861,755,2254,3310,3431,180,13933
Qingdao,509,429,2006,2006,2010,2011,51726992917,75191698341,1108,2493,3123,3778,4622,357142
Jiangdu,3,3,2012,2012,2016,2016,26882659,45924234,186,234,354,386,2,160
Lianyungang,2310,1339,2007,2008,2008,2008,258370208389,443412289060,1249,2845,3478,3699,19414,1500263
Qianwan,3087,1429,2008,2009,2010,2010,444288457993,649903789193,1134,2515,2630,2905,38284,2962756
Rizhao,1955,1401,2008,2009,2009,2009,573500668238,1037174759764,2970,3673,4586,4650,34974,2655507
Xiamen,2060,689,2006,2008,2011,2011,137621380773,155898822073,309,1874,1974,2050,13951,1078171
Dalian,2655,1315,2005,2006,2010,2010,333412922005,563365091598,1054,2485,3930,4349,26108,1975003
Zhapu,477,264,2010,2008,2010,2010,6860343584,9890523559,1050,1536,1645,1661,1653,126845
Changxindao,329,155,2008,2007,2010,2010,14768530700,26618627610,802,1888,3079,3246,1538,118292
Zhangjiagang,512,412,2006,2007,2007,2007,18477263088,30054278760,899,1803,1973,1989,4509,348496
Penglai,351,304,2008,2008,2008,2008,121385618322,226592579892,2751,3946,6185,6358,6864,531423
Xiuyu,594,509,2008,2008,2009,2008,110700027188,190279354661,1746,2370,3871,3813,8162,603391
Jieyang,6,6,2010,2010,2009,2008,49098850,71993283,604,2384,1603,1715,29,2219
Dandong,247,194,2006,2008,2010,2010,37941274314,71250746845,2661,2734,3395,3568,2665,206291
Majishan,1155,688,2006,2006,2010,2010,241266579228,465278836910,922,2585,5232,5493,12647,978578
Zhuhai,471,304,2007,2008,2011,2010,41577517134,51677335360,1208,2196,3105,2746,4406,315033
Luoyuan,197,171,2008,2009,2010,2010,19398043391,33633062489,1272,1782,2026,1957,1402,108492
Qingdao Gang,776,664,2008,2008,2011,2011,200669869229,349294199787,1529,3182,4155,4573,15339,1186877
Haian,70,64,2006,2006,2009,2009,1432621045,2206007259,1689,2324,2251,2233,216,16651
Huizhou,415,339,2008,2008,2011,2011,94370071367,177871447782,1482,2717,4725,4842,6442,498155
Zhenhai,533,383,2004,2005,2008,2008,11331719643,17961204259,1094,1740,2465,2506,2033,156294
Xinsha,486,352,2007,2008,2008,2009,29107904702,46130357271,1241,2175,2636,2693,3258,250772
Humen,277,195,2006,2007,2008,2008,10988297631,16063487842,755,1810,2171,2313,1500,115650
Huanghua,361,330,2010,2010,2011,2011,76986266401,146466672705,3610,2850,3313,3348,4757,368415
Yangpu,300,220,2007,2008,2008,2009,38428403050,63696437578,1394,2448,4568,4739,2718,206247
Chek Lap Kok,521,188,2007,2007,2007,2007,11773635893,20894347496,421,1501,1814,1891,1224,94361
Yizheng,310,122,2003,2009,2008,2009,3395841371,4895736270,646,1024,968,979,648,49706
Longkou,833,591,2008,2008,2009,2010,105269951283,193803025978,2675,2803,3218,3257,8355,646664
Fangcheng,1032,915,2009,2010,2010,2010,142815234900,267017586093,1510,2405,2975,3000,10122,783272
Beihai,205,174,2007,2008,2008,2008,6828700294,11332748927,1355,1696,1696,1710,752,57983
Lanshan,1602,1193,2009,2010,2011,2011,440463830972,833331095127,2849,3859,4886,4943,27576,2134805
Yantai,995,557,2007,2007,2008,2008,127268283778,223534317119,867,2973,3975,4629,8686,671670
Nantong,319,267,2006,2007,2008,2008,11365994232,18427045802,633,1350,1596,1580,2565,198173
Taijiang,282,69,1998,2002,1999,1999,1284880447,1921922807,416,1923,706,690,411,31255
Tianjin Xin Gang,1328,888,2008,2009,2011,2011,303557809306,475284554656,2016,3204,3454,3887,22883,1712558
Zhangshan,15,8,2005,2008,2009,2009,275975674,503424877,162,780,895,910,32,2469
Shekou,949,329,2008,2008,2008,2009,32950259558,33505496325,559,1048,1019,1064,4595,355041
Jingtang,176,132,2007,2008,2011,2010,30876043418,43506586326,1309,2503,3052,3246,2164,158357
Changshu,482,401,2007,2007,2009,2009,16093005609,23964202624,759,1715,2169,2150,2060,158700
Shenzhen,310,216,2006,2006,2007,2007,18752371972,27934350782,619,1279,1463,1509,2907,223193
Da Chan Bay,128,74,2007,2007,2007,2007,9178517162,10217442630,969,1115,1135,1129,935,72412
Zhangzhou,998,569,2008,2009,2011,2011,101196512468,121938563968,397,1967,1738,1781,8491,656620
Wuchuan,2,2,2001,2001,2004,2004,33251481,55989792,943,943,773,757,3,214
Weihai,378,144,2004,2005,2008,2009,10611401157,16606735201,598,1847,1571,2305,1366,105214
Weifang,107,87,2002,2002,2001,2002,1822542028,2482604731,1128,1420,1693,1722,216,16620
Weitou,543,110,2001,2003,2005,2006,2616739401,3810207777,172,1304,967,997,574,43806
Huludao,63,63,2006,2006,2011,2011,3239422490,5540359446,1148,1873,2616,2612,340,26277
Jinzhou,265,239,2008,2009,2010,2010,31713067039,57393484362,1976,2938,3407,3489,2969,229863
Zhaoqing,1,1,2005,2005,2005,2005,998965,1628862,444,444,444,444,0,22
Gaogang,147,94,2008,2008,2010,2010,3520073704,5527706238,572,1045,1145,1145,808,62049
Gaolan,441,341,2008,2008,2009,2009,11575805056,18150579965,1420,1527,1737,1749,1909,147144
Taizhou,694,248,1997,2000,1999,1999,3763604774,6002101492,1015,1277,1875,2048,705,53503
Dafeng,247,196,2004,2004,2008,2008,13678658981,23045969050,1489,2274,2804,2877,1346,103962
Lushun,235,121,2004,2002,2010,2010,10474451038,19026559420,822,1532,3701,4266,815,61532
Dong Guan,267,117,2005,2007,2006,2007,3639434713,4542049385,70,1234,672,1066,508,39006
Dongfang,32,31,2006,2007,2010,2011,2139838181,3683214580,1777,2188,2965,3005,173,13352
Shui Dong,83,58,2007,2007,2006,2006,578452866,769444456,1175,1070,1077,1076,228,17376
Shuidong,189,113,2008,2008,2012,2012,51929821496,99742408662,1237,3770,6294,6443,3206,247942
Qinhuangdao,411,352,2007,2007,2009,2008,26401398676,43675722469,1171,1817,2173,2137,2634,203652
Caojing,379,177,2009,2009,2009,2009,3369737368,4901111934,774,1050,1167,1204,855,65448
Chaozhou,174,152,2006,2007,2008,2008,10044815362,18040954170,1613,1805,2059,2140,1003,77556
Guangao,298,175,2007,2007,2008,2009,13798820597,22055329701,802,1447,1611,1622,1329,102798
Changzhou,202,177,2008,2008,2007,2006,5834670197,9448900192,748,1780,2176,2266,973,74884
Jingjiang,97,86,2009,2010,2012,2011,2368489456,3501806706,667,1137,1345,1244,1067,82138
Jinshan,299,152,2008,2007,2007,2006,5147793575,7552967542,816,1386,1807,1939,905,69536
Fuzhou,320,70,1998,2002,2001,2003,1253662458,1851864126,249,1576,532,518,484,36701
Xijiang,68,67,2004,2004,2005,2004,5460687231,8121948185,1400,2300,2449,2478,540,40908
Shanwei,82,73,2005,2005,2005,2005,3798648355,6863820996,1362,1305,2025,2086,352,27181
Ningde,339,264,2003,2002,2007,2007,12315750319,20741810692,1250,2435,1991,1975,2057,157350
Jiangyin,821,203,2004,2005,2013,2013,41733327953,45125200965,420,1299,2646,2568,4326,334061
Yangjiang,226,204,2009,2009,2008,2008,14550175854,25506364505,1411,2200,2228,2218,1218,94225
Macun,229,196,2006,2006,2005,2005,5418168836,8537765494,1356,1811,1884,1914,774,58493
Shantou,225,73,2005,2007,2008,2008,2656061424,4075933661,460,1411,1072,1139,395,30374
Jangjin,52,46,2009,2009,2010,2010,1643368094,2845063270,464,1069,1195,1201,152,11715
Zhenjiang,40,35,2007,2007,2010,2010,983304870,1578985043,769,1335,1367,1329,180,13746
Quanzhou,177,140,2006,2006,2009,2009,6656591378,10669528735,1635,1760,2074,2209,782,60250
Rongcheng,182,68,2000,2000,2006,2006,740616317,841587544,570,1082,557,664,256,19579
Haikou,134,56,2004,2006,2007,2009,2017284093,2477007537,745,1128,1013,1307,364,27986
Panjin,109,94,2007,2007,2010,2010,5164161466,8881042649,1781,2124,2385,2407,622,48003
Wenzhou,27,24,2006,2005,2005,2005,833534996,1420902222,1965,2070,2484,2621,123,9455
Fuqing,84,77,2006,2006,2008,2009,4364047628,7144329802,1450,1553,1763,1655,386,29856
Chengxi,65,61,2006,2006,2006,2006,2773900365,3652264014,1083,1564,1855,1673,668,51313
Basuo,83,77,2004,2005,2005,2004,2822127770,4509474483,1112,1438,1613,1626,315,24221
Dapeng,146,89,2008,2009,2010,2010,44725160374,39209780108,2698,3710,3975,3900,5254,351047
Nanjing,127,90,2008,2008,2011,2011,2820885880,4652400671,324,1001,1038,1038,283,21852
Yuzhu,7,7,2006,2006,2006,2007,22523674,35313136,25,387,218,248,12,948
