int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,28484,2704,2007,2008,2010,2010,2048634005161,2241918825493,751,1395,1603,1571,206784,15989747
Bulk carrier,21298,7104,2009,2009,2010,2010,4068729430772,7627043529221,2671,2999,3672,3711,258434,20012606
Liquefied gas tanker,3837,769,2007,2008,2011,2011,463096410680,414948591641,1182,3262,4221,4124,56910,3859005
Chemical tanker,8733,1663,2007,2008,2009,2009,163757510313,264386273238,883,1774,1859,1880,34070,2621251
Service - other,400,228,2003,2004,2005,2004,4858985220,3649280743,435,1978,1941,1550,1428,108625
General cargo,11338,2231,2003,2004,2006,2006,162759390130,227178425729,894,1812,1831,1816,26909,2063388
Oil tanker,4528,1718,2009,2008,2010,2010,1618725856424,3087094833299,1690,3718,5072,5171,113547,8789521
Refrigerated bulk,603,221,1991,1991,1991,1991,10472629376,11329448880,1045,3368,3095,3052,6979,528329
Vehicle,1599,473,2005,2007,2007,2006,178360002887,61049016532,1024,2505,2359,2349,11281,873078
Miscellaneous - fishing,297,138,1994,1993,1995,1992,2236735891,1393545495,712,3218,4141,3896,948,71688
Offshore,301,203,2010,2010,2008,2006,9205634820,12046139421,299,1680,2310,2479,1618,117827
Service - tug,624,252,2007,2006,2005,2004,910287926,805495342,483,1226,1149,1235,993,75010
Ferry-RoPax,1159,49,2006,2003,2003,2005,12481712538,3417042604,250,1325,532,478,3562,272871
Cruise,679,44,2006,2002,2008,2007,53751257891,4704735940,555,647,740,746,8944,692801
Ferry-pax only,1206,93,2006,2004,2001,2001,493452218,45242598,316,1281,780,764,633,47499
Ro-Ro,322,25,1997,1997,1998,1999,2305370379,1097424415,425,1260,522,580,538,41584
Other liquids tankers,21,4,2003,2007,2008,2008,116682440,130077139,373,1080,1234,1188,47,3633
