int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Yangshan,1755,829,2010,2009,2011,2011,543507000532,581477405433,985,2823,3256,3214,55798,4282642
Xiamen,2532,657,2006,2008,2010,2010,89695625802,101518191223,749,1492,1553,1574,12187,940425
Chiwan,4218,1054,2007,2008,2009,2009,280325095253,321551734060,1414,1495,1412,1416,34016,2631541
Taicang,3010,1861,2006,2008,2010,2011,217740394708,382391473470,1084,2323,2710,2828,17155,1324588
Beilun,2660,1416,2008,2008,2009,2009,291606915752,441408406371,1025,2056,2411,2524,26222,2026767
Zhoushan,2851,1948,2007,2007,2010,2010,383742149064,556856232189,1475,2448,2601,2692,35834,2704726
Taixing,847,668,2008,2008,2010,2010,57167542913,100647497940,1519,2382,3073,3138,4924,379946
Nantong,947,775,2007,2008,2010,2010,81621514898,148245818375,1377,2247,2828,2885,5775,446110
Zhuhai,533,349,2007,2008,2010,2009,36451561019,52948807035,697,1809,2254,2173,3264,238907
Gaolan,350,261,2007,2008,2008,2008,4238867370,6763179322,502,981,860,887,801,61618
Caofeidian,872,741,2010,2010,2011,2011,252417410000,448381445464,2876,2980,3380,3385,13617,1016936
Shanghai,8061,2377,2007,2007,2008,2008,396587143391,479272481975,871,2019,1722,2026,47512,3660179
Tianjin,2349,1616,2007,2008,2010,2011,196572812582,285384681818,1360,2692,2801,2951,17719,1332911
Zhangjiagang,1878,1124,2006,2007,2009,2009,104662497313,173709749264,1153,2310,2777,2782,9952,768254
Yantian,2498,754,2010,2010,2013,2012,509032735565,536026186092,1312,2151,2188,2178,47388,3667071
Nansha,1954,910,2009,2008,2010,2009,111628767553,137746200233,1424,1409,1294,1396,13985,1081940
Zhanjiang,764,626,2008,2008,2010,2010,99191484836,185181422991,1367,2100,2301,2334,5690,439752
Guangzhou,148,111,2006,2005,2008,2008,2136609330,3222790238,446,1049,925,978,302,23159
Shidao,764,347,2008,2003,2005,2006,16802650237,22697090649,440,2116,1187,1952,2612,199918
Huangxian,6,6,2008,2008,2007,2006,85152443,129473815,791,967,762,805,11,812
Sheyang,29,12,2011,2007,2008,2008,852312519,1295224723,442,1551,1017,1104,171,13194
Chuzhou,2,2,2016,2016,2017,2017,1815251,2282155,146,146,54,57,0,30
Qingdao,442,358,2005,2005,2009,2010,23444227661,32003897155,1044,1853,1879,2181,2671,205945
Zhangzhou,966,612,2008,2009,2011,2011,105054174341,136820322545,717,1685,1805,1870,9404,727020
Jiangdu,7,5,2005,2004,2011,2010,36702546,59507816,160,388,580,680,11,827
Fuzhou,429,80,1999,2004,2000,2000,1404850409,1850850743,253,1379,478,441,511,38925
Changzhou,704,527,2006,2007,2010,2010,28019964534,50219053305,1017,1741,2448,2546,2937,226265
Yangpu,261,198,2006,2007,2007,2007,15127822140,23288097237,1253,2739,1965,1925,1488,112132
Shekou,1151,402,2009,2008,2010,2010,69213396621,75191823543,1293,1836,1443,1540,9006,696183
Liuheng,1491,1099,2008,2008,2009,2009,249024418977,399658788131,2065,2709,2897,2982,19617,1516682
Huangpu,490,389,2008,2008,2009,2009,13798672170,23300293050,546,1280,1484,1532,1629,125549
Qianwan,2701,1149,2008,2008,2009,2009,232863311066,375405200811,895,2075,1892,2189,19094,1476425
Changshu,1108,869,2007,2007,2009,2009,61032208465,102303457954,1139,2119,2807,2846,5592,431373
Dalian,2945,1567,2005,2006,2010,2010,232281782215,394807946551,1059,2273,2543,2787,21103,1608041
Changxindao,360,180,2008,2007,2009,2010,17214884343,31198704170,1053,1858,2763,2877,1840,141549
Lianyungang,1896,1118,2005,2007,2009,2009,133218086292,222293878257,1116,2378,2628,2745,10849,837406
Jingjiang,357,257,2008,2008,2011,2011,17005181466,31111676969,1027,1709,2457,2550,1807,139391
Xiuyu,529,446,2008,2008,2009,2009,62462539537,106542787824,1690,2003,2445,2404,4600,343173
Mcid,641,421,2007,2008,2008,2008,43244785776,58794897900,1515,1804,1741,1998,3160,244338
Xijiang,73,71,2004,2004,2007,2007,3818456158,6187052637,1504,1991,1712,1737,463,35357
Dandong,222,167,2005,2007,2010,2010,21828870386,40115054673,1175,2077,2794,2967,1355,104745
Huanghua,316,295,2009,2009,2011,2011,72336585885,137621939754,3727,3110,3406,3426,3589,277785
Majishan,509,433,2006,2006,2010,2010,71147247879,131023480795,1045,1867,2598,2703,3650,282255
Xinsha,780,510,2006,2008,2008,2008,28350101147,44303160911,858,1579,1903,1958,3280,250989
Luoyuan,184,161,2008,2009,2010,2010,19910730987,36268213306,1648,2505,2320,2376,1262,97424
Luhuashan,1366,1156,2006,2007,2009,2010,61423330391,101228510670,853,1628,1983,2106,6263,482791
Ningde,298,240,2002,2002,2002,2003,10628506472,17336079300,1206,3476,2065,1986,1539,117617
Haian,57,53,2006,2006,2004,2004,946712948,1446712306,1334,2128,1891,1902,156,11975
Shenzhen,317,257,2007,2007,2007,2007,41153772974,67738700506,1483,2259,2374,2498,4727,365285
Zhenhai,351,256,2005,2005,2006,2006,5107228242,7960939113,894,1338,1653,1676,979,75351
Jinshan,318,178,2008,2008,2008,2008,10261967037,13522103299,1026,1830,2426,2374,1393,107431
Qinhuangdao,319,287,2006,2007,2009,2009,33407454908,58908666490,1391,2322,2839,2857,2602,201035
Chek Lap Kok,545,204,2007,2007,2007,2007,13586633155,23900211109,515,1576,1935,2009,1291,99573
Zhenjiang,109,96,2009,2010,2011,2011,4057500272,6010538442,1260,1733,2174,2135,435,33505
Qingdao Gang,672,552,2007,2008,2010,2010,119000694723,212109646335,1209,2293,2812,3034,7336,567279
Penglai,366,314,2009,2009,2010,2010,59460081145,105703398212,2462,2724,3051,3002,3737,289157
Longkou,835,585,2006,2007,2010,2010,84752779042,154447127249,1495,2708,2927,2935,6237,482232
Fangcheng,931,851,2009,2010,2011,2011,89910566771,165468642756,1471,2081,2159,2160,6120,473363
Rizhao,1787,1257,2008,2008,2010,2010,321783504301,549306228008,2468,2738,3387,3325,19122,1439648
Lian Jiang,499,328,2007,2005,2007,2007,24510056022,45022114916,633,2368,2173,2306,2059,157929
Lanshan,1271,951,2009,2009,2011,2011,211113888927,397902617578,2246,2607,3057,3082,11366,879499
Humen,392,267,2007,2008,2008,2008,8019848146,12206208076,983,1329,1561,1553,1225,94409
Jinzhou,235,204,2007,2008,2010,2010,20006487656,35967535028,1678,2294,2830,2883,1715,132608
Tangshan (Jingtang),804,644,2010,2009,2011,2011,185522502443,352135117836,3239,3072,3479,3512,9099,704464
Taijiang,346,76,1999,2002,2000,2000,933852619,1339024322,258,1171,419,404,292,22260
Tianjin Xin Gang,1224,884,2008,2009,2011,2011,241865907442,378809910982,1678,2830,2651,3081,16005,1189559
Jangjin,326,277,2009,2009,2010,2010,79498673917,147752669669,3261,3276,3454,3350,4095,317090
Jimiya,19,13,2008,2008,2004,2004,1165645999,2237680054,247,1032,1296,1332,71,5515
Zhangshan,20,10,2006,2008,2012,2013,236313594,426623296,119,253,555,601,24,1832
Jingtang,120,98,2007,2008,2012,2010,9630487465,12708854487,651,1143,1541,1392,545,38753
Anpu,113,96,2011,2011,2015,2014,14256976221,17072913713,1339,2178,2866,2519,1268,84118
Yantai,1055,556,2007,2007,2009,2009,85324738632,145060144422,1002,2241,2538,2877,5970,461334
Weihai,328,148,2003,2004,2003,2007,11857327256,14493426549,523,2425,2036,2511,1877,144424
Bayuquan,1039,825,2007,2008,2011,2011,121532687312,225848101778,1440,2554,3181,3233,7547,583520
Changdao,51,43,2005,2005,2006,2006,528641449,790764150,1077,1373,944,1018,96,7370
Huludao,79,77,2007,2007,2010,2010,2824720998,4946192376,1133,1448,1818,1914,287,22110
Gaogang,388,258,2006,2007,2011,2011,18192212671,31981445749,1018,2097,2581,2695,1594,122946
Qinzhou,1000,542,2006,2009,2009,2009,32935140400,54275415151,866,1634,1437,1524,3552,274176
Jiangyin,553,192,2005,2006,2007,2007,5568110561,7437417849,772,1046,721,828,1140,87571
Dafeng,193,159,2003,2004,2008,2008,11872955621,18027157287,1281,2781,3643,3617,1265,97489
Dong Guan,244,138,2005,2006,2008,2008,3690693548,4677686557,374,1180,1002,1093,572,43841
Dongfang,30,29,2006,2006,2004,2006,1550924999,2374976233,1702,2350,2213,2016,163,12578
Shui Dong,100,64,2008,2008,2008,2008,797581718,1055713783,1311,1220,1141,1117,310,23659
Zhapu,429,277,2008,2008,2007,2007,7790216127,11687569399,970,1547,1983,2030,1476,113255
Shuidong,201,124,2008,2009,2011,2011,19514996597,37110004866,1070,1599,2507,2565,1177,90823
Jinguzhou,432,33,2010,2008,2009,2006,166899072,24832299,300,5842,677,336,275,20685
Guishan,443,389,2006,2007,2008,2008,11658343315,17766867394,887,1262,1255,1260,2126,162823
Huizhou,465,369,2009,2009,2011,2011,52394787916,97041470781,1404,2372,2231,2234,4054,311697
Quanzhou,130,101,2006,2005,2009,2009,2588760006,4101497005,557,1673,1487,1500,326,25019
Caojing,472,217,2009,2008,2008,2008,6382096258,8890972832,879,1325,1625,1601,1226,94167
Chaozhou,187,158,2007,2007,2009,2009,9671796700,14048184971,935,1796,1786,1567,946,73151
Guangao,280,167,2007,2007,2009,2009,9086770395,14435821421,255,1033,1063,1080,803,62044
Shanwai,382,151,2005,2007,2010,2010,16231235836,26238189636,217,2210,1916,2216,1457,112285
Yangzhou,101,79,2006,2007,2009,2010,3456356221,5746250758,1048,1809,1902,1967,498,38080
Chengxi,201,187,2007,2007,2008,2009,22701165025,37957858748,2290,3056,3680,3620,2194,169075
Yangzhong,156,145,2007,2007,2009,2009,10054098711,17900977999,1473,2139,2652,2745,797,61599
Yangjiang,207,174,2009,2009,2010,2010,5528186563,9508218628,373,1000,961,954,497,38396
Shantou,194,69,2005,2007,2003,2004,2754674704,3814421370,995,1644,1208,1165,567,43682
Weitou,567,88,2001,2003,2004,2004,2453367525,3262983065,293,1136,675,656,721,55204
Macun,226,193,2006,2006,2006,2006,5335616563,8264381281,1203,2373,1817,1789,1036,78606
Weifang,320,128,2004,2001,2003,2004,3317627338,4507627731,994,1428,1387,1404,664,51094
Taizhou,208,158,2000,2002,2004,2004,2090639681,3233023472,813,1473,1709,1708,460,35057
Haikou,150,62,2004,2006,2005,2007,2274927801,2546343692,871,2410,964,1028,505,38745
Beihai,204,176,2007,2007,2009,2010,6351495494,10430617032,1428,1744,1690,1709,732,56396
Nanjing,243,176,2009,2008,2011,2011,8990905030,14789292227,938,1731,1871,1879,951,73346
Yizheng,488,356,2008,2008,2011,2011,16151170691,25659753166,1212,1993,2349,2403,2261,173675
Basuo,75,71,2005,2005,2007,2006,3902427100,4293513488,1271,2773,2552,1741,525,40329
Dagu Tanggu,9,9,2006,2006,2011,2011,289280930,314290311,710,2744,3278,2654,57,4390
Shating,2,2,2004,2004,2006,2006,18886601,28185210,1076,1076,830,961,5,417
Yuzhu,11,9,2002,2000,2004,2007,159080712,238620624,264,1428,1953,2019,32,2451
Qidong,141,130,2008,2008,2010,2011,16520005056,23970183351,1320,2423,3155,3337,1369,99059
Maanshan,77,62,2007,2007,2009,2009,1211056053,2029850246,741,1069,1108,1224,129,9903
Shanwei,87,74,2004,2004,2002,2002,2940667328,4618380852,258,1842,1657,1577,287,22053
Houzhu,21,9,2006,2007,2006,2006,42488481,64703120,306,430,409,398,8,579
Lushun,188,81,2004,2001,2012,2012,4725896388,5768856555,829,1962,2774,2195,625,47588
Xinying,22,22,2001,2001,2000,1999,506590933,754834675,961,1350,1169,1390,72,5566
Yuhuan,24,21,2002,2000,2002,2002,269633095,433895050,711,2273,1076,1066,57,4346
Rongcheng,182,75,2002,2002,2008,2009,1871075561,2532182839,592,1316,1156,1421,441,33866
Panjin,96,84,2007,2007,2004,2005,3286558812,5187121057,1124,4675,2050,1965,523,40017
Weizhou,59,57,2009,2010,2011,2011,3195440390,4124005158,1191,1539,2476,2068,359,24983
Fuqing,88,79,2005,2006,2008,2009,5578191322,9860331335,1745,2467,2187,2243,426,32963
Sanya,59,56,2003,2004,2002,2001,3059357202,4357099774,1576,2471,2571,2965,378,29104
