int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,28564,2735,2007,2008,2010,2010,2323245729053,2545552380193,896,1623,1810,1776,268414,20756346
Bulk carrier,21425,7166,2009,2009,2010,2010,3279586253938,6119067534092,2366,2698,2937,2954,184592,14289553
Liquefied gas tanker,3854,774,2007,2009,2012,2011,405566896106,368121253184,1166,2999,3667,3629,46345,3157337
Oil tanker,4597,1762,2009,2008,2010,2010,909380410447,1719794720301,1683,2661,2812,2844,60962,4715210
Chemical tanker,8783,1692,2007,2008,2008,2008,153051157422,245726698271,955,1678,1725,1735,30755,2365709
Service - other,413,240,2003,2005,2006,2006,6252871803,4878899359,543,3286,2440,2035,1873,142265
General cargo,11392,2267,2003,2004,2006,2006,210178238878,292823270948,935,2285,2350,2327,32698,2509327
Refrigerated bulk,604,221,1991,1991,1992,1992,6112562668,6783985355,740,1989,1803,1824,5095,385108
Vehicle,1602,476,2005,2007,2007,2006,133496675207,45396472117,1211,1661,1761,1743,8875,686729
Service - tug,660,288,2008,2008,2010,2009,1996357144,1691173034,654,2587,2401,2486,1762,132568
Miscellaneous - fishing,306,146,1994,1994,2000,2000,1533413709,908606079,799,2882,2750,2436,766,57554
Ferry-pax only,1214,96,2006,2004,2004,2005,670973775,64193450,357,5064,1055,1079,919,69029
Offshore,338,238,2011,2011,2008,2005,9455302136,11010443223,622,2157,2204,2183,1875,136163
Ferry-RoPax,1172,60,2006,2005,2002,2004,23328272865,6225952496,266,4843,986,864,5818,446703
Cruise,679,44,2006,2002,2009,2008,52025259510,4609671063,565,637,716,731,8821,683295
Other liquids tankers,23,6,2005,2011,2011,2011,166512520,187454865,753,2543,1675,1632,63,4913
Ro-Ro,325,28,1997,1999,1996,1998,4182592838,1583534505,460,1925,929,818,922,71179
