port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Buenaventura - Barranquilla,23,22,2009,2009,2010,2010,295771020,506135348,765,801,788,787,61,4658
Santa Marta - El Bosque,224,73,2006,2006,2007,2009,722241099,673688325,134,318,146,149,196,15030
El Bosque - Mamonal,185,24,2008,2004,2008,2007,61827438,52921769,96,239,165,118,59,4431
Santa Marta - Barranquilla,258,122,2008,2009,2009,2009,615900762,881874614,68,131,158,155,170,12986
Santa Marta - Cartagena,37,28,2003,2003,2005,2007,154486101,117422232,136,356,186,238,46,3519
El Bosque - Barranquilla,401,78,2008,2007,2009,2009,642529655,839568439,105,146,116,117,209,15894
Santa Marta - Turbo,101,23,2004,2003,2004,2004,641724032,781799820,300,306,321,321,185,14233
Turbo - Cartagena,11,4,2003,2000,2009,2009,64379879,79988127,243,280,377,376,14,1091
Mamonal - Turbo,3,3,2000,2000,2011,2011,4869070,6306404,184,138,183,184,1,72
Barranquilla - Puerto Bolivar,17,16,1999,2001,2010,2011,69544209,112185900,225,247,254,254,9,697
Riohacha - Puerto Bolivar,4,3,1969,1970,1975,1975,2431578,4012522,111,239,372,399,1,66
Puerto Colombia - Puerto Bolivar,5,3,1969,1968,1969,1969,875916,1229140,221,216,216,219,1,84
Barranquilla - San Andres,41,4,1968,1971,1976,1977,13391565,18689723,444,437,463,462,10,726
San Andres - Providencia,18,5,1965,1972,2002,1977,4648260,1030711,64,141,238,94,2,133
Santa Marta - Tolu,22,21,2010,2010,2011,2011,152966485,260268264,214,255,250,249,27,2071
Tolu - Puerto Bolivar,1,1,2009,2009,2009,2009,11192421,19430159,360,360,360,360,1,71
Mamonal - Covenas,18,16,2008,2008,2009,2009,274361206,511388910,229,279,295,299,51,3913
Puerto Colombia - El Bosque,12,9,2002,2003,2010,2010,36859018,43967523,135,260,157,156,11,804
El Bosque - Buenaventura,143,31,2013,2011,2014,2014,8581333179,9626467183,697,690,696,697,736,56981
Buenaventura - Cartagena,25,14,2010,2009,2013,2013,1261303710,1431206857,691,799,697,698,120,9298
Buenaventura - Buenaventura,34,7,2007,2007,2008,2008,568588251,733011276,809,830,827,826,121,9320
El Bosque - Cartagena,58,18,2009,2007,2010,2010,38887749,44251995,90,968,219,187,53,4018
Cartagena - Carbonera Muelle,3,3,2009,2009,2009,2009,35892032,62150228,368,355,357,357,4,307
Barranquilla - Carbonera Muelle,18,17,2010,2010,2010,2010,121179987,210110416,173,225,225,226,14,1045
El Bosque - Turbo,148,31,2006,2006,2007,2007,987888262,1205734085,202,285,264,266,190,14658
Santa Marta - Carbonera Muelle,67,57,2010,2010,2006,2006,5691199647,10967972136,29,615,1257,1280,339,26255
Barranquilla - Cartagena,58,44,2001,2004,2008,2008,101190053,158319964,103,135,163,167,26,1956
San Andres - Cartagena,141,7,1983,1982,1986,1987,99194966,145533793,396,406,425,425,38,2819
Puerto Colombia - Santa Marta,7,6,2002,2001,2006,2007,14444225,21611292,93,114,116,118,3,263
Santa Marta - Puerto Bolivar,57,21,2005,2003,2006,2006,260366258,385318359,162,461,240,244,58,4483
El Bosque - Acandi,6,6,2008,2008,2007,2006,28292022,33860391,224,445,250,249,7,511
Acandi - Turbo,15,12,2003,2002,2005,2005,26488464,32303045,76,133,90,89,11,867
Santa Marta - Buenaventura,5,5,2001,2001,2013,2013,103578105,180272204,850,1225,859,858,21,1589
El Bosque - El Bosque,8,3,2003,2004,2002,2002,101111867,133933764,628,638,642,641,17,1338
Puerto Bolivar - Mamonal,8,4,1987,1996,1993,1992,76133072,127867926,839,812,994,996,22,1690
Turbo - Turbo,76,7,2002,2003,2002,2002,1125920211,1453298619,566,576,567,567,235,18204
Mamonal - Tolu,5,4,2008,2009,2010,2010,8809393,14611025,98,107,114,115,2,133
Tolu - Cartagena,4,4,2002,2002,2008,2008,4441055,7774316,115,119,138,138,1,81
Puerto Bolivar - Carbonera Muelle,10,7,2011,2012,2011,2011,200871484,377102552,181,300,233,227,14,1111
Tolu - Carbonera Muelle,2,2,2014,2014,2015,2015,19474852,32646912,336,336,330,328,2,133
Puerto Limon - Tolu,1,1,2010,2010,2010,2010,3566877,5740815,180,180,180,180,1,57
Mamonal - Barranquilla,61,46,2005,2006,2008,2009,195276624,310133343,131,261,210,207,70,5356
Tolu - Barranquilla,6,6,2010,2010,2009,2009,31563327,51365549,197,207,211,213,5,351
Mamonal - Pozos Colorados,56,21,2010,2011,2010,2010,288911877,485097100,180,194,186,186,158,12250
Tumaco - Mamonal,5,5,2007,2007,2012,2012,37701083,62744951,762,758,763,763,12,930
Cartagena - Puerto Colombia,2,2,1994,1994,2011,2010,4973953,7658992,165,165,168,167,1,98
Puerto Colombia - Mamonal,8,7,2001,2000,2003,2003,13412395,21016272,131,281,200,204,8,633
Cartagena - Acandi,2,2,1990,1990,2004,2004,4473183,5719290,162,162,166,166,1,75
