dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,230,84,2007,2009,2007,2007,877211949,1421988075,213,334,270,269,406,31094
Bulk carrier,280,202,2010,2011,2007,2007,7562961652,14235501390,147,363,666,696,567,43908
Offshore,14,4,1994,1988,1991,1987,4655132,8014579,565,524,710,874,40,3030
General cargo,494,89,1984,2000,1995,1996,461793589,674155571,390,241,245,247,163,12294
Container,1127,108,2008,2008,2012,2012,13749682911,15945633908,142,387,437,425,1730,133458
Service - tug,505,38,2006,2004,2005,2002,74132107,55766864,130,557,441,457,259,19426
Cruise,18,9,1998,1998,2001,1998,142615819,15023725,142,147,144,144,50,3839
Oil tanker,53,33,2005,2006,2008,2008,493607938,889145578,180,284,262,266,174,13412
Vehicle,79,35,2006,2007,2007,2007,909842244,290943403,139,241,218,215,62,4768
Ferry-pax only,2,2,1964,1964,1968,1962,1992494,1124608,1423,1423,157,253,7,518
Miscellaneous - fishing,2,1,1980,1980,1980,1980,13786155,18536564,5537,5537,5537,5537,16,1188
Refrigerated bulk,58,11,2003,2000,2003,2003,231878717,256165106,295,259,297,297,116,8821
Liquefied gas tanker,20,9,2004,2004,2005,2005,28152989,32700690,137,178,177,174,27,2014
Ferry-RoPax,6,2,1980,1990,1997,1988,5982595,814180,417,388,373,392,8,573
Service - other,23,3,2013,1999,1994,1992,58688649,46638758,799,819,753,726,29,2155
