int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Buenaventura,1237,571,2009,2010,2010,2010,97999776264,110233863436,992,2057,1508,1504,9954,770101
Barranquilla,621,401,2008,2009,2010,2010,12068372413,18886320963,632,1308,1150,1192,1852,142473
Mamonal,657,395,2006,2007,2008,2008,29348519047,31640219745,1335,1805,1846,1670,3923,299841
El Bosque,1941,475,2006,2006,2007,2008,147846486723,155806146013,1085,1626,1761,1970,20511,1586178
Santa Marta,532,394,2006,2008,2009,2010,42844726709,66745374644,1549,2119,2471,2896,3914,301775
Turbo,277,65,2002,2002,2003,2003,5573955025,6720126617,951,1127,1030,1041,1417,108782
Covenas,269,162,2009,2009,2010,2010,36293210816,69023700721,1144,1938,2019,2045,2545,196451
Carbonera Muelle,330,217,2010,2010,2010,2010,91397316057,174715866687,3703,3992,4338,4407,4974,385015
Pozos Colorados,93,76,2011,2011,2007,2007,6037925664,10542625558,1679,1930,2133,2202,833,64390
Puerto Bolivar,348,253,2004,2008,2010,2010,75523065448,143998444151,3841,3596,4179,4240,4295,331876
Cartagena,405,258,2003,2004,2007,2007,25934593617,29492731821,1022,1842,2154,2192,3263,251732
Riohacha,2,2,1966,1966,1967,1967,728331,826200,415,415,411,414,0,13
Puerto Colombia,15,13,1993,1996,2008,2008,85619630,121235376,352,520,613,600,14,1069
Tumaco,21,20,2007,2007,2008,2008,1025577884,1763843672,1073,1617,1810,1816,143,11083
Bahia Solano,13,4,1982,1983,1985,1982,12252293,8955000,266,404,602,508,10,788
Tolu,9,9,2013,2013,2014,2014,217806806,349362315,849,1083,1073,1093,29,2266
San Andres,89,12,1988,1980,1990,1990,139574885,180278824,1007,514,709,684,43,3201
Puerto Limon,4,4,2006,2006,2008,2008,56437803,79451057,760,810,830,839,12,931
Leticia,141,6,2009,2002,2004,2006,62247772,42262273,275,471,408,612,32,2398
Providencia,7,5,1984,1984,2003,1985,7812153,1265904,241,249,266,257,3,220
Acandi,7,5,2003,2002,2005,2005,321023406,404114255,1608,1828,1925,1971,55,4207
Rio Cordoba,2,2,1995,1995,2002,1999,763187,1021976,178,178,85,91,1,88
