int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Buenaventura,1199,557,2009,2010,2009,2009,88942264946,100278827366,1143,1399,1372,1387,9435,730160
Barranquilla,608,436,2008,2009,2010,2010,17347497821,27592040280,1210,1761,1685,1707,2381,183072
Mamonal,647,370,2006,2007,2008,2009,26458733263,32808214367,1518,1717,1758,1874,3636,277376
El Bosque,1782,437,2006,2006,2007,2007,107136176202,109269241146,846,1384,1330,1467,15740,1217758
Turbo,270,58,2003,2002,2006,2006,4545600411,5463096230,484,1303,787,802,1043,80214
Pozos Colorados,96,77,2011,2011,2011,2011,4126162551,6928653212,1623,1452,1421,1415,575,44173
Carbonera Muelle,387,253,2010,2010,2010,2010,104795769188,200283062045,2507,4168,4324,4396,6372,493197
Santa Marta,620,337,2006,2007,2009,2009,45448209125,71254692208,865,2551,2765,3427,4992,385316
Cartagena,407,256,2004,2004,2007,2008,22693907629,25646539286,1086,1905,1844,1871,2741,211593
Covenas,285,168,2009,2009,2012,2012,55704511100,106452847016,1056,2647,2945,2999,4699,362600
Puerto Bolivar,400,265,2003,2008,2010,2010,76024681542,144238211181,2806,3622,4131,4240,4993,385936
Providencia,10,7,1972,1978,1997,1975,8868983,2330875,388,381,441,345,4,302
Tolu,25,25,2009,2009,2011,2010,1152201425,1863988517,1649,1929,1925,1898,118,9088
Puerto Colombia,16,16,1998,1998,2011,2010,279582877,408703509,560,917,1063,1163,35,2657
Tumaco,21,18,2005,2006,2006,2006,1127853209,1940989039,1275,1599,2076,2085,200,15351
Bahia Solano,12,5,1983,1984,1982,1981,91601782,110306628,3839,5814,4615,6309,65,4876
San Andres,87,12,1989,1984,1991,1990,61380416,73525469,192,383,302,286,21,1613
Leticia,141,6,2009,2002,2004,2005,81810273,61040282,279,827,536,883,42,3184
Manaure,1,1,1966,1966,1966,1966,250416,423431,506,506,506,506,0,32
Puerto Limon,2,2,2009,2009,2009,2009,34103935,44891690,1705,1705,1683,1674,7,524
Riohacha,2,2,1979,1979,1976,1976,73722767,63169075,2742,2742,1352,1374,11,824
Rio Cordoba,1,1,1981,1981,1981,1981,1975579,3411072,2843,2843,2843,2843,2,148
Acandi,1,1,2010,2010,2010,2010,51734096,59484550,1442,1442,1442,1442,7,523
