int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,206,186,2012,2012,2012,2012,12117958022,17562819829,874,1538,2077,1866,1005,77729
Container,1053,138,2006,2007,2007,2007,32618487500,39237057941,769,1491,1289,1277,6232,480776
Chemical tanker,101,67,2011,2011,2011,2012,3209696568,5368362845,1591,1478,1520,1527,521,40006
Service - tug,27,19,2010,2008,1997,1995,4172662,2686917,289,516,448,486,24,1813
General cargo,147,90,2002,2005,2004,2005,2178166006,2831596010,608,1457,1431,1368,393,30139
Cruise,222,72,2001,1999,2004,2003,11294064046,1147247066,636,778,786,800,2658,205551
Refrigerated bulk,306,52,1998,1996,2001,2001,7307430905,6909488571,1138,2126,1963,1976,2768,211444
Oil tanker,27,14,2012,2009,2010,2009,580739461,878305800,1562,1389,1322,1294,156,11991
Vehicle,127,99,2008,2008,2008,2008,7725509095,2502423835,710,1028,1063,1053,477,36941
Service - other,6,5,1995,1996,1995,1992,43476931,37204954,1054,1753,1295,1232,17,1253
Liquefied gas tanker,41,8,2003,2004,2007,2006,1638803198,1595110406,1493,2143,3459,3187,233,17939
Miscellaneous - fishing,29,13,1989,1993,2006,2007,89133775,71201973,270,1212,2542,2337,55,4159
Ferry-pax only,2,2,1995,1995,1985,1979,12430797,3510085,734,734,729,727,14,1041
Ferry-RoPax,8,5,2006,2008,2009,2010,13151447,3127401,474,1479,455,828,35,2603
Offshore,18,2,2001,1991,1995,1990,3588280,3881330,258,554,347,423,13,943
Ro-Ro,21,3,1986,1993,1985,1985,268429922,241621064,1284,1012,1279,1291,82,6276
Other liquids tankers,9,1,2018,2018,2018,2018,43437046,46791373,1156,1156,1106,1106,39,3008
