int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Kraljevica,61,48,2002,2001,2009,2009,1748802376,2994081525,858,1477,2186,2292,264,20303
Mali Losinj,24,12,1989,1987,1978,1987,95710077,30636090,364,1620,2970,1505,41,3070
Pula,62,43,1996,1997,1998,1997,196890263,251663685,300,596,606,671,86,6556
Rijeka Luka,464,220,2004,2001,2008,2008,4318572372,5313919207,156,488,287,325,641,49387
Veli Losinj,8,6,1993,1993,1993,2001,218671724,80873063,1388,2728,1162,790,44,3407
Kostrena,75,71,2004,2004,2002,2004,2618761491,3195124359,924,1902,1915,1548,781,60216
Vranjic,198,111,1998,1998,2004,2004,607209400,787799333,251,782,609,605,194,14838
Komiza,49,45,1996,1996,1999,2002,941284268,499128836,998,1409,2035,1599,205,15821
Pucisca,10,3,1988,1996,1998,2001,5967108,7539217,136,188,159,147,2,188
Ploce,42,38,2002,2002,2013,2013,1540327725,2808430307,855,1724,2757,2946,170,13119
Novalja,1,1,1992,1992,1992,1992,294554,61622,616,616,616,616,0,23
Bakar,29,24,2006,2006,2006,2006,1329437626,2444447848,626,1196,1999,2066,153,11797
Vela Luka,72,62,1997,1997,2005,2006,1960337885,3369620354,1140,1967,2685,3007,228,17595
Ubli,70,46,1988,1990,1992,1991,539266533,434009388,975,1159,1158,1079,115,8823
Omisalj,108,87,2007,2007,2008,2008,11783102022,21980709306,1296,1859,1951,1969,1155,89456
Gazenica,24,15,1996,1996,2000,2000,313489992,35010504,178,1949,291,300,143,10943
Sveti Kajo,188,48,1976,1999,1997,1998,239214337,341410689,219,593,557,595,82,6256
Moscenicka Draga,10,9,1999,2001,2005,2005,350519605,637559253,538,1316,1564,1966,32,2419
Vis,19,18,1994,1994,1998,2002,174352714,121326488,998,1134,1198,998,44,3368
Brioni,20,16,1996,1995,2001,1999,25542482,31750682,386,494,293,339,12,895
Rovinj,71,28,1997,1994,2007,2001,91755150,39627029,207,321,199,470,46,3465
Milna,5,4,2000,1998,2006,2006,2601234,1647073,221,289,391,273,2,163
Lamjane,4,4,1988,1988,1987,1989,114758,94620,211,225,7,10,34,2640
Lastovo,24,20,1994,1992,1997,1993,197633160,118968382,929,1085,1069,1348,49,3760
Rogoznica,10,10,1993,1993,1995,1997,51316898,69890695,2132,6082,2254,2118,32,2453
Split,327,55,1990,1997,2001,2000,5905311472,631916090,211,439,462,436,1558,120088
Sudurad,1,1,2002,2002,2002,2002,91443005,11828063,1006,1006,1006,1006,23,1758
Lopud,2,2,2006,2006,2004,2004,50987796,6382489,298,298,314,325,14,1106
Plomin,13,12,2003,2002,2011,2011,778941202,1363892164,894,2085,1954,2244,65,5041
Sustjepan,63,22,2005,2007,2005,2005,1955215530,199054723,334,335,420,414,429,33213
Dubrovnik,134,13,1989,2001,2000,2000,1118745865,118209794,111,393,273,257,280,21668
Jadrija,8,6,2003,2004,2006,2010,173347656,124387053,324,6021,497,1821,54,4118
Primosten,13,13,1999,1999,2003,2003,158305715,232466988,845,1349,1649,1695,30,2314
Sibenik,19,16,2003,2002,2011,2012,351517301,477538900,230,1307,1049,3173,50,3860
Hvar,41,31,1999,1998,2008,2011,851777524,1179359997,858,1927,1129,3213,138,10562
Ist,9,9,1995,1995,2002,2003,201820702,306199094,1022,1544,2137,2133,37,2805
Trpanj,9,9,1998,1998,2006,2006,296645718,545525019,532,1232,2363,2572,31,2387
Tunarica,143,42,1978,1983,1981,1983,483403091,515320536,899,1315,1201,1099,128,9709
Cres,7,6,1987,1987,1988,1994,11039011,9514047,340,578,564,686,5,397
Trogir,17,16,1988,1987,1998,1999,137526789,150013028,580,1346,1817,2061,50,3758
Cavtat,6,5,1988,1988,1987,1986,128983376,15443798,709,774,1289,1327,26,2004
Sobra,6,6,1983,1983,1994,1992,41002489,6654046,508,1366,459,481,8,600
Zirje,15,15,1989,1989,1991,1996,60124642,52718311,519,793,739,971,27,2043
Senj,1,1,2008,2008,2008,2008,7188893,8415966,1366,1366,1366,1366,2,146
Sucurac,2,2,1984,1984,1993,1993,16479663,15762944,2627,2627,4970,5186,15,1160
Bozava,4,4,1997,1997,2006,2007,106246351,176296265,3274,10797,1202,1126,18,1381
Viganj,11,11,1999,1999,2005,2005,171417374,197580401,935,1119,848,1528,30,2343
Drvenik,22,20,1992,1993,1996,1998,101765666,123794441,454,1242,1050,1147,26,1992
Jelsa,7,7,1996,1996,1999,1999,25911132,38245818,931,1101,1374,1387,7,542
Koromacno,26,18,1981,1983,2001,2002,680543635,1060158697,964,2482,6616,7824,91,7010
Unije,26,15,1981,1990,1992,1988,149667677,110659991,1464,5766,937,1205,113,8513
Susak,25,21,1998,2000,2006,2006,172484180,220012166,561,581,468,539,33,2570
Biograd Na Moru,2,2,1968,1968,1967,1967,110967,45647,411,411,375,351,1,41
Obonjan,14,8,1994,1993,1992,1992,144566513,82457218,381,891,531,1164,29,2271
Kaprije,2,2,2004,2004,2009,2008,41227608,3881533,336,336,439,393,10,794
Lokrum,21,9,1999,1997,2006,2007,143183809,16405100,195,226,258,181,35,2672
Merag,4,4,2012,2012,2014,2014,36250579,9093534,204,2390,2829,2344,10,715
Umag,8,7,1998,1999,2007,2007,491214724,860596910,317,1297,2882,3414,55,4261
Prapratno,1,1,1983,1983,1983,1983,9982262,1666953,3243,3243,3243,3243,4,282
Supetar,7,7,1994,1994,1980,1981,15133492,2632287,133,10043,1176,523,36,2666
Rabac,6,6,2001,2001,2004,2004,208961870,380206042,1512,1682,2387,2738,22,1688
Stari Grad,24,17,1993,1998,1999,2002,317769103,416644248,847,1926,1518,1924,59,4524
Pomena,4,4,1999,1999,1999,1999,28385817,47588904,1231,1142,1419,1455,6,442
Korcula,10,10,1989,1989,1986,1984,62626842,8594216,156,340,536,521,17,1298
Sucuraj,1,1,1997,1997,1997,1997,4763,1793,10,10,10,10,0,3
Brbinj,5,5,1999,1999,2004,2005,8287223,11781699,198,293,272,257,13,968
Rogac,4,4,1990,1990,2002,2003,42325831,14043113,8046,9246,5216,7867,26,1956
Silba,3,3,1985,1985,1995,1992,83841378,14349732,864,1459,938,1065,16,1218
Kolocep,7,5,1981,1984,1991,1991,102270286,12824032,680,565,695,694,18,1416
Porec,21,4,1987,1978,1987,1987,4717616,1741240,348,580,489,507,11,862
Zadar,9,8,2005,2004,2004,2004,135828981,15536884,175,372,394,409,27,2110
Orebic,2,2,1968,1968,1977,1979,5145482,1712630,1031,1031,1028,1042,3,212
Starigrad,1,1,2016,2016,2016,2016,66451534,127817751,707,707,707,707,3,204
Sali,6,6,2000,2000,2002,2003,76634813,105612793,1017,5546,881,882,31,2341
Zaliv Rasa,19,10,1978,1979,1977,1977,60090769,64202742,1021,983,1069,1053,17,1247
Pag,1,1,2003,2003,2003,2003,45621761,60787714,1796,1796,1796,1796,14,1077
Slatine,3,1,1973,1973,1973,1973,33135131,3632830,1126,1126,1070,1070,12,905
Prvic Sepurine,1,1,2016,2016,2016,2016,9491811,952922,227,227,227,227,1,115
Vrsar,2,2,2000,2000,2002,2002,2062896,2550891,61,61,64,64,0,23
Kijevo,1,1,2008,2008,2008,2008,10312560,12383949,673,673,673,673,2,133
Vrboska,1,1,2018,2018,2018,2018,94798,10123,161,161,161,161,0,5
