port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Havana - Baracoa,2,2,2003,2003,2004,2005,22538682,35086743,616,616,633,638,6,482
Baracoa - Santiago De Cuba,3,3,2008,2008,2003,2003,9887605,14921954,218,252,276,271,3,263
Havana - Santiago De Cuba,119,72,1999,2001,2000,2003,1554721382,1846669996,748,992,871,901,434,33220
Santiago De Cuba - Santiago De Cuba,2,1,2010,2010,2010,2010,35152690,41726672,1759,1759,1759,1759,8,586
Cienfuegos - Havana,123,47,1997,1999,1999,2004,1592921735,1390595360,526,667,668,870,393,30256
Havana - Varadero,17,16,1996,1996,2004,2005,132080052,211166286,320,541,530,538,29,2216
Varadero - Cayo Coco,3,2,1985,1986,1988,1986,1072534,266418,191,207,187,207,0,37
Cayo Coco - Antilla,1,1,1991,1991,1991,1991,971276,149160,231,231,231,231,0,34
Antilla - Santiago De Cuba,7,3,2002,2002,1997,1997,17134845,1680917,250,258,264,264,9,659
Santiago De Cuba - Casilda,23,6,1999,1998,2004,2000,33332050,23184532,310,353,395,510,20,1540
Casilda - Cienfuegos,31,11,1994,1993,2003,2008,20997646,17093960,84,509,195,214,26,1973
Cienfuegos - Nueva Gerona,95,11,2001,1992,2004,2005,96178964,121893237,316,507,464,471,125,9400
Nueva Gerona - Havana,16,9,1988,1992,1996,1993,33220101,16360756,388,5080,1641,851,18,1347
Havana - Puerto Padre,5,4,2008,2005,2001,2000,12873828,20044173,445,636,527,520,4,323
Cayo Coco - Isabela De Sagua,2,2,2000,2000,1996,1995,33241623,61877011,659,659,544,541,2,166
Isabela De Sagua - Varadero,3,2,1998,2000,1994,1994,77516720,146520593,632,600,663,664,6,469
Varadero - Sagua La Grande,3,2,2002,2004,2002,2002,17243954,27215248,305,659,348,348,8,602
Guayabal - Cienfuegos,17,12,2008,2005,2005,2005,66229859,106164803,263,415,309,305,13,995
Havana - Manati,1,1,2013,2013,2013,2013,14647663,22832161,654,654,654,654,2,116
Cienfuegos - Santiago De Cuba,170,58,1999,2003,2002,2003,1124331570,1356695645,365,436,441,479,297,22846
Santiago De Cuba - Puerto Padre,3,3,2007,2007,2009,2009,13411644,19729459,345,336,353,353,3,224
Puerto Padre - Matanzas,4,4,2005,2005,2005,2005,31756036,50125948,426,411,417,419,6,454
Banes - Moa,1,1,1975,1975,1975,1975,7361,3636,22,22,22,22,0,1
Havana - Nuevitas,1,1,2005,2005,2005,2005,469156834,805702733,13138,13138,13138,13138,48,3720
Nuevitas - Manati,1,1,2005,2005,2005,2005,53195106,91354189,1490,1490,1490,1490,5,423
Manati - Puerto Da Vita,2,2,2008,2008,2005,2005,84673987,145277232,1200,1200,1705,1761,9,674
Bahia Honda - La Coloma,1,1,1991,1991,1991,1991,581123,166405,862,862,862,862,0,22
La Coloma - Niquero,1,1,1991,1991,1991,1991,1264154,361991,1876,1876,1876,1876,1,70
Niquero - Ceiba Hueca,1,1,1991,1991,1991,1991,689906,197555,1024,1024,1024,1024,0,32
Ceiba Hueca - Casilda,1,1,1991,1991,1991,1991,569395,163046,845,845,845,845,0,25
Casilda - Mariel,1,1,1991,1991,1991,1991,891129,255175,1322,1322,1322,1322,0,37
Mariel - Moa,23,8,2004,2002,2003,2002,141896280,195603678,496,578,541,543,49,3786
Moa - Cienfuegos,18,9,2001,2001,2000,2000,204268881,317411198,611,677,790,798,53,4098
Havana - Bufadero,15,15,2002,2002,2004,2004,87724905,133552116,435,499,485,481,35,2691
Moa - Cayo Coco,2,2,2012,2012,2008,2008,1894828,2922361,297,297,352,354,1,65
Cayo Coco - Sagua La Grande,3,3,1999,1999,1995,1995,30087370,55209411,395,324,379,401,3,195
Varadero - Santiago De Cuba,9,9,2000,2000,1998,1998,101489122,159630892,825,960,937,943,27,2119
Havana - Matanzas,143,32,2003,2001,2001,2001,907553755,1443893953,228,790,379,370,312,23911
Bufadero - Puerto Padre,4,3,2012,2011,2009,2009,4999653,7278763,124,172,240,246,1,82
Puerto Padre - Puerto Da Vita,4,3,2009,2009,2010,2010,6831418,8385031,124,216,251,226,2,146
Manati - Puerto Padre,4,3,2004,2005,2000,2000,37240944,61895169,478,452,551,559,4,294
Santiago De Cuba - Matanzas,50,14,1997,2001,1997,1997,913036279,1457474988,708,816,857,859,251,19434
Matanzas - Cienfuegos,50,12,2000,2003,2000,2000,1165543828,1999154036,682,728,745,743,272,21043
Santiago De Cuba - Puerto De Pastelillo,47,16,1998,2001,2000,2000,540014717,810021671,420,577,579,571,136,10449
Puerto De Pastelillo - Cienfuegos,21,15,2001,2001,2004,2004,390023175,628337946,758,982,1058,1079,94,7243
Moa - Casilda,2,2,2002,2002,2005,2005,16365241,24549588,723,723,722,722,4,290
Santiago De Cuba - Puerto Da Vita,2,2,1994,1994,1994,1994,10130269,15739771,406,406,393,388,3,265
Puerto Da Vita - Puerto De Pastelillo,3,3,1999,1999,2001,2001,29956029,50666332,386,444,492,509,5,369
Puerto De Pastelillo - Havana,29,17,2000,2001,2002,2002,251772335,374792058,442,587,576,576,67,5161
Matanzas - Moa,29,9,2002,2002,2002,2002,495493937,793228387,559,587,735,732,93,7204
Moa - Varadero,3,2,2005,2002,2007,2007,31764303,47686612,1109,826,936,937,8,601
Havana - Moa,4,4,2001,2001,2005,2005,148891485,232613299,700,1885,2515,2526,23,1765
Moa - Nicaro,3,2,1987,1994,1973,1972,1065675,790071,977,1219,1684,1796,4,329
Guayabal - Niquero,2,2,1999,1999,2006,2006,5883829,9647245,168,168,243,248,1,66
Havana - Cabanas,15,7,1994,2001,2003,2000,49634585,91429052,309,539,428,475,36,2744
Nueva Gerona - Cabanas,3,2,1982,1982,1982,1980,745324,2785490,772,863,705,1316,4,336
Cabanas - Mariel,3,2,1987,1991,2000,1995,3285560,6779367,875,595,182,221,3,241
Puerto Padre - Mariel,12,7,1996,1997,2002,2002,34592354,50667709,462,512,475,475,12,878
Mariel - Santiago De Cuba,37,16,1998,1997,2004,2004,281601652,363776391,758,1029,806,804,65,4957
Cienfuegos - Bufadero,7,3,1985,1990,2004,2004,37407777,57450310,732,916,1027,1035,8,628
Mariel - Puerto De Pastelillo,13,5,1982,1990,1989,1989,24712611,38104834,440,459,489,494,7,559
Mariel - Bufadero,20,6,1988,1995,1995,1995,52245440,73435972,450,533,580,579,21,1626
Moa - Santiago De Cuba,31,11,1999,2000,2001,2002,235197588,361383706,315,543,471,469,78,6041
Moa - Puerto De Pastelillo,15,8,2000,2001,2001,2001,88080865,135979219,268,297,345,344,37,2839
Varadero - Cienfuegos,5,3,2002,2004,2001,2001,131587710,227857450,706,938,766,759,20,1543
Cienfuegos - Cabanas,4,3,1999,2001,2003,2003,38215194,61410305,876,840,856,859,8,596
Preston - Matanzas,15,7,1996,1995,1998,1998,280641217,480727294,478,494,510,511,71,5482
Matanzas - Varadero,14,8,1998,1999,1999,1999,368327289,650859120,278,645,596,594,59,4590
Bufadero - Moa,3,2,2005,2004,2004,2004,5357800,7170890,176,172,173,173,2,161
Mariel - Matanzas,29,10,2002,2000,2001,2001,195420816,297648677,388,416,529,534,63,4813
Caibarien - Matanzas,3,3,1997,1997,2001,2001,19523187,33471606,663,519,662,663,4,342
Niquero - Mariel,5,4,1996,1996,1999,1997,7195025,10427096,626,632,631,630,2,156
Cienfuegos - Niquero,17,8,1996,1997,2003,2003,73724667,122342175,250,474,728,767,12,944
Cienfuegos - Mariel,16,10,1999,2000,2000,2001,139518959,171160626,638,761,621,643,34,2626
Matanzas - Nicaro,1,1,2002,2002,2002,2002,20569205,34828618,410,410,410,410,2,130
Nicaro - Preston,1,1,2002,2002,2002,2002,1595737,2701967,32,32,32,32,3,234
Cienfuegos - Puerto Tarafa,1,1,1972,1972,1972,1972,1247662,2114316,799,799,799,799,1,62
Puerto Tarafa - Mariel,2,1,1972,1972,1972,1972,1231923,2087645,394,394,394,394,1,56
Cienfuegos - La Coloma,1,1,1979,1979,1979,1979,336901,288053,504,504,504,504,0,28
La Coloma - Mariel,2,2,1990,1990,2001,2000,33181706,4515329,363,363,501,487,6,477
Matanzas - Cardenas,1,1,1979,1979,1979,1979,2029596,1735320,3034,3034,3034,3034,2,168
Cardenas - Isabela De Sagua,1,1,1979,1979,1979,1979,141766,121211,212,212,212,212,0,17
Isabela De Sagua - Caibarien,1,1,1979,1979,1979,1979,269734,230625,403,403,403,403,1,41
Caibarien - Cayo Coco,2,2,1998,1998,1986,1983,57626,45278,63,63,67,68,0,7
Cayo Coco - Puerto De Pastelillo,1,1,1979,1979,1979,1979,304564,260405,455,455,455,455,1,94
Puerto De Pastelillo - Manati,2,2,1984,1984,1987,1988,3368885,5037565,598,598,118,107,6,497
Manati - Banes,1,1,1979,1979,1979,1979,1688738,1443883,2524,2524,2524,2524,2,159
Banes - Nicaro,1,1,1979,1979,1979,1979,328570,280930,491,491,491,491,1,49
Nicaro - Antilla,2,2,1998,1998,1980,1980,196915,167159,156,156,230,245,1,43
Antilla - Moa,13,2,2014,1998,2006,2003,282486,186669,69,95,96,99,2,170
Santiago De Cuba - Niquero,2,2,1993,1993,1995,1999,5172223,6408044,1702,1702,252,208,3,217
Niquero - Manzanillo,2,2,1977,1977,1975,1975,697942,845817,166,166,215,224,1,61
Manzanillo - Guayabal,1,1,1979,1979,1979,1979,43560,37244,65,65,65,65,0,14
