dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,73,15,1992,2004,2003,2003,166175833,300963407,121,218,262,266,163,12291
Chemical tanker,27,18,2006,2007,2006,2006,162733204,246930698,149,480,421,410,45,3452
General cargo,62,47,1988,1989,1992,1991,124397266,176603778,127,343,513,516,28,2118
Service - tug,26,12,2005,2002,2009,2005,6989292,4205253,138,426,361,274,26,1946
Container,8,6,2002,2001,2000,2001,40879774,47986739,267,287,294,294,7,510
Liquefied gas tanker,48,16,1998,1999,1996,1996,221515153,259616130,140,193,525,532,65,4979
Bulk carrier,21,15,1990,1993,1992,1993,177462743,289407325,429,777,721,717,25,1931
Offshore,54,19,2005,2005,2007,2007,86625351,102199758,315,669,467,451,82,6167
Service - other,15,2,1963,1956,1964,1964,3681167,3421236,355,386,454,455,18,1351
Miscellaneous - fishing,24,2,1992,1998,1992,1992,3323920,1858478,546,573,1165,1162,10,717
Ferry-pax only,1,1,1992,1992,1992,1992,1876941,469235,6094,6094,6094,6094,3,218
Cruise,3,2,2006,2005,2003,2003,9169971,1437796,71,90,122,123,4,294
Refrigerated bulk,1,1,1979,1979,1979,1979,145395,157075,58,58,58,58,2,177
Ro-Ro,7,2,1978,1977,1978,1978,3939119,2914790,108,109,125,123,4,270
