int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,1087,409,1988,1992,1996,1996,3670749056,4982608844,307,966,869,893,864,65901
Chemical tanker,422,201,2008,2008,2009,2009,6026228292,9621259715,590,1016,999,1013,1304,100481
Bulk carrier,205,111,1999,2000,2002,2002,3129296441,5167897834,318,1222,1180,1160,369,28507
Oil tanker,316,144,2008,2007,2008,2008,9550383076,16996924526,591,1177,1283,1300,1984,153004
Container,762,84,2003,2002,2004,2004,20951464715,24089734467,527,935,1352,1315,4354,335873
Offshore,183,61,2006,2006,2009,2009,1236836161,1127412900,307,1672,877,765,668,50376
Cruise,106,25,1985,2000,1997,1992,903608927,124245599,204,556,362,347,433,33406
Service - tug,92,40,2003,2001,2005,2005,89196893,80181504,314,1006,713,693,121,9094
Ro-Ro,535,19,1979,1991,1994,1993,2299055076,1417726536,156,962,489,450,541,41683
Vehicle,103,34,2004,2006,2010,2009,3920575919,1258864349,322,889,793,745,222,17194
Liquefied gas tanker,167,50,2000,2004,2008,2007,2986639228,2899703589,559,1371,2013,1779,619,44388
Service - other,40,18,1991,1991,1996,1995,271357007,302879427,714,1357,1505,1419,115,8784
Ferry-RoPax,228,4,1981,1982,1980,1979,339453597,113364618,136,190,297,251,130,9847
Miscellaneous - fishing,5,4,1983,1986,1982,1985,2347484,1108827,657,3130,1344,1512,7,495
Ferry-pax only,17,4,1996,1986,1991,1991,4707894,709501,215,1252,616,831,17,1252
Refrigerated bulk,24,3,1980,1988,1983,1983,14132830,15108857,131,194,200,199,39,2933
