int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Kvasice,1,1,2005,2005,2005,2005,50613721,43949567,519,519,519,519,7,388
Dehtary,67,36,1993,1991,1999,2003,79522702,80526441,244,987,860,921,61,4603
Kosor,40,20,1989,1988,1986,1987,16354351,9506193,221,860,615,552,24,1826
Dobroviz,10,8,1996,1998,2005,2005,413104935,669230316,1023,1735,5479,6135,57,4411
Semcice,5,5,1989,1989,1993,1992,82627680,79863979,3029,5745,4080,3283,35,2704
Novy Knin,1,1,1995,1995,1995,1995,592474,188572,1274,1274,1274,1274,1,57
Kadan,1,1,2019,2019,2019,2019,55249325,53534035,365,365,365,365,1,88
Chocen,1,1,2016,2016,2016,2016,33520555,64475892,357,357,357,357,1,102
Osice,1,1,2020,2020,2020,2020,104908,81276,63,63,63,63,0,14
Novy Vestec,1,1,1991,1991,1991,1991,250369,410646,78,78,78,78,0,27
