int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Dehtary,68,37,1993,1991,2000,2004,45276086,43986440,257,562,484,500,42,3166
Divisov,1,1,2005,2005,2005,2005,80665618,70044623,827,827,827,827,10,618
Dobroviz,9,7,1997,2000,2005,2005,95027977,151182851,495,688,1275,1390,16,1196
Kosor,40,19,1989,1987,1986,1987,11828654,7705999,160,594,449,454,14,1041
Semcice,5,5,1989,1989,1991,1991,52486556,61759771,8182,6450,2591,2539,40,3006
Kadan,1,1,2019,2019,2019,2019,12600723,12209517,83,83,83,83,0,20
Novy Knin,1,1,1995,1995,1995,1995,124198,39530,267,267,267,267,0,12
Chocen,1,1,2016,2016,2016,2016,43208445,83110291,460,460,460,460,3,195
Osice,1,1,2020,2020,2020,2020,136628,105850,81,81,81,81,0,10
Novy Vestec,1,1,1991,1991,1991,1991,206281,338334,64,64,64,64,0,18
