int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1422,842,2005,2010,2011,2011,56182115118,98408760135,648,1435,1572,1597,5066,386153
Oil tanker,1132,360,2004,2007,2008,2008,34179111501,60813842448,398,975,917,927,5745,433363
General cargo,7205,1412,1997,2001,2004,2004,18086547726,24947054393,386,703,720,715,4725,356456
Miscellaneous - fishing,1568,349,1993,1992,2002,2004,1531153667,1260879369,462,962,1008,989,1484,111458
Offshore,994,240,2006,2004,2011,2010,3698475444,3198838710,253,1161,867,844,1910,140506
Container,1131,157,2005,2006,2007,2007,7942419974,8577889971,258,498,331,328,1775,133879
Chemical tanker,2156,591,2003,2007,2008,2008,15847407139,25352437395,424,847,832,855,3878,292458
Refrigerated bulk,207,76,1993,1993,1993,1993,3129602962,3267374378,613,1841,2304,2392,1275,96896
Ferry-pax only,120,17,1963,1968,1980,1966,15870216,3071647,142,458,394,264,40,2994
Ro-Ro,736,55,2001,2002,2005,2005,6261616352,4001213056,325,495,434,458,1628,122257
Ferry-RoPax,1220,66,1998,1997,1999,1999,16967669173,2272863299,280,1882,455,511,4192,307352
Cruise,473,94,1993,1994,2008,2007,15123333858,1550940513,293,438,517,508,3608,269953
Service - other,542,172,1991,1993,2008,2010,1410079636,2651372128,267,580,851,1102,608,45739
Service - tug,876,182,1993,1997,2004,2004,403748034,305571487,206,479,569,607,495,37187
Liquefied gas tanker,228,88,2006,2009,2009,2009,14186772452,11573783912,484,1517,2342,2356,1818,130715
Vehicle,130,30,2003,2002,2002,2001,2218971571,744794569,374,466,590,611,229,17269
Other liquids tankers,8,1,1988,1988,1988,1988,7120489,12381990,449,449,469,469,14,1074
