int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Skagen,4050,2164,2004,2006,2010,2010,144529773082,234316266227,660,1732,1845,1936,18916,1432312
Hanstholm,587,187,1994,1997,2005,2006,742958648,921230710,205,614,513,497,367,27575
Holbaek,2,2,1998,1998,2002,2001,13840483,6376619,19318,19318,4787,1867,30,2223
Aalborg,858,384,1995,1999,2004,2004,3711498804,4159450767,404,581,786,827,952,72052
Masnedsund,48,39,1993,1992,1997,1997,38902572,55995040,301,507,442,441,29,2197
Marstal,62,28,1950,1975,2005,2005,37877997,41870944,97,238,270,267,45,3411
Copenhagen,696,333,2002,2001,2008,2007,8789177498,4389058761,307,485,532,575,2260,170215
Aarhus,1579,508,2002,2002,2010,2010,12298418846,12660819872,401,497,485,512,2447,183951
Horsens,168,102,1994,1994,1997,1996,164791189,231708225,312,451,435,431,60,4509
Masnedovaerkets Havn/Vordingborg,36,19,1986,1992,1996,1997,16154478,23212923,183,303,308,319,6,461
Koege,357,186,1997,1998,2001,2000,374066774,491701995,250,351,344,374,146,10980
Studstrup,36,31,2007,2007,2010,2010,262930687,407911907,521,572,572,571,40,2999
Hirtshals,865,219,2002,1997,2008,2006,10420096306,4821908807,383,698,616,990,2484,179160
Spodsbjerg,18,8,1979,1994,2009,2011,164074123,271013910,600,3249,1950,2247,31,2328
Grenaa,307,159,1995,1997,1995,2004,1596212837,1233928953,347,536,976,929,373,28064
Thyboron,517,216,1993,1996,2001,2002,559181613,655844409,278,795,457,449,410,30825
Rodbyhavn,69,31,1994,1990,1993,1995,590911489,162041160,169,1248,3016,961,278,20861
Gedser,39,25,1999,1993,2014,2011,1153550623,541710608,266,2959,6749,2520,280,21058
Dragoer,24,23,1999,1998,2008,2008,137486961,226216347,310,595,750,810,25,1841
Esbjerg,1737,514,2004,2002,2008,2009,8265293542,6767769857,318,844,498,593,2600,194633
Nekso,244,80,1984,1986,1988,1991,79125662,54443274,365,954,436,363,200,15054
Kalundborg,535,334,2003,2003,2006,2006,6184917988,8969980331,470,1127,984,920,1605,121211
Vejle,218,145,1996,1998,2000,2000,252633229,356849099,315,489,454,449,92,6933
Frederikshavn,782,305,1995,2000,2003,2009,16377905748,21361576628,283,1067,1402,2506,2664,201630
Christianso Harbor,73,59,1994,1995,2007,2007,647705745,974391691,414,1106,977,1050,158,11905
Akirkeby,30,23,1989,1990,2004,2005,200164498,315975503,245,1000,3866,4712,31,2363
Fredericia,619,300,2003,2003,2006,2006,3188575201,4475138419,315,501,470,456,957,71779
Assens,35,34,1993,1993,2002,2002,35244909,47101632,406,537,558,559,32,2433
Stigsnaes Inter Terminal,50,41,2006,2006,2008,2008,3511045021,6376779583,667,1647,2762,2890,363,27757
Hobro,53,31,1993,1995,2002,2002,90051054,136804420,299,380,678,684,18,1400
Lindoe,230,186,2000,2001,2004,2006,2102943746,2042290726,404,1029,1043,787,609,45779
Nakskov,114,77,1998,1998,2004,2004,184059604,258505420,409,543,483,487,63,4744
Roenne,667,213,1995,1995,2004,2001,1262237385,531318720,210,403,462,385,536,40213
Faaborg Havn,40,18,1967,1963,2004,1991,73928680,23069411,189,3209,730,371,78,5840
Sonderborg,24,11,1943,1952,1984,1980,1824608,1188342,79,209,264,202,16,1212
Hals,37,26,1995,1995,2005,2002,51807846,62041030,311,442,497,455,21,1589
Sjaellands Odde,29,25,2005,2006,2008,2009,863165686,1196319018,467,3666,1572,1317,162,12235
Frederiksvaerk,435,115,1992,1993,1993,1993,600989490,779120423,385,601,629,615,165,12399
Aabenraa,223,139,1997,1997,2004,2004,2872635013,5153599659,364,643,1558,1747,377,28591
Korsor,119,96,1999,1999,2006,2007,670272796,1246317205,372,561,728,734,120,9050
Naestved,87,60,1994,1995,1996,1996,60481569,88057795,275,339,328,331,22,1636
Stevns Pier,52,32,1999,2001,2003,2003,110885555,167530734,798,706,734,736,37,2742
Odense,79,53,1994,1995,1989,1998,115549886,103630062,402,455,600,405,95,7183
Randers,313,161,1992,1995,1993,1994,331627813,480818892,405,474,440,439,122,9131
Kolding,252,172,1997,1998,2001,2002,430328705,613530888,404,507,587,602,113,8540
Ebeltoft,4,4,1984,1984,1992,1991,4776544,7108825,695,668,928,907,14,1034
Abybro,33,30,1991,1992,2015,2015,683873113,1137667289,447,913,2018,2862,62,4754
Blavand,58,48,1999,1997,2009,2009,286816212,454836029,252,514,691,862,58,4395
Romo,73,40,1990,1984,2000,1982,7767595,3352040,341,649,542,487,39,2907
Endelave,4,4,1998,1998,2001,2005,43426641,32805039,1279,5420,2952,1791,34,2534
Svendborg,71,44,1980,1985,1995,1999,43730602,43775267,282,938,621,510,69,5200
Strandby,19,19,1999,1999,2013,2013,668300552,1047080954,723,1883,2867,2788,94,7205
Stroby,6,6,2000,2000,2009,2009,12655143,19874563,349,469,384,386,3,242
Vesteroe,128,105,2002,2004,2006,2007,8857736700,15920267130,605,1823,3780,4289,838,63945
Sandvig,16,15,2000,1999,2006,2005,71654329,110651637,255,499,387,448,15,1094
Nyborg,218,66,1992,1999,1999,1999,568687077,790030683,331,656,823,843,248,18707
Hundested,89,42,1994,1997,1995,1997,132652133,108866147,212,1232,378,374,67,5064
Middelfart,90,55,2003,2000,2005,2005,202499422,284955867,465,580,543,546,61,4616
Vordingborg Sydhavnen,42,35,1998,1998,2005,2005,70041921,105260867,388,582,621,621,26,1965
Nykobing (Falster),69,52,1998,1998,2001,2002,71846236,102284822,335,472,430,436,29,2195
Gilleleje,27,27,2000,2000,2009,2009,191130961,272101319,443,717,801,729,36,2703
Hov,1,1,1993,1993,1993,1993,2919026,397146,6619,6619,6619,6619,8,630
Nykobing (Mor),68,61,2000,2001,2007,2007,864086194,1229690120,509,765,843,915,184,13787
Svaneke,16,14,1992,1989,2003,2003,8331296,5916743,274,500,162,164,8,622
Nordhavn,715,109,1996,1999,2000,2000,8996181689,1407295622,274,401,359,357,2080,156196
Eskilstrup,2,2,2003,2003,2001,2001,660862,775987,278,278,395,392,0,28
Ensted,22,12,1998,1998,2013,2013,117263479,212483168,201,413,624,648,14,1072
Vejby,11,11,1997,1997,2005,2005,62063885,101062466,567,475,631,642,14,1019
Skodsborg,8,8,2004,2004,2005,2006,24585003,29659356,622,543,577,593,8,629
Kyndbyvaerkets Havn,8,8,1994,1994,1997,1997,7278367,10275848,368,386,419,423,2,155
Sydals,27,17,1988,1990,1996,1997,78551282,113867022,233,588,368,358,25,1904
Kongsdal Harbour,69,36,1994,2000,2002,2003,85635921,125336916,433,711,598,609,27,2042
Stege,34,22,1996,1989,2007,2006,29856337,33491889,285,309,352,380,20,1487
Avedore,182,67,2006,2003,2008,2008,445129048,635154683,532,507,568,567,127,9573
Asaa,3,3,1991,1991,1990,1990,3638009,5334142,484,532,521,518,1,83
Arosund,2,2,2004,2004,2008,2009,2277264,2829852,497,497,476,473,1,71
Torrig,2,2,1999,1999,2002,2002,3440406,575448,3548,3548,4155,3077,10,772
Thorsminde,28,24,2002,2003,2007,2008,223390525,240433049,327,622,530,530,56,4260
Fakse Ladeplads Havn,59,20,1986,1985,1986,1986,36529267,48780817,292,386,409,418,14,1079
Rodvig Havn,5,5,2005,2005,2006,2006,778422,439249,698,594,196,219,2,185
