int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,123,85,2004,2005,2006,2006,8261870175,14483327481,1607,1866,2056,2076,1253,96893
Container,565,165,2006,2005,2009,2009,55276354554,63497748503,971,1511,1702,1685,6108,472861
General cargo,219,105,1996,1999,2008,2008,5215305083,6818921953,1310,1801,2110,2098,868,66440
Bulk carrier,272,213,2006,2006,2007,2007,16923869718,29060696367,2103,2390,2330,2333,1796,138999
Chemical tanker,145,88,2006,2007,2008,2008,4754511142,7598678747,1635,1731,1738,1736,886,68338
Vehicle,81,65,2009,2009,2010,2010,13620379350,4814931355,2355,2417,2757,2854,823,63683
Liquefied gas tanker,17,12,2011,2011,2009,2009,537572293,617365014,1284,1757,1768,1787,92,7056
Ferry-pax only,3,2,1993,2000,2017,2015,2519304,207124,153,1076,1568,1057,1,39
Service - tug,79,14,2009,2006,2006,2005,33924365,26387231,179,1466,335,331,52,3927
Miscellaneous - fishing,7,6,1986,1983,1977,1978,51954284,34851888,10433,11723,11971,10469,53,3980
Ro-Ro,56,15,2011,2006,2014,2014,2667024814,2295642160,744,1114,1050,1049,298,23044
Offshore,3,3,2003,2003,2009,2009,67083225,42461886,1732,2930,1101,1056,21,1615
Ferry-RoPax,1,1,2018,2018,2018,2018,2437666,1496236,2031,2031,2031,2031,1,67
Service - other,5,3,1988,1986,2011,2010,19340961,12219607,920,1140,1047,1079,16,1172
