int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,70,13,2007,2007,2007,2007,241211704,290490520,164,407,333,319,67,5146
Ro-Ro,31,5,1990,1984,1992,1992,72150672,82415046,300,188,398,399,38,2909
Refrigerated bulk,29,13,2000,1998,2003,2003,214051614,236969347,209,480,561,565,94,7202
Cruise,90,35,1994,1995,2007,2004,928968845,95453666,175,172,179,186,244,18894
General cargo,99,20,2002,2001,2002,2004,87244322,107104021,73,395,244,216,42,3173
Offshore,8,5,2001,1990,1980,1977,1968862,2782906,173,445,378,448,5,364
Service - other,1,1,1980,1980,1980,1980,354810,184256,1254,1254,1254,1254,1,92
Service - tug,28,6,1976,1981,1981,1982,1360088,1042005,72,158,169,184,7,503
Oil tanker,18,5,1999,2003,2016,2016,304167405,546263763,199,1164,2333,2410,30,2327
Vehicle,26,15,2006,2004,2007,2007,160479138,46751635,101,93,164,154,21,1655
Bulk carrier,22,4,2013,2003,2015,2015,33999202,50782142,131,305,262,258,6,484
Ferry-pax only,21,3,1998,1999,1996,1995,20664131,4087987,293,9751,1983,6680,9,700
Chemical tanker,41,7,2009,2008,2008,2008,55718591,86706794,186,367,235,235,35,2651
Ferry-RoPax,37,5,1978,1984,1993,1984,7519786,1153333,176,271,325,252,22,1633
Liquefied gas tanker,26,2,2008,2008,2008,2008,23753401,24532386,175,224,201,201,15,1125
