int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - other,14,11,1999,1997,1989,1993,29455479,28263418,670,1190,713,586,23,1741
General cargo,441,145,2000,2004,2007,2007,2763691023,3929179909,736,1193,1096,1093,611,46693
Bulk carrier,267,192,2005,2009,2010,2010,7230811627,11824044256,924,1309,1303,1307,789,60730
Container,1578,251,2008,2007,2010,2010,123606976448,141030647494,672,2099,2384,2295,13793,1066067
Oil tanker,82,52,2007,2008,2009,2009,2526206230,4298358376,1081,1245,1243,1221,513,39398
Liquefied gas tanker,233,57,2005,2009,2009,2009,10629714004,10580711286,770,1791,1831,1735,1748,124790
Ro-Ro,103,11,1977,1984,1979,1979,119050819,169375930,390,627,476,457,88,6631
Chemical tanker,328,153,2008,2009,2010,2010,6625156443,10776571919,680,1408,1309,1320,1193,91495
Vehicle,158,81,2004,2007,2007,2007,11186937778,3863654922,577,1582,1479,1526,690,53405
Offshore,14,12,1985,1986,2004,2004,13399619,16349943,344,573,779,733,26,1972
Cruise,305,59,2005,2002,2009,2008,14441998950,1404696118,482,538,519,514,3065,236285
Service - tug,160,43,1996,1998,2003,2002,41349547,40892731,413,587,671,726,123,9282
Refrigerated bulk,62,18,2002,1997,2003,2003,2899649769,3196560104,3930,2539,3584,3609,1191,91248
Miscellaneous - fishing,3,1,1973,1973,1973,1973,270322,152666,47,47,98,98,0,22
Ferry-RoPax,155,1,1990,1990,1990,1990,1137541332,265012880,244,244,245,245,240,18304
