int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ro-Ro,947,947,2001,2001,2002,2002,14999484778,8735384038,359,1648,1418,1431,7738,587838
General cargo,8293,8293,1999,1999,2003,2004,100277202214,138810857754,483,1612,1956,1952,20454,1558592
Chemical tanker,4713,4713,2007,2007,2007,2007,114751709342,186293957619,540,1481,1667,1677,25242,1934213
Service - other,2458,2458,1998,1998,2004,2005,21847829280,21642842479,453,2637,2628,2670,10984,827993
Service - tug,6536,6536,2001,2001,2006,2005,8733658209,7110730227,280,1479,1641,1697,13929,1046396
Bulk carrier,10767,10767,2008,2008,2009,2009,1386299765113,2563244395784,1318,2558,3127,3176,91474,7073602
Container,5054,5054,2006,2006,2010,2010,545439738517,596644386515,775,1704,2302,2243,61277,4729209
Oil tanker,5749,5749,2005,2005,2008,2008,1037200075639,1945883269278,718,2678,3833,3891,95140,7328799
Miscellaneous - fishing,4208,4208,1991,1991,1992,1992,18649933754,13114992452,1020,3840,4283,4449,16235,1220096
Refrigerated bulk,593,593,1992,1992,1991,1991,13862607447,14550002699,1322,3313,3774,3666,9775,739883
Offshore,3531,3531,2004,2004,2004,2002,36161865943,41958326357,400,2136,2051,2324,18879,1412347
Ferry-pax only,926,926,1995,1995,1996,1994,2802078890,530884289,949,7249,4064,3435,4234,317743
Cruise,443,443,1996,1996,2002,1999,20047268097,2064257119,414,1037,888,920,7719,591656
Liquefied gas tanker,1821,1821,2006,2006,2009,2009,375705700574,319056416308,1148,2972,5043,4827,46844,3088536
Ferry-RoPax,1616,1616,1995,1995,2000,2000,44041454945,10470497846,643,5319,3011,3122,22093,1643863
Vehicle,827,827,2005,2005,2005,2004,111084762150,37952784430,1175,2522,2784,2811,7175,553490
Other liquids tankers,46,46,1991,1991,2004,2004,1412964070,1811338255,679,2764,4335,4366,723,55392
Yacht,10,10,1962,1962,1940,1946,17069890,6797251,319,2386,1915,783,13,964
Miscellaneous - other,2,2,1980,1980,1987,1982,38127914,15925755,2741,2741,1414,443,21,1578
