dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,154,131,2006,2006,2007,2007,1310162086,2284541539,228,284,312,314,227,17507
Liquefied gas tanker,105,32,1999,2007,2003,2002,1154697404,1298657322,366,484,576,575,377,28247
Container,548,116,2001,2003,2003,2003,4658402155,5521352225,201,267,293,292,940,72235
General cargo,356,233,1992,1994,1996,1996,669424954,957637402,189,332,353,360,215,16307
Chemical tanker,97,57,2009,2008,2008,2008,664052868,1098754277,214,323,319,322,250,19276
Offshore,383,44,2002,2005,2006,2006,662169827,695613873,244,1169,550,517,706,53052
Cruise,20,11,1998,1995,2006,1998,283238135,32895824,282,368,377,394,70,5407
Oil tanker,243,72,1995,2005,2003,2004,4439565345,8171746481,311,418,391,393,1131,87007
Service - tug,1307,110,2003,2002,2005,2003,967391393,854652230,275,1098,567,579,1035,77724
Ro-Ro,11,6,1991,1990,1993,1991,59727726,39528700,296,489,640,648,55,4213
Ferry-RoPax,9,8,1988,1987,1990,1990,34807752,10496094,270,350,375,430,80,6001
Service - other,89,13,2008,2004,2006,2007,211452782,231541988,588,1021,1431,1859,109,8225
Vehicle,1,1,2012,2012,2012,2012,20416541,7608833,282,282,282,282,1,95
