int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Damietta,2156,1062,2002,2003,2007,2007,109522858333,133859359647,791,1198,1768,1670,14118,1090844
Ras Sudr,150,107,2007,2009,2010,2010,10836885259,18156376239,742,1725,1720,1751,1254,97020
Al Adabiyah,646,455,2003,2005,2009,2009,26804782564,40798729254,970,1812,1860,1809,3565,272949
Sidi Kerir (Kurayr),469,314,2008,2009,2010,2010,104423626199,198609439686,1627,2448,2554,2564,8667,669408
Port Said,585,453,2003,2003,2008,2008,39006696152,58089807344,817,2107,2092,2266,4297,325934
Suez,238,163,1997,2001,2007,2007,7124438030,10313874750,987,1691,1664,1727,1366,104770
Alexandria,1934,1057,2001,2002,2006,2006,30196608274,35817029956,718,998,870,914,4531,348608
El Dekheila,1375,798,2005,2005,2008,2008,33737713557,50694806601,715,1000,822,894,4632,357563
Nuwaiba,132,118,2004,2005,2008,2008,9332949404,11432670148,1198,1965,1864,2002,1081,79018
Idku,393,310,2000,2000,2011,2010,15300523123,14592697476,765,1403,2880,2389,2203,145982
Sokhna,226,153,2009,2009,2011,2011,17248675069,22144583491,639,1397,1163,1262,1562,116066
Ain Sukhna Terminal,183,94,2005,2010,2006,2006,61977353948,108749608263,2560,3113,2500,2473,3574,263884
Sharm Ash Shaykh,88,73,2004,2005,2007,2007,2589694418,2739763141,532,1057,840,808,378,28633
Nuweiba El Muzeima,149,67,2001,2003,2010,2010,6325473974,5213869147,638,1475,1810,1632,878,62762
Port Said East,293,115,2005,2007,2010,2010,27430210255,29336477761,678,1375,1346,1339,2564,198208
Safaga,687,105,1993,2001,2001,2004,6760329981,8152349813,120,1697,623,1231,1231,94487
Ismailia,8,8,2002,2002,2007,2007,68936892,100275257,1121,1894,2400,2483,52,3969
Ras Shukheir,34,26,2007,2006,2004,2003,1400491183,2394355317,1327,1609,1758,1778,158,12086
Ras Charib,50,38,2002,2001,2005,2005,7006355190,12627286431,2839,2550,2804,2835,599,46296
Atakka Dry Port,66,58,2005,2005,2002,2002,3193970150,5286635859,782,1192,1298,1420,371,28658
Rashid,13,12,2004,2004,2004,2005,262379815,451166053,562,1278,1321,1413,49,3771
El Tor,28,17,2004,1999,2003,2003,2183318968,2909077938,1197,2554,3498,3047,222,15283
Hamrawein,20,18,1998,1998,2003,2003,584879562,975656017,1043,1309,1226,1313,60,4649
Wadi Feiran,31,27,2005,2005,2003,2004,2815688242,4590041069,1057,3749,2116,2084,327,25054
Ras Abu Zanimah,22,20,1997,1998,2005,2005,374382614,570657283,1050,1330,1712,1714,61,4706
Ras Badran Oil Terminal,13,13,1998,1998,2006,2005,595009463,963415357,834,1411,1846,1954,54,4154
Abu Zenimah,13,13,1999,1999,1999,1998,1683874601,2705092381,1146,2122,2369,2376,104,8003
Abu Chosoun,5,5,2002,2002,2000,2001,91565305,150059842,933,1247,834,830,12,953
Hurghada,60,16,2004,2005,2005,2004,915878330,1400735116,322,1970,1592,2364,179,13651
Fa'Id,7,7,2002,2002,2013,2013,934208494,1586350782,3255,2420,2823,2815,94,7242
El-Guna (El Gouna),5,5,1987,1987,1987,1983,4935943,5455874,413,589,392,373,4,278
Al Qusayr,4,4,1996,1996,2014,2013,159317631,188235702,881,1288,2471,2273,24,1816
Mersa Martu,1,1,1971,1971,1971,1971,743091,585649,865,865,865,865,1,40
