int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Miscellaneous - fishing,16,10,1984,1988,1986,1986,151937481,125509417,3608,7617,5663,5622,97,7252
Chemical tanker,145,103,2011,2012,2012,2012,3378342104,5593621810,104,993,867,865,621,48070
Vehicle,71,60,2009,2009,2007,2007,1187433873,395644423,113,319,288,293,69,5366
Bulk carrier,155,145,2011,2011,2012,2012,12687542512,21736935197,2318,2866,2860,2894,1192,92162
General cargo,27,26,2008,2008,2013,2013,2172769984,3596913131,1512,3002,3998,4139,208,16020
Oil tanker,16,14,2006,2006,2005,2005,662439687,1109474358,655,1402,1214,1181,104,8072
Container,218,21,2008,2007,2008,2008,1502927942,1902927500,177,291,289,288,378,29039
Liquefied gas tanker,16,3,2011,2014,2010,2010,988348345,1145256162,2874,1778,2577,2570,97,7434
Service - tug,2,2,1996,1996,1989,1986,2958024,2989970,1748,1748,1928,2056,3,250
Ferry-pax only,2,2,1984,1984,1993,1991,8446078,1515192,7860,7860,650,354,9,639
Offshore,1,1,2013,2013,2013,2013,3352216,1734804,13044,13044,13044,13044,9,687
Cruise,4,4,1995,1995,1997,1996,35428980,3671230,320,351,376,373,11,875
Refrigerated bulk,2,2,1992,1992,1990,1990,45654699,54807965,4488,4488,4479,4533,29,2213
