dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,28,6,2007,2007,2007,2007,37681813,57994672,160,159,163,163,26,1976
Service - tug,578,18,2004,2005,2004,2004,172698565,178439381,87,661,162,165,113,8486
Container,45,12,2006,2006,2007,2007,219937195,264065520,154,160,160,160,59,4577
Offshore,48,10,2007,2006,2008,2007,60018975,50756692,507,2913,777,790,92,6875
General cargo,71,19,2001,2006,1995,1993,104228340,158929145,156,230,232,250,52,3905
Bulk carrier,15,5,2008,2006,2005,2005,45097418,72773652,161,251,219,224,12,912
Ro-Ro,81,8,2007,2006,2006,2007,86606929,54133170,144,163,173,171,174,13302
Ferry-RoPax,133,2,1987,1984,1986,1983,49643131,14062938,150,376,212,262,83,6252
Service - other,90,5,1994,1999,1998,2004,82877233,49297861,144,1639,255,365,66,4927
Liquefied gas tanker,17,4,1995,2004,2005,2004,25731004,30124824,162,269,305,297,120,9027
Ferry-pax only,20,2,1977,1991,1975,1975,35116378,11089678,1159,662,1806,1795,32,2367
Oil tanker,1,1,2010,2010,2010,2010,11099119,20420036,194,194,194,194,11,868
