int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,159,69,2005,2005,2001,2002,3095082903,3905985810,641,1906,2385,2282,547,42022
Liquefied gas tanker,110,53,2011,2012,2013,2013,40575158388,34112075514,2488,5508,6520,6090,4989,305707
Chemical tanker,75,29,2009,2009,2013,2013,4224255251,6925402346,764,1949,3502,3555,617,46591
Oil tanker,111,93,2008,2008,2010,2010,37336122677,69825844660,4420,4954,4848,4838,3214,248213
Container,76,22,2004,2005,2003,2003,1250094184,1568012002,167,452,535,548,343,26258
Service - tug,83,48,2005,2005,2005,2005,40056671,38936527,140,389,307,313,46,3443
Bulk carrier,87,64,2007,2007,2006,2006,6782100931,11198130263,3139,3585,3555,3546,655,50598
Offshore,197,58,2011,2009,2010,2007,107321077,100087132,126,677,214,153,125,9392
Ro-Ro,35,17,2006,2007,2009,2009,306076740,165675125,171,381,415,418,115,8720
Service - other,65,19,2011,2006,2007,2006,418365722,207624582,298,2171,4168,3648,73,5538
Ferry-RoPax,2,2,1984,1984,1978,1977,516734,204340,398,398,182,285,1,56
Vehicle,4,2,2011,2012,2011,2011,281287273,104764243,88,88,1175,1176,15,1159
Miscellaneous - fishing,3,2,1989,1987,1982,1982,9392841,11343391,207,1532,2559,2772,4,316
Refrigerated bulk,14,10,1998,1998,1994,1994,51053015,56300842,239,781,497,497,32,2396
Ferry-pax only,11,3,2004,1996,1977,1977,13103428,4196865,112,4220,2185,1813,17,1286
