int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,2929,757,1999,2001,2003,2003,7271302056,10132818580,438,748,707,707,2055,154670
Bulk carrier,265,226,2011,2010,2012,2012,14271607537,24569863226,916,1978,1951,1968,1441,109740
Chemical tanker,967,416,2008,2008,2010,2010,14212835074,23269494997,210,998,861,881,2949,222857
Service - tug,154,63,1982,1987,1988,1989,22955890,15586013,217,355,304,302,61,4552
Service - other,59,43,1995,1997,1994,1986,103496639,73457379,182,596,1043,1114,97,7076
Oil tanker,639,223,2000,2007,2008,2008,25623085408,46210384026,187,1509,1406,1435,3333,253199
Miscellaneous - fishing,171,53,1982,1985,1987,1990,40060219,24354656,256,1394,764,712,110,8290
Ro-Ro,114,23,2010,2003,2008,2006,997173558,520160652,155,681,348,364,327,24630
Refrigerated bulk,21,20,1993,1993,1993,1993,501246086,546707346,669,2229,2799,2919,325,24585
Container,425,92,2004,2005,2003,2003,4273805814,5134694232,324,564,585,598,1006,75264
Offshore,98,20,2007,1998,1993,1989,111049447,120411059,89,258,146,164,57,4265
Cruise,327,74,2004,1999,2007,2006,5600413759,601154989,195,261,257,264,1750,131393
Ferry-RoPax,1100,27,2000,1996,2004,2003,20218305496,3157882309,242,2212,587,458,4034,293613
Liquefied gas tanker,60,14,2009,2008,2014,2013,730159648,732124978,806,714,1037,1036,150,11201
Vehicle,105,6,2003,2004,2003,2003,445031199,153298918,218,321,252,254,72,5372
Ferry-pax only,3,2,2016,2015,2018,2017,103631,8840,43,67,84,78,4,293
Yacht,1,1,1958,1958,1958,1958,137293,236004,532,532,532,532,0,0
